,Skeleton_Metabolite,Metabolite,Formula,Ion Type,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,detections,S07147,S07148,S07149,S07150,S07151,S07152,S07153,S07154,S07155,S07156,S07157,S07158,S07159,S07160,S07161,S07162,S07163,S07164,S07165,S07166,S07167,S07168,S07169,S07170,S07171,S07172,S07173,S07174,S07175,S07176,S07177,S07178,S07179,S07180,S07181,S07182,S07183,S07184,S07185,S07186,SQ425_B_0,SQ425_B_1,SQ425_B_2,SQ425_B_3,SQ425_B_4,SQ425_B_5,SQ425_B_6,SQ425_B_7
46,"PC 38:6; [M-Ac-H]-; GPCho(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","47         PC 38:6; [M-Ac-H]-; GPCho(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",864.5753,,10.8,11.3,15,1.0,864.5753,864.5647,-12.3,S07165,11.13,11.13,11.13,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,890.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
47,"PC 40:5; [M-Ac-H]-; GPCho(18:0/22:5(4Z,7Z,10Z,13Z,16Z))","48         PC 40:5; [M-Ac-H]-; GPCho(18:0/22:5(4Z,7Z,10Z,13Z,16Z))",894.6219,,13.7,14.2,15,1.0,894.6219,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
48,"PC 40:6; [M+HCOO]-; GPCho(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","49         PC 40:6; [M+HCOO]-; GPCho(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",878.5909,,13.4,13.9,15,1.0,878.5909,878.5783,-14.3,S07163,13.57,13.57,13.71,0.14,5,0,0,0,0,0,0,0.0,0,0,1103,0,0,0,0,0,0.0,6782,2466,0.0,0,0,0,0,0.0,0,0,1709,0,0,845,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
49,"PC 40:6; [M-Ac-H]-; GPCho(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","50         PC 40:6; [M-Ac-H]-; GPCho(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",892.6066,,13.4,13.9,15,1.0,892.6066,892.5938,-14.3,S07177,13.83,13.39,13.88,0.48,15,0,0,0,1758,872,0,1394.0,0,1121,0,918,881,0,943,0,0.0,0,0,0.0,771,0,0,0,0.0,0,0,0,0,0,0,3302,0,0,1584,0.0,0.0,0,1019,0,0,0,0,0,896,1047,1398,1465,0
50,PE 34:2; [M+H]+; GPEtn(17:1(9Z)/17:1(9Z)),51         PE 34:2; [M+H]+; GPEtn(17:1(9Z)/17:1(9Z)),716.5215,,12.8,13.3,15,1.0,716.5215,716.5213,-0.3,S07169,13.1,12.99,13.15,0.16,42,10819,6835,8916,12233,18741,16199,35166.0,21965,5821,6892,14067,7697,11810,9646,36642,1102.0,46524,232064,899.0,2658,19612,3017,2306236,4542.0,2588,5769,2780,1368,8544,1266,10126,5436,11839,5480,4459.0,1269.0,8128,5034,1290,741,0,720,0,0,678,0,0,0
51,"PE 36:2; [M+H]+; GPEtn(17:2(9Z,12Z)/19:0)","52         PE 36:2; [M+H]+; GPEtn(17:2(9Z,12Z)/19:0)",744.5528,,13.9,14.4,15,1.0,744.5528,744.5526,-0.3,S07169,14.18,13.95,14.29,0.34,48,162592,104996,124849,161036,366576,331316,232214.0,419818,102140,87689,233566,122802,174461,94557,397848,14232.0,509276,1797460,6584.0,10164,125697,24342,5706204,25904.0,18859,47121,21235,13015,107534,17962,151603,112006,207957,98822,46927.0,10465.0,44073,37970,3854,6260,2486,3754,1727,3001,1607,3315,2961,2082
52,PE 36:2; [M+H]+; GPEtn(18:1(11E)/18:1(11E)),53         PE 36:2; [M+H]+; GPEtn(18:1(11E)/18:1(11E)),744.5526,,13.9,14.4,15,1.0,744.5526,744.5526,0.0,S07169,14.18,13.95,14.29,0.34,48,162592,104996,124849,161036,366576,331316,232214.0,419818,102140,87689,233566,122802,174461,94557,397848,14232.0,509276,1797460,6584.0,10164,125697,24342,5706204,25904.0,18859,47121,21235,13015,107534,17962,151603,112006,207957,98822,46927.0,10465.0,44073,37970,3854,6260,2486,3754,1727,3001,1607,3315,2961,2082
53,"PE 36:4; [M+H]+; GPEtn(18:2(2E,4E)/18:2(2E,4E))","54         PE 36:4; [M+H]+; GPEtn(18:2(2E,4E)/18:2(2E,4E))",740.5212,,12.4,12.9,15,1.0,740.5212,740.5215,0.4,S07169,12.66,12.55,12.8,0.25,39,18452,10133,21715,25568,34132,31091,35467.0,39057,13334,8650,20365,11794,21778,41700,123997,3313.0,42081,249939,0.0,1113,7797,3489,1616154,3756.0,0,4379,754,3151,9288,2452,20386,12607,31457,23055,4241.0,893.0,7598,2825,830,0,646,655,0,0,0,0,0,0
54,"PE 38:4; [M+H]+; GPEtn(14:0/24:4(5Z,8Z,11Z,14Z))","55         PE 38:4; [M+H]+; GPEtn(14:0/24:4(5Z,8Z,11Z,14Z))",768.5526,,13.8,14.3,15,1.0,768.5526,768.5526,0.0,S07169,14.05,14.03,14.13,0.1,41,723640,446488,767185,938910,1587780,1151876,788140.0,1515006,562085,339851,914276,569973,763801,1278703,3307120,113451.0,546398,3715013,7942.0,14335,83317,37558,9612342,35299.0,33904,65180,31129,20792,93180,24381,927912,718179,1163529,734003,59599.0,9023.0,39876,22058,9205,5623,0,0,0,0,1178,0,0,0
55,"PE 38:4; [M+H]+; GPEtn(16:0/22:4(7Z,10Z,13Z,16Z))","56         PE 38:4; [M+H]+; GPEtn(16:0/22:4(7Z,10Z,13Z,16Z))",768.553,,13.8,14.3,15,1.0,768.553,768.5526,-0.5,S07169,14.05,14.03,14.06,0.03,40,723640,446488,767185,938910,1587780,1151876,788140.0,1515006,562085,339851,914276,569973,763801,1278703,3307120,113451.0,546398,3715013,7942.0,14335,83317,37558,9612342,35299.0,33904,65180,31129,20792,93180,24381,927912,718179,1163529,734003,59599.0,9023.0,39876,22058,9205,5623,0,0,0,0,0,0,0,0
56,"PE 38:6; [M+H]+; GPEtn(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","57         PE 38:6; [M+H]+; GPEtn(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",764.5219999999997,,11.4,11.9,15,1.0,764.5219999999997,764.5211,-1.2,S07169,11.73,11.68,11.79,0.11,39,23933,11512,18067,15047,29160,20962,35793.0,30926,17170,9295,16604,13960,18960,28742,130545,3138.0,56801,485884,0.0,930,12132,4141,6080960,5890.0,1106,5056,925,2145,8364,1208,16024,14967,22001,30866,5163.0,1085.0,8736,4538,0,794,0,0,0,876,0,0,0,0
57,"PE 40:6; [M+H]+; GPEtn(20:3(5Z,8Z,11Z)/20:3(5Z,8Z,11Z))","58         PE 40:6; [M+H]+; GPEtn(20:3(5Z,8Z,11Z)/20:3(5Z,8Z,11Z))",792.5518,,13.5,14.0,15,1.0,792.5518,792.5518,0.0,S07169,13.78,13.56,13.82,0.26,39,258765,116653,130927,169340,411910,331883,255416.0,371984,161966,97283,255844,149656,258181,190029,1062278,32239.0,305118,1365904,2402.0,0,35416,19288,4089056,8231.0,1701,9915,6467,4911,11987,0,166724,176471,248427,184567,10595.0,0.0,5481,7819,1511,1122,0,0,0,0,746,0,0,975
58,SM 34:1; [M]+; SM(d14:1(4E)/20:0),59         SM 34:1; [M]+; SM(d14:1(4E)/20:0),703.5741,,11.0,11.5,15,1.0,703.5741,703.5742,0.1,S07164,11.26,11.24,11.28,0.04,40,849104,824064,1642658,1008893,2324106,1771931,679202.0,2016174,833108,887939,1506323,1805459,1041248,729204,2317482,177533.0,1361226,3928308,571916.0,588183,1458884,1465396,3280796,203842.0,1068239,1445700,1449880,743230,1125709,682017,1649441,1118749,1705638,989879,332606.0,199007.0,532296,303753,319432,371808,0,0,0,0,0,0,0,0
59,SM 36:1; [M]+; SM(d14:1(4E)/22:0),60         SM 36:1; [M]+; SM(d14:1(4E)/22:0),731.6060000000001,,13.5,14.0,15,1.0,731.6060000000001,731.6059,-0.1,S07164,13.72,13.7,13.73,0.03,40,351561,263068,582125,365213,628927,432295,438879.0,448506,311133,258485,493134,644761,282448,310842,1021474,57181.0,1238856,3015546,221168.0,301120,581517,1017484,970256,49751.0,902774,1098425,947983,391031,354052,361257,449334,384479,399269,434335,166799.0,43045.0,282580,86524,154304,144434,0,0,0,0,0,0,0,0
60,SM 38:0; [M]+; SM(d14:0/24:0),61         SM 38:0; [M]+; SM(d14:0/24:0),761.5766,,12.2,12.7,15,1.0,761.5766,761.5758,-1.1,S07169,12.52,12.48,12.69,0.21,41,25412,18135,18159,18285,51377,36462,36929.0,52387,14600,14220,34621,22911,21937,11303,37250,2969.0,1199432,2621052,38321.0,114429,323586,309835,4198483,175556.0,485879,938961,283343,105574,1212307,150212,29298,18226,20770,13439,189768.0,45983.0,720469,300888,84423,25451,655,0,0,0,0,0,0,0
61,SM 39:2; [M]+; SM(d15:1(4E)/24:1(15Z)),62         SM 39:2; [M]+; SM(d15:1(4E)/24:1(15Z)),771.5732,,13.6,14.1,15,1.0,771.5732,771.5721,-1.4,S07169,13.82,13.75,14.06,0.31,41,24671,18929,32539,46934,129727,66158,41492.0,132498,16890,8727,53449,34894,37316,14354,196952,1860.0,1704787,3490966,46519.0,145990,1075608,273384,4969358,635721.0,983188,2315547,371479,72412,3814525,475258,69127,40992,62219,22588,376209.0,65629.0,2003861,300609,203121,9294,0,0,0,0,0,0,908,0
62,SM 40:0; [M]+; SM(d14:0/26:0),63         SM 40:0; [M]+; SM(d14:0/26:0),789.6074,,13.8,14.2,15,1.0,789.6074,789.6075,0.1,S07164,14.0,14.0,14.03,0.03,40,87533,55114,59201,61856,137238,102859,68343.0,164215,41779,40597,111780,81588,64653,29968,110846,8370.0,4711646,7551720,181240.0,334439,1195670,583279,6205498,694926.0,2101319,3275600,1023084,435330,2775996,409260,83749,58882,57592,50268,870524.0,128977.0,1632551,1105897,349328,94074,0,0,0,0,0,0,0,0
63,SM 40:1; [M]+; SM(d14:0/26:1(17Z)),64         SM 40:1; [M]+; SM(d14:0/26:1(17Z)),787.6679,,15.0,15.5,15,1.0,787.6679,787.6677,-0.3,S07169,15.22,15.21,15.24,0.03,40,529194,409224,931060,964076,1709134,1242655,435383.0,1282897,443846,379462,970445,998835,825537,655108,1833836,101420.0,1145875,2318113,284657.0,1156456,2340342,919378,5379881,300542.0,551082,1584643,1013479,537231,2222894,1350980,841010,532888,1188779,607491,300752.0,62221.0,1482066,670872,367031,164622,0,0,0,0,0,0,0,0
64,SM 40:2; [M]+; SM(d14:1(4E)/26:1(17Z)),65         SM 40:2; [M]+; SM(d14:1(4E)/26:1(17Z)),785.6524,,14.3,14.8,15,1.0,785.6524,785.6528,0.5,S07169,14.64,14.52,14.66,0.13,40,78291,61243,106725,200536,248796,206568,138415.0,220195,84768,58034,139980,142986,121314,102681,389373,14324.0,339949,1275252,61472.0,322130,500299,234073,2477448,116910.0,199006,449688,218081,120981,823074,300815,247148,92268,193057,111215,91280.0,75603.0,592800,214739,82638,49058,0,0,0,0,0,0,0,0
65,SM 41:1; [M]+; SM(d15:0/26:1(17Z)),66         SM 41:1; [M]+; SM(d15:0/26:1(17Z)),801.6836,,15.3,15.8,15,1.0,801.6836,801.6837,0.1,S07164,15.52,15.51,15.53,0.03,41,170157,139852,248817,271551,485266,296960,64812.0,424827,101580,154171,347601,295810,202875,176529,439087,26150.0,701355,1653838,139154.0,238357,579403,533040,1358221,107335.0,430885,1025183,491343,237926,647265,241725,250952,150319,322515,156665,181508.0,8646.0,357467,200559,245354,87606,0,0,0,0,0,905,0,0
66,SM 41:2; [M]+; SM(d15:1(4E)/26:1(17Z)),67         SM 41:2; [M]+; SM(d15:1(4E)/26:1(17Z)),799.6056,,14.4,14.9,15,1.0,799.6056,799.6046,-1.3,S07175,14.59,14.44,14.85,0.41,43,2419,1283,3146,1648,7620,0,1565.0,6181,1581,1088,5108,1745,2129,1728,9113,1031.0,570879,1351481,9228.0,18690,192635,45837,1249188,81072.0,237786,634871,68074,13268,1402361,58221,1320,1590,3865,2190,98949.0,4953.0,592103,77933,36517,879,0,1081,0,1095,1134,1222,0,0
67,SM 42:1; [M]+; SM(d16:0/26:1(17Z)),68         SM 42:1; [M]+; SM(d16:0/26:1(17Z)),815.6989,,15.5,16.0,15,1.0,815.6989,815.699,0.1,S07151,15.78,15.72,15.98,0.26,42,686236,689386,1313201,1199270,2143001,1954189,601171.0,1872903,592908,548428,1482605,1043196,1151568,621645,1945197,163528.0,961583,2103706,224841.0,370180,1356066,713680,1773709,187043.0,480364,1043662,762618,285139,1072114,272082,1106990,814416,1644167,1045743,228466.0,20971.0,551580,423457,308548,134849,0,0,0,0,0,0,1070,1101
68,SM 42:2; [M]+; SM(d16:1(4E)/26:1(17Z)),69         SM 42:2; [M]+; SM(d16:1(4E)/26:1(17Z)),813.6839,,14.9,15.4,15,1.0,813.6839,813.6835,-0.5,S07164,15.17,15.16,15.19,0.03,40,2617261,2490239,5012193,3450695,7605341,7256442,1937998.0,6248040,2233206,1969003,5569796,5266599,3549692,1863166,7252982,433993.0,5844342,14999099,975252.0,1824435,5036622,3683196,13599836,635748.0,2394956,5763357,4319624,1784370,3951808,1879469,5116052,3645878,5238422,3666431,1100141.0,462427.0,2076974,1142718,814723,606217,0,0,0,0,0,0,0,0
69,"SM 42:4; [M]+; SM(d18:0/24:4(5Z,8Z,11Z,14Z))","70         SM 42:4; [M]+; SM(d18:0/24:4(5Z,8Z,11Z,14Z))",809.5853,,13.7,14.2,15,1.0,809.5853,809.5826,-3.3,S07163,14.03,14.0,14.03,0.03,40,349072,229014,223940,237706,611078,400928,290421.0,674864,172347,170906,441706,316106,239942,129473,434408,33536.0,16082617,13722567,680870.0,1589069,5877475,3010102,13706024,3482195.0,9226629,11539294,5599229,1789818,9619294,1739318,311432,244127,251805,180783,4724193.0,535053.0,7075347,5361378,1739528,419778,0,0,0,0,0,0,0,0
70,TG 46:1; [M+NH4]+; TG(14:0/16:0/16:1),71         TG 46:1; [M+NH4]+; TG(14:0/16:0/16:1),794.7217,,17.3,17.8,15,1.0,794.7217,794.7217,0.0,S07153,17.53,17.52,17.6,0.09,48,300848,604175,256042,237449,328829,132060,1648931.0,637284,84653,90614,72237,130987,138419,1402642,972706,267809.0,80201,84612,45861.0,50550,41249,36511,289124,37309.0,66573,73395,41974,89205,49948,41404,1253064,67983,61551,97639,34404.0,40254.0,34414,50592,32501,46320,36799,39545,30640,29231,37149,26733,31733,33850
71,TG 46:2; [M+NH4]+; TG(12:0/18:1/16:1),72         TG 46:2; [M+NH4]+; TG(12:0/18:1/16:1),792.7061,,16.9,17.4,15,1.0,792.7061,792.7061,0.0,S07153,17.19,17.18,17.31,0.13,48,84116,145496,72846,59231,102877,34371,3303080.0,154025,43475,23452,17486,69232,44534,312871,236595,315644.0,29125,24650,17453.0,23581,19669,16054,115730,19576.0,33022,25218,16525,42072,17031,19882,396858,20501,19653,26226,16009.0,17154.0,15092,23457,14303,23350,17059,14429,14944,13580,13897,11720,15018,15252
72,TG 48:1; [M+NH4]+; TG(14:0/16:0/18:1),73         TG 48:1; [M+NH4]+; TG(14:0/16:0/18:1),822.753,,17.6,18.1,15,1.0,822.753,822.7531,0.1,S07160,17.83,17.83,17.89,0.07,48,882959,1447574,648613,716417,814418,365328,3845024.0,1575831,202410,197921,230843,376093,361378,4619548,2526106,432574.0,188995,514968,52106.0,72855,105943,65649,1519536,78903.0,128887,248484,104050,114437,284628,70909,3161673,224807,209089,357661,52944.0,62906.0,71350,88181,55119,86987,49909,56930,46286,44612,41029,42831,41038,45074
73,TG 48:2; [M+NH4]+; TG(14:0/16:1/18:1),74         TG 48:2; [M+NH4]+; TG(14:0/16:1/18:1),820.7377,,17.3,17.8,15,1.0,820.7377,820.7376,-0.1,S07153,17.53,17.51,17.63,0.12,48,345145,639039,230590,283031,453640,124680,7303748.0,585820,88228,77412,77905,597873,140849,1442264,1346082,581715.0,104166,124939,40620.0,43937,48281,36431,1004610,54239.0,79417,82166,43057,106446,111590,38637,1969978,83557,58060,112566,31255.0,36199.0,33177,46081,35814,42796,29934,27229,25388,25552,28297,31658,24996,27235
74,TG 48:3; [M+NH4]+; TG(14:1/16:1/18:1),75         TG 48:3; [M+NH4]+; TG(14:1/16:1/18:1),818.7214,,16.9,17.4,15,1.0,818.7214,818.7216,0.2,S07153,17.19,17.18,17.36,0.18,48,53172,88729,42726,41424,72876,26677,5065076.0,92889,23668,14103,12618,303821,29848,193481,158953,313667.0,16250,18346,9611.0,12812,10479,7126,242266,12157.0,16075,15788,9380,18874,13356,10807,242261,14454,11742,14556,8391.0,13957.0,7835,11613,9660,12526,9435,7700,7878,7421,10597,6119,5837,8409
75,TG 50:1; [M+NH4]+; TG(16:0/16:0/18:1),76         TG 50:1; [M+NH4]+; TG(16:0/16:0/18:1),850.7842,,17.9,18.4,15,1.0,850.7842,850.7842,0.0,S07160,18.11,18.1,18.14,0.04,48,2037623,2455273,1859586,1922922,1590844,902340,4075168.0,3179250,492029,548861,1098574,805618,753273,12848520,4038123,679952.0,617384,841972,221025.0,196790,653258,274175,4984758,463015.0,678427,1585961,498460,395137,1302426,489383,6614752,740212,976373,1167151,165604.0,131439.0,440271,229503,204878,194299,179617,155728,108488,134202,124518,112877,120142,145675
76,TG 50:2; [M+NH4]+; TG(16:0/16:1/18:1),77         TG 50:2; [M+NH4]+; TG(16:0/16:1/18:1),848.7687,,17.6,18.1,15,1.0,848.7687,848.7684,-0.4,S07153,17.83,17.82,17.9,0.09,48,1301099,2078729,757816,991680,1593582,532311,15205480.0,1871964,213837,272772,312649,1028837,504584,5574244,4565596,845863.0,262805,1257800,77489.0,80420,153654,96585,6213680,140012.0,201645,482486,109875,102995,1197317,85980,6754202,305372,226594,479632,53302.0,68451.0,83644,77733,60990,76262,58302,53662,48524,56269,53163,45693,41019,44559
77,TG 50:3; [M+NH4]+; TG(16:0/16:1/18:2),78         TG 50:3; [M+NH4]+; TG(16:0/16:1/18:2),846.7529,,17.3,17.8,15,1.0,846.7529,846.7531,0.2,S07153,17.53,17.51,17.65,0.14,48,323406,515189,138923,184570,445471,117629,15641431.0,495848,62098,59541,74663,537977,145068,1000997,896306,666092.0,53930,243582,18207.0,22179,29729,23493,2866353,25310.0,39179,62956,23184,23981,107130,15466,1460728,67150,42900,103187,14537.0,17420.0,18367,18717,18319,22053,15030,14914,11342,11726,11769,12827,13912,12444
78,TG 50:3; [M+NH4]+; TG(16:1/16:1/18:1),79         TG 50:3; [M+NH4]+; TG(16:1/16:1/18:1),846.753,,17.3,17.8,15,1.0,846.753,846.7531,0.1,S07153,17.53,17.51,17.65,0.14,48,323406,515189,138923,184570,445471,117629,15641431.0,495848,62098,59541,74663,537977,145068,1000997,896306,666092.0,53930,243582,18207.0,22179,29729,23493,2866353,25310.0,39179,62956,23184,23981,107130,15466,1460728,67150,42900,103187,14537.0,17420.0,18367,18717,18319,22053,15030,14914,11342,11726,11769,12827,13912,12444
79,TG 50:4; [M+NH4]+; TG(16:1/16:1/18:2),80         TG 50:4; [M+NH4]+; TG(16:1/16:1/18:2),844.7371,,17.0,17.5,15,1.0,844.7371,844.7369,-0.2,S07153,17.24,17.23,17.47,0.23,48,33798,47684,13885,18933,39504,14410,6493720.0,58776,8898,7215,10100,31561,18850,70065,69122,277814.0,6594,22503,4860.0,3765,3610,2753,311076,3310.0,5015,6933,3551,5315,8974,4226,110870,8470,8260,13435,1454.0,3193.0,1480,4356,2537,3638,2648,2869,2612,2517,2109,1304,2446,1240
80,TG 52:1; [M+NH4]+; TG(16:0/18:0/18:1),81         TG 52:1; [M+NH4]+; TG(16:0/18:0/18:1),878.816,,18.1,18.4,15,1.0,878.816,878.8159,-0.1,S07160,18.39,18.14,18.4,0.26,48,370523,538301,537403,428260,363435,257519,755968.0,538558,205571,153081,452514,235963,207405,2331063,811461,127003.0,140974,309029,69886.0,74969,113360,86367,860824,63305.0,132128,380456,141371,111442,204060,94466,885682,255562,329859,361776,45127.0,57888.0,56533,68197,53820,62718,38939,46400,42585,45989,37422,37921,36245,37454
81,TG 52:2; [M+NH4]+; TG(16:0/18:1/18:1),82         TG 52:2; [M+NH4]+; TG(16:0/18:1/18:1),876.7998,,17.9,18.4,15,1.0,876.7998,876.7994,-0.5,S07160,18.11,18.09,18.14,0.05,48,2898742,3703299,2206540,2316544,3687346,1375221,10471943.0,3812443,580191,802948,1091522,1411279,981331,17203196,8030164,901112.0,1367396,2224087,398712.0,246088,833036,288999,13926355,948234.0,1433405,2001289,482814,412868,4709272,446795,11313953,952361,870788,1428615,150937.0,154074.0,374755,269457,174794,146809,127968,124685,92654,116876,114333,93954,102327,108114
82,TG 52:3; [M+NH4]+; TG(16:0/18:1/18:2),83         TG 52:3; [M+NH4]+; TG(16:0/18:1/18:2),874.7844,,17.6,18.1,15,1.0,874.7844,874.7838,-0.7,S07153,17.83,17.83,17.88,0.06,48,1250595,1755182,527038,762378,1769180,580900,31235798.0,1586615,214841,291737,386534,612755,545515,3796684,2696634,845172.0,553563,2660946,143131.0,90599,227571,228487,15908904,188082.0,463788,644866,157501,97205,888729,98585,4639158,288875,244308,540024,54176.0,75906.0,86999,85701,64303,75390,58387,65711,49543,45211,44989,44675,45739,52448
83,TG 52:3; [M+NH4]+; TG(16:1/18:1/18:1),84         TG 52:3; [M+NH4]+; TG(16:1/18:1/18:1),874.7842,,17.6,18.1,15,1.0,874.7842,874.7838,-0.5,S07153,17.83,17.83,17.88,0.06,48,1250595,1755182,527038,762378,1769180,580900,31235798.0,1586615,214841,291737,386534,612755,545515,3796684,2696634,845172.0,553563,2660946,143131.0,90599,227571,228487,15908904,188082.0,463788,644866,157501,97205,888729,98585,4639158,288875,244308,540024,54176.0,75906.0,86999,85701,64303,75390,58387,65711,49543,45211,44989,44675,45739,52448
84,TG 52:4; [M+NH4]+; TG(16:1/18:1/18:2),85         TG 52:4; [M+NH4]+; TG(16:1/18:1/18:2),872.7682,,17.3,17.8,15,1.0,872.7682,872.7684,0.2,S07153,17.56,17.56,17.77,0.21,48,291931,341414,88712,99431,239800,113183,16945696.0,424246,53097,62140,84370,110923,136002,368301,404284,645106.0,110506,508945,82653.0,34376,54957,65739,2942888,43507.0,73342,185487,44037,33618,159580,34277,646551,61676,55533,76242,25088.0,31295.0,30522,34014,28081,28042,28603,29907,22166,23596,22379,22872,19840,25420
85,TG 52:5; [M+NH4]+; TG(16:1/18:2/18:2),86         TG 52:5; [M+NH4]+; TG(16:1/18:2/18:2),870.7519,,17.0,17.5,15,1.0,870.7519,870.7527,0.9,S07153,17.26,17.26,17.46,0.2,48,34253,36174,16185,23196,36862,25580,5171716.0,63237,8649,12090,11919,18261,26006,27300,49110,156003.0,10499,46494,6135.0,5857,5835,8499,441812,6570.0,7039,11866,7148,5747,16997,7673,52983,15028,12245,18220,6169.0,7655.0,5369,5140,4644,4619,5918,3769,4047,5682,5825,4081,4895,5385
86,TG 54:2; [M+NH4]+; TG(18:0/18:1/18:1),87         TG 54:2; [M+NH4]+; TG(18:0/18:1/18:1),904.8312,,18.1,18.4,15,1.0,904.8312,904.8312,0.0,S07160,18.37,18.14,18.39,0.25,48,434866,556319,415943,354460,627668,311184,969019.0,649188,133183,144965,246876,198382,212349,2435020,1202946,101077.0,79871,234226,83391.0,59188,75311,49173,693872,52531.0,115925,240516,63073,163952,219428,54531,1207834,175369,178655,341113,26134.0,49309.0,33152,53010,29382,31928,21918,23189,18388,22497,21679,19561,19086,20099
87,TG 54:3; [M+NH4]+; TG(18:0/18:1/18:2),88         TG 54:3; [M+NH4]+; TG(18:0/18:1/18:2),902.8147,,17.9,18.4,15,1.0,902.8147,902.8152,0.6,S07153,18.11,18.08,18.14,0.05,48,1318395,1593610,1105078,1195359,2564025,903141,16965068.0,1537448,296732,498891,554048,783666,552990,7183710,4211816,602621.0,435313,726597,580721.0,133562,270131,140649,4264003,269637.0,564258,1024200,237441,811449,643192,225621,7420240,558831,500453,873718,92352.0,186745.0,155090,193138,101889,110785,79969,89193,59937,85841,71527,69260,61053,66327
88,TG 54:3; [M+NH4]+; TG(18:1/18:1/18:1),89         TG 54:3; [M+NH4]+; TG(18:1/18:1/18:1),902.8153,,17.9,18.4,15,1.0,902.8153,902.8152,-0.1,S07153,18.11,18.08,18.14,0.05,48,1318395,1593610,1105078,1195359,2564025,903141,16965068.0,1537448,296732,498891,554048,783666,552990,7183710,4211816,602621.0,435313,726597,580721.0,133562,270131,140649,4264003,269637.0,564258,1024200,237441,811449,643192,225621,7420240,558831,500453,873718,92352.0,186745.0,155090,193138,101889,110785,79969,89193,59937,85841,71527,69260,61053,66327
89,TG 54:4; [M+NH4]+; TG(18:1/18:1/18:2),90         TG 54:4; [M+NH4]+; TG(18:1/18:1/18:2),900.7987,,17.6,18.1,15,1.0,900.7987,900.7987,0.0,S07153,17.83,17.83,17.88,0.04,48,606803,780487,250504,297204,942475,311324,15683119.0,818273,99545,175106,212928,227797,320976,1524576,1171224,533340.0,182511,587791,172915.0,50056,81257,76159,4004990,65529.0,230956,235319,87918,107210,193648,75486,1222799,174435,130873,266437,34629.0,69678.0,40357,50047,39760,47896,36717,39991,34404,32306,37946,29477,32400,36761
90,TG 54:5; [M+NH4]+; TG(18:1/18:2/18:2),91         TG 54:5; [M+NH4]+; TG(18:1/18:2/18:2),898.7832,,17.3,17.8,15,1.0,898.7832,898.7839,0.8,S07153,17.59,17.58,17.77,0.19,48,238289,207144,95639,104485,240622,213107,7600608.0,373120,52503,68645,86518,103602,136785,168930,280850,235580.0,61614,193008,146372.0,29813,38728,40101,1126391,34848.0,81486,131570,43589,45986,98387,46537,222511,73633,110695,103151,27583.0,47182.0,34589,39004,29245,29973,33218,28090,21765,27966,26905,28975,30751,27791
91,TG 54:6; [M+NH4]+; TG(18:1/18:2/18:3),92         TG 54:6; [M+NH4]+; TG(18:1/18:2/18:3),896.768,,17.1,17.6,15,1.0,896.768,896.7687,0.8,S07153,17.44,17.29,17.52,0.24,48,56059,56976,30303,18721,49321,37248,2894140.0,112544,20350,24653,26683,38360,38378,32234,47341,107869.0,18527,91964,64788.0,16434,17350,18145,671695,15826.0,36759,43294,17367,24553,30745,18899,57481,19603,20217,23914,15813.0,26642.0,13435,15639,17214,20623,16076,15640,14196,15787,16665,15253,17387,17476
92,TG 56:6; [M+NH4]+; TG(18:1/18:1/20:4),93         TG 56:6; [M+NH4]+; TG(18:1/18:1/20:4),924.7998,,17.5,18.0,15,1.0,924.7998,924.7997,-0.1,S07153,17.74,17.72,17.91,0.19,31,75980,86588,62927,84509,195898,151180,2469474.0,154343,24811,31916,63018,44017,87768,55643,221762,71443.0,41727,231579,0.0,1401,21958,13794,937188,11601.0,48240,17271,10772,0,67394,0,239478,56561,71045,80458,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
