File,id,Group,Color
S03916,1 EcoMTIV2A complete media,Group 1,#FF0000
S03917,2 EcoMTIV2A complete + 2-oxobutanoate spike-in,Group 1,#FF0000
S03918,3 pcDNA5 complete media,Control,#0000FF
S03919,4 SceMTIV complete media,Group 2,#000000
S03920,5 EcoMTIV2A valine dropout media,Group 1,#FF0000
SQ290_B_0,Blank_0,Blank,NA
SQ290_B_1,Blank_1,Blank,NA
SQ290_B_2,Blank_2,Blank,NA
SQ290_B_3,Blank_3,Blank,NA
SQ290_B_4,Blank_4,Blank,NA
SQ290_B_5,Blank_5,Blank,NA
