Metabolite	Formula	Ion Type	RT Start (min)	RT End (min)	m/z Tolerance (ppm)	RT Tolerance (min)	mz	obs_mz	ppm	winner	RT	RT_min	RT_max	RT_range	detections	S03916	S03917	S03918	S03919	S03920	SQ290_B_0	SQ290_B_1	SQ290_B_2	SQ290_B_3	SQ290_B_4	SQ290_B_5
N-Acetylglutamic acid	C7H11NO5	[M+H]+	10.3	12.3	10	0.2	190.071	190.0703	-3.8	S03919	11.3	11.18	11.36	0.18	11	7035	10078	12835	18202	8815	4391	3603	4203	1633	1547	1543
N-Acetylglutamine	C7H12N2O4	[M-H]-	6.8	8.8	10	0.2	187.0724	187.0724	-0.1	S03920	7.81	7.57	7.99	0.42	11	2450	4177	5228	6162	6728	1589	1308	1408	1498	1646	1560
N-Acetyl-L-alanine	C5H9NO3	[M+H]+	6	7	10	0.2	132.0655	132.0656	0.2	S03918	6.73	6.57	6.91	0.34	11	26196	20191	32106	25742	11156	16649	18787	10181	15196	11519	11608
N-Acetyl-L-methionine	C7H13NO3S	[M+H]+	3	5	10	0.2	192.0689	192.0683	-3	S03918	3.16	3.16	3.16	0	1	0	0	3490	0	0	0	0	0	0	0	0
N-Acetyl-L-phenylalanine	C11H13NO3	[M+H]+	2.8	4	10	0.2	208.0968	208.0968	0.1	S03920	3.33	3.29	3.39	0.1	11	19221	16981	15314	4691	19783	16674	11559	10715	9475	11345	11469
N-Acetylornithine	C7H14N2O3	[M+H]+	8.6	10.6	10	0.2	175.1077	175.1076	-0.5	S03917	9.87	9.67	9.89	0.22	11	2287	6204	5402	5261	5232	5067	1947	2125	1990	1935	1671
N-Acetylserine	C5H9NO4	[M-H]-	7.5	8.5	10	0.2	146.0459	146.0455	-2.9	S03917	8.1	7.95	8.1	0.15	11	11529	16852	12656	13400	12574	6376	4962	4210	4828	5199	4222
NAD	C21H27N7O14P2	[Cat]+	9.9	11.9	10	0.2	664.1164	664.1102	-9.3	S03920	11.66	11.66	11.66	0	1	0	0	0	0	4881	0	0	0	0	0	0
NADH	C21H29N7O14P2	[M-H]-	9.5	11.5	10	0.2	664.1175	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NADP	C21H28N7O17P3	[Cat]+	12.7	14.7	10	0.2	744.0827	744.0757	-9.4	S03917	14.64	14.64	14.64	0	1	0	991	0	0	0	0	0	0	0	0	0
NADPH	C21H30N7O17P3	[M-H]-	13	15	10	0.2	744.0838	744.0788	-6.8	S03916	14.59	14.42	14.59	0.17	2	1433	0	0	998	0	0	0	0	0	0	0
Niacinamide	C6H6N2O	[M+H]+	3.3	5.3	10	0.2	123.0553	123.0552	-0.5	S03920	4.64	4.4	4.64	0.25	11	2569233	3611044	5109119	4424686	7474977	414724	321746	590378	562096	691830	602680
Nicotinic acid	C6H5NO2	[M-H]-	5.5	7.5	10	0.2	122.0248	122.0238	-7.6	S03920	5.56	5.47	5.6	0.13	11	6093	7482	5828	6919	8266	5858	7454	7665	5646	6489	7643
O-Phosphoethanolamine	C2H8NO4P	[M+H]+	11.4	13.4	10	0.2	142.0264	142.026	-2.7	S03919	11.76	11.76	11.76	0	1	0	0	0	13058	0	0	0	0	0	0	0
Ornithine	C5H12N2O2	[M+H]+	15.3	17.3	10	0.2	133.0972	133.0971	-0.1	S03917	16.91	16.91	17.13	0.22	11	84590	108435	71243	89890	55254	18153	18412	18551	18044	19242	15509
Orotic acid	C5H4N2O4	[M-H]-	6.7	8.7	10	0.2	155.0098	155.0091	-4.6	S03920	7.7	7.6	7.84	0.24	7	11188	7155	7224	13227	86273	1006	0	0	0	0	1234
