Metabolite,SQ319_B_0,SQ319_B_1,SQ319_B_2,SQ319_B_3,SQ319_B_4,SQ319_B_5
Uridine diphosphate-N-acetylglucosamine-13C-0,0,0,1361,0,0,0
Uridine diphosphate-N-acetylglucosamine-13C-1,0,1588,0,0,0,0
Uridine diphosphate-N-acetylglucosamine-13C-2,0,0,0,0,0,0
Uridine diphosphate-N-acetylglucosamine-13C-3,0,0,0,0,0,0
Uridine diphosphate-N-acetylglucosamine-13C-4,0,0,0,0,0,0
Uridine diphosphate-N-acetylglucosamine-13C-5,0,0,0,0,0,0
Uridine diphosphate-N-acetylglucosamine-13C-6,0,0,0,0,0,0
Uridine diphosphate-N-acetylglucosamine-13C-7,0,0,0,0,0,0
Uridine diphosphate-N-acetylglucosamine-13C-8,0,0,0,0,0,0
Uridine diphosphate-N-acetylglucosamine-13C-9,0,0,0,0,0,0
Uridine diphosphate-N-acetylglucosamine-13C-10,0,0,0,0,0,0
Uridine diphosphate-N-acetylglucosamine-13C-11,0,0,0,0,0,0
Uridine diphosphate-N-acetylglucosamine-13C-12,0,0,0,1825,0,0
Uridine diphosphate-N-acetylglucosamine-13C-13,0,0,0,0,0,0
Uridine diphosphate-N-acetylglucosamine-13C-14,0,0,0,0,0,0
Uridine diphosphate-N-acetylglucosamine-13C-15,0,0,0,0,0,0
Uridine diphosphate-N-acetylglucosamine-13C-16,0,0,0,0,0,0
Uridine diphosphate-N-acetylglucosamine-13C-17,0,0,0,0,0,0
Folic acid-13C-0,0,0,0,0,0,0
Folic acid-13C-1,0,0,0,0,0,0
Folic acid-13C-2,0,0,0,0,0,0
Folic acid-13C-3,90166,120376,132665,117613,113529,72133
Folic acid-13C-4,9257,0,0,16889,0,16012
Folic acid-13C-5,0,0,0,2791,0,0
Folic acid-13C-6,0,0,0,0,0,0
Folic acid-13C-7,0,0,0,0,0,0
Folic acid-13C-8,0,0,0,0,0,0
Folic acid-13C-9,0,0,0,0,0,0
Folic acid-13C-10,0,0,0,0,0,0
Folic acid-13C-11,0,0,0,0,0,0
Folic acid-13C-12,0,0,0,0,0,0
Folic acid-13C-13,0,0,0,0,0,0
Folic acid-13C-14,0,0,0,0,0,0
Folic acid-13C-15,0,0,0,0,0,0
Folic acid-13C-16,0,0,0,0,0,0
Folic acid-13C-17,0,0,0,0,0,0
Folic acid-13C-18,0,0,0,0,0,0
Folic acid-13C-19,0,0,0,0,0,0
Dihydrofolic acid-13C-0,0,0,0,0,0,0
Dihydrofolic acid-13C-1,147255,159912,159725,154866,152555,142816
Dihydrofolic acid-13C-2,22177,15684,0,8942,13204,0
Dihydrofolic acid-13C-3,0,0,3038,0,0,0
Dihydrofolic acid-13C-4,0,0,0,0,0,0
Dihydrofolic acid-13C-5,0,0,0,0,0,0
Dihydrofolic acid-13C-6,0,0,0,0,0,0
Dihydrofolic acid-13C-7,0,0,0,0,0,0
Dihydrofolic acid-13C-8,0,0,0,0,0,0
Dihydrofolic acid-13C-9,0,0,0,0,0,0
Dihydrofolic acid-13C-10,0,0,0,0,0,0
Dihydrofolic acid-13C-11,0,0,0,0,0,0
Dihydrofolic acid-13C-12,0,0,0,0,0,0
Dihydrofolic acid-13C-13,0,0,0,0,0,0
Dihydrofolic acid-13C-14,0,0,0,0,0,0
Dihydrofolic acid-13C-15,0,0,0,0,0,0
Dihydrofolic acid-13C-16,0,0,0,0,0,0
Dihydrofolic acid-13C-17,0,0,0,0,0,0
Dihydrofolic acid-13C-18,0,0,0,0,0,0
Dihydrofolic acid-13C-19,0,0,0,0,0,0
Oxidized glutathione-13C-0,3478,2176,16610,5547,9450,1346
Oxidized glutathione-13C-1,0,0,2812,0,1834,0
Oxidized glutathione-13C-2,2376,0,18791,9884,17107,10507
Oxidized glutathione-13C-3,0,0,1328,1566,5704,0
Oxidized glutathione-13C-4,0,0,10149,2955,8621,8415
Oxidized glutathione-13C-5,0,0,0,0,0,1814
Oxidized glutathione-13C-6,0,0,2045,1378,5919,0
Oxidized glutathione-13C-7,0,0,1692,0,0,0
Oxidized glutathione-13C-8,0,0,1697,0,1354,0
Oxidized glutathione-13C-9,0,0,0,1380,0,0
Oxidized glutathione-13C-10,0,0,0,0,0,0
Oxidized glutathione-13C-11,0,0,0,0,0,0
Oxidized glutathione-13C-12,0,0,0,0,0,0
Oxidized glutathione-13C-13,0,0,0,0,0,0
Oxidized glutathione-13C-14,0,0,0,0,0,0
Oxidized glutathione-13C-15,0,0,0,0,0,0
Oxidized glutathione-13C-16,0,0,0,0,0,0
Oxidized glutathione-13C-17,0,0,0,0,0,0
Oxidized glutathione-13C-18,0,0,0,0,0,0
Oxidized glutathione-13C-19,0,0,0,0,0,0
Oxidized glutathione-13C-20,0,0,0,0,0,0
NAD-13C-0,0,0,0,0,0,0
NAD-13C-1,0,0,0,0,0,2050
NAD-13C-2,0,0,0,0,0,0
NAD-13C-3,0,0,0,0,0,0
NAD-13C-4,0,0,0,0,0,0
NAD-13C-5,0,0,0,0,0,0
NAD-13C-6,0,0,0,0,0,0
NAD-13C-7,0,0,0,0,0,0
NAD-13C-8,0,0,0,0,0,0
NAD-13C-9,0,0,0,0,0,0
NAD-13C-10,0,0,0,0,0,0
NAD-13C-11,0,0,2582,0,1794,0
NAD-13C-12,0,0,0,0,0,0
NAD-13C-13,1710,0,0,0,0,0
NAD-13C-14,0,0,0,0,0,0
NAD-13C-15,0,0,0,0,0,0
NAD-13C-16,0,0,0,0,0,0
NAD-13C-17,0,0,0,0,0,0
NAD-13C-18,0,0,0,0,0,0
NAD-13C-19,0,0,0,0,0,0
NAD-13C-20,0,0,0,0,0,0
NAD-13C-21,0,0,0,0,0,0
NADP-13C-0,0,0,0,0,0,0
NADP-13C-1,0,0,0,1669,0,0
NADP-13C-2,5781,0,0,0,0,0
NADP-13C-3,0,0,0,0,0,0
NADP-13C-4,0,0,0,0,0,0
NADP-13C-5,0,0,0,0,1363,0
NADP-13C-6,0,0,0,0,0,0
NADP-13C-7,0,0,0,0,0,0
NADP-13C-8,0,0,0,0,0,0
NADP-13C-9,0,0,0,0,0,0
NADP-13C-10,0,0,0,0,0,0
NADP-13C-11,0,0,0,0,0,0
NADP-13C-12,0,0,0,0,0,0
NADP-13C-13,0,0,0,0,0,0
NADP-13C-14,0,0,0,0,0,0
NADP-13C-15,0,0,0,0,0,0
NADP-13C-16,0,0,0,0,0,0
NADP-13C-17,0,0,0,0,0,0
NADP-13C-18,0,0,0,0,0,0
NADP-13C-19,0,0,0,0,0,0
NADP-13C-20,0,0,0,0,0,0
NADP-13C-21,0,1524,0,0,0,2014
NADH-13C-0,0,0,0,0,0,0
NADH-13C-1,0,0,0,0,0,0
NADH-13C-2,0,0,0,0,0,0
NADH-13C-3,0,0,0,0,3313,0
NADH-13C-4,0,0,0,0,0,0
NADH-13C-5,0,0,0,0,0,0
NADH-13C-6,0,0,0,0,0,0
NADH-13C-7,0,0,0,0,0,0
NADH-13C-8,0,0,0,0,0,0
NADH-13C-9,0,0,0,0,0,0
NADH-13C-10,0,0,0,0,0,0
NADH-13C-11,0,0,0,0,0,0
NADH-13C-12,0,0,0,0,0,0
NADH-13C-13,0,0,0,0,0,0
NADH-13C-14,0,0,0,0,0,0
NADH-13C-15,0,0,0,0,0,0
NADH-13C-16,0,0,0,0,0,0
NADH-13C-17,0,0,0,0,0,0
NADH-13C-18,0,0,0,0,0,0
NADH-13C-19,0,0,0,0,0,0
NADH-13C-20,0,0,0,0,0,0
NADH-13C-21,0,0,0,0,0,0
NADPH-13C-0,0,0,0,0,0,0
NADPH-13C-1,0,0,0,0,0,0
NADPH-13C-2,0,0,0,0,0,0
NADPH-13C-3,0,0,0,0,0,0
NADPH-13C-4,0,0,0,0,0,0
NADPH-13C-5,0,0,0,0,0,0
NADPH-13C-6,0,0,0,0,0,0
NADPH-13C-7,0,0,0,0,0,0
NADPH-13C-8,0,0,0,0,0,0
NADPH-13C-9,0,0,0,0,0,0
NADPH-13C-10,0,0,0,0,0,0
NADPH-13C-11,0,0,0,2042,0,0
NADPH-13C-12,0,0,0,0,0,0
NADPH-13C-13,0,0,0,0,0,0
NADPH-13C-14,0,0,0,0,0,0
NADPH-13C-15,0,0,0,0,0,0
NADPH-13C-16,0,0,0,0,0,0
NADPH-13C-17,0,0,0,0,0,0
NADPH-13C-18,0,0,0,0,0,0
NADPH-13C-19,0,0,0,0,0,0
NADPH-13C-20,0,0,0,0,2282,0
NADPH-13C-21,0,0,0,0,0,0
Acetyl-CoA-13C-0,0,0,0,0,0,0
Acetyl-CoA-13C-1,0,0,0,0,0,0
Acetyl-CoA-13C-2,0,0,0,0,0,0
Acetyl-CoA-13C-3,0,0,0,0,0,0
Acetyl-CoA-13C-4,0,0,0,0,0,0
Acetyl-CoA-13C-5,0,0,0,0,0,0
Acetyl-CoA-13C-6,0,2347,0,0,0,0
Acetyl-CoA-13C-7,0,0,0,0,0,0
Acetyl-CoA-13C-8,0,0,0,0,0,0
Acetyl-CoA-13C-9,0,0,0,0,0,0
Acetyl-CoA-13C-10,0,0,0,0,0,0
Acetyl-CoA-13C-11,0,0,0,0,0,0
Acetyl-CoA-13C-12,0,0,0,0,0,0
Acetyl-CoA-13C-13,0,0,0,0,0,0
Acetyl-CoA-13C-14,0,0,0,0,0,0
Acetyl-CoA-13C-15,0,0,0,0,0,0
Acetyl-CoA-13C-16,0,0,0,0,0,0
Acetyl-CoA-13C-17,0,0,0,0,0,0
Acetyl-CoA-13C-18,0,0,0,0,0,0
Acetyl-CoA-13C-19,0,0,0,0,0,0
Acetyl-CoA-13C-20,0,0,0,0,0,0
Acetyl-CoA-13C-21,0,0,0,0,0,0
Acetyl-CoA-13C-22,0,0,0,0,0,0
Acetyl-CoA-13C-23,0,0,0,0,0,0
FAD-13C-0,0,0,0,0,0,0
FAD-13C-1,0,0,0,0,0,0
FAD-13C-2,0,0,0,0,0,0
FAD-13C-3,0,0,0,0,0,0
FAD-13C-4,0,0,0,0,0,0
FAD-13C-5,0,0,0,0,0,0
FAD-13C-6,0,0,0,0,0,0
FAD-13C-7,0,0,0,0,0,0
FAD-13C-8,0,0,0,0,0,0
FAD-13C-9,0,0,0,0,0,0
FAD-13C-10,0,0,0,0,0,0
FAD-13C-11,0,0,0,0,0,0
FAD-13C-12,0,0,0,0,0,0
FAD-13C-13,0,0,0,0,0,0
FAD-13C-14,0,0,0,0,0,0
FAD-13C-15,0,0,0,0,0,0
FAD-13C-16,0,0,0,0,0,0
FAD-13C-17,0,0,0,0,0,0
FAD-13C-18,0,0,0,0,0,0
FAD-13C-19,0,2253,0,0,0,0
FAD-13C-20,0,0,0,0,0,0
FAD-13C-21,0,0,0,0,0,2390
FAD-13C-22,0,0,0,0,0,0
FAD-13C-23,0,0,0,0,0,0
FAD-13C-24,0,0,0,0,0,0
FAD-13C-25,0,0,0,0,0,0
FAD-13C-26,2260,0,0,0,0,0
FAD-13C-27,0,0,0,0,0,0
Glycine-13C-0,187842,174749,200553,174333,211351,184751
Glycine-13C-1,0,0,1997,0,2260,1323
Glycine-13C-2,1308,0,8449,0,13875,0
Hypotaurine-13C-0,0,0,0,0,0,0
Hypotaurine-13C-1,3504,0,0,5257,4518,0
Hypotaurine-13C-2,0,0,0,0,0,0
Taurine-13C-0,0,0,0,0,0,0
Taurine-13C-1,0,0,0,0,0,0
Taurine-13C-2,4538,0,0,0,0,5448
O-Phosphoethanolamine-13C-0,0,0,0,0,0,0
O-Phosphoethanolamine-13C-1,0,0,0,0,0,0
O-Phosphoethanolamine-13C-2,0,0,0,0,0,0
Pyruvic acid-13C-0,123357,109626,129052,104778,75985,80347
Pyruvic acid-13C-1,0,0,0,0,0,0
Pyruvic acid-13C-2,0,0,0,0,0,0
Pyruvic acid-13C-3,0,0,0,10032,0,10603
Phosphoenolpyruvic acid-13C-0,0,0,0,0,0,0
Phosphoenolpyruvic acid-13C-1,0,0,0,0,0,0
Phosphoenolpyruvic acid-13C-2,0,0,0,0,0,0
Phosphoenolpyruvic acid-13C-3,0,0,0,0,1928,0
L-Lactic acid-13C-0,1892840,1642477,1273326,1276813,1161786,1029939
L-Lactic acid-13C-1,0,24494,0,0,8060,10921
L-Lactic acid-13C-2,0,0,0,0,0,0
L-Lactic acid-13C-3,0,0,0,0,0,0
Guanidoacetic acid-13C-0,8704,5516,9295,7303,13121,8804
Guanidoacetic acid-13C-1,0,0,0,0,1469,0
Guanidoacetic acid-13C-2,0,0,0,0,1316,0
Guanidoacetic acid-13C-3,0,0,0,0,0,0
L-Cysteine-13C-0,0,0,0,0,0,0
L-Cysteine-13C-1,0,0,0,0,0,0
L-Cysteine-13C-2,0,0,0,0,0,0
L-Cysteine-13C-3,17421,16738,17924,17348,17302,13971
L-Serine-13C-0,59004,15359,56998,0,62171,44421
L-Serine-13C-1,0,0,0,0,3060,1122
L-Serine-13C-2,23998,35947,27806,36927,13462,22572
L-Serine-13C-3,2216,0,2807,0,7034,0
3-Phosphoglyceric acid-13C-0,0,0,0,0,0,0
3-Phosphoglyceric acid-13C-1,0,0,0,0,0,0
3-Phosphoglyceric acid-13C-2,0,0,0,0,0,0
3-Phosphoglyceric acid-13C-3,0,0,0,0,0,0
Phosphoserine-13C-0,1697,0,0,0,1363,0
Phosphoserine-13C-1,0,0,0,0,0,0
Phosphoserine-13C-2,0,0,0,0,0,0
Phosphoserine-13C-3,0,0,0,0,0,0
"2,3-Diphosphoglyceric acid-13C-0",0,0,0,0,0,0
"2,3-Diphosphoglyceric acid-13C-1",6088,0,0,0,0,0
"2,3-Diphosphoglyceric acid-13C-2",0,0,0,0,0,0
"2,3-Diphosphoglyceric acid-13C-3",0,0,0,0,0,0
Glycerol 3-phosphate-13C-0,0,0,0,0,0,0
Glycerol 3-phosphate-13C-1,0,0,0,0,0,0
Glycerol 3-phosphate-13C-2,3926,0,0,0,0,0
Glycerol 3-phosphate-13C-3,0,0,0,0,0,0
Phosphocreatine-13C-0,0,0,0,0,0,0
Phosphocreatine-13C-1,0,0,0,0,0,0
Phosphocreatine-13C-2,0,0,0,0,0,0
Phosphocreatine-13C-3,0,0,0,2767,3021,4053
Phosphocreatine-13C-4,0,0,0,0,0,0
Uracil-13C-0,3461,4145,3830,3518,0,3557
Uracil-13C-1,0,0,0,0,0,0
Uracil-13C-2,0,0,0,0,0,0
Uracil-13C-3,0,0,2448,0,2589,0
Uracil-13C-4,0,0,0,0,0,0
Fumaric acid-13C-0,15777,11504,26222,16793,28496,14412
Fumaric acid-13C-1,0,0,0,0,0,0
Fumaric acid-13C-2,0,0,0,0,0,0
Fumaric acid-13C-3,0,0,0,0,0,0
Fumaric acid-13C-4,0,0,0,0,0,0
Cytosine-13C-0,25972,33115,23695,29118,21589,21373
Cytosine-13C-1,0,0,0,0,0,0
Cytosine-13C-2,0,0,0,0,0,0
Cytosine-13C-3,0,0,0,0,0,0
Cytosine-13C-4,0,0,0,0,0,0
Allantoin-13C-0,0,0,0,0,0,0
Allantoin-13C-1,0,0,0,0,0,0
Allantoin-13C-2,0,0,0,0,0,0
Allantoin-13C-3,0,0,0,11065,6368,0
Allantoin-13C-4,0,0,0,0,0,0
Acetoacetic acid-13C-0,20886,8365,31265,19878,11123,10836
Acetoacetic acid-13C-1,0,0,0,0,0,0
Acetoacetic acid-13C-2,0,0,0,0,0,0
Acetoacetic acid-13C-3,0,0,0,0,0,0
Acetoacetic acid-13C-4,0,0,0,0,0,0
Succinic acid-13C-0,87409,85427,95633,97688,81620,93489
Succinic acid-13C-1,0,0,0,0,0,0
Succinic acid-13C-2,0,0,0,0,0,0
Succinic acid-13C-3,0,0,0,0,0,0
Succinic acid-13C-4,0,0,0,0,0,0
L-Malic acid-13C-0,663269,195210,815554,627806,478273,600488
L-Malic acid-13C-1,5329,6291,15079,29985,21703,19388
L-Malic acid-13C-2,77831,24012,89156,66586,75167,98485
L-Malic acid-13C-3,68851,16716,56224,53784,33532,38619
L-Malic acid-13C-4,18904,15651,30250,18920,16622,15291
Creatinine-13C-0,71480,89958,89812,71937,113184,71759
Creatinine-13C-1,0,0,0,2236,2389,0
Creatinine-13C-2,0,0,0,0,0,0
Creatinine-13C-3,0,0,0,0,1967,0
Creatinine-13C-4,0,0,0,0,0,0
L-Aspartic acid-13C-0,101309,27887,234857,41203,450746,50101
L-Aspartic acid-13C-1,7188,0,5898,0,19813,0
L-Aspartic acid-13C-2,0,0,0,3110,0,0
L-Aspartic acid-13C-3,0,0,17170,0,38810,0
L-Aspartic acid-13C-4,0,0,0,0,24091,0
L-Asparagine-13C-0,69319,13357,54298,10264,81156,9729
L-Asparagine-13C-1,1824,0,3306,0,6822,0
L-Asparagine-13C-2,7735,0,11498,1927,7967,1687
L-Asparagine-13C-3,0,0,0,0,0,0
L-Asparagine-13C-4,0,0,0,0,0,0
Ureidopropionic acid-13C-0,19624,0,18580,0,15103,0
Ureidopropionic acid-13C-1,0,0,0,0,0,0
Ureidopropionic acid-13C-2,0,9116,0,7740,0,0
Ureidopropionic acid-13C-3,0,0,0,0,0,5559
Ureidopropionic acid-13C-4,0,0,0,0,0,0
3-Hydroxybutyric acid-13C-0,0,0,0,0,0,0
3-Hydroxybutyric acid-13C-1,0,0,0,0,0,0
3-Hydroxybutyric acid-13C-2,0,0,0,0,0,0
3-Hydroxybutyric acid-13C-3,21883,19800,0,0,0,16736
3-Hydroxybutyric acid-13C-4,151364,160022,173120,124500,147535,150246
Homocysteine-13C-0,0,0,0,0,0,0
Homocysteine-13C-1,182811,209783,189480,194595,139624,154532
Homocysteine-13C-2,10801,0,0,13107,0,0
Homocysteine-13C-3,0,0,0,0,0,0
Homocysteine-13C-4,0,0,0,0,0,0
L-Threonine-13C-0,0,4766,0,0,2912,4758
L-Threonine-13C-1,0,0,0,0,0,0
L-Threonine-13C-2,8614,0,12767,9635,6710,10012
L-Threonine-13C-3,0,0,0,0,0,0
L-Threonine-13C-4,0,0,0,0,0,0
L-Glutamine-13C-0,3291454,36365,2469890,50280,3136017,46827
L-Glutamine-13C-1,87578,0,66757,1643,109990,0
L-Glutamine-13C-2,9921,12606,10716,8793,0,7861
L-Glutamine-13C-3,0,0,0,0,0,0
L-Glutamine-13C-4,0,0,0,0,0,0
L-Glutamine-13C-5,0,0,0,0,0,0
L-Methionine-13C-0,4904,0,4094,0,3838,0
L-Methionine-13C-1,0,2522,0,0,0,3307
L-Methionine-13C-2,0,0,0,0,0,0
L-Methionine-13C-3,0,0,0,0,0,0
L-Methionine-13C-4,0,4082,0,3066,2367,2656
L-Methionine-13C-5,0,0,0,0,0,0
Ornithine-13C-0,60536,21733,74306,13294,263686,24170
Ornithine-13C-1,0,0,2487,0,5988,0
Ornithine-13C-2,0,0,0,0,0,0
Ornithine-13C-3,0,0,0,0,1645,0
Ornithine-13C-4,0,0,0,0,1522,0
Ornithine-13C-5,0,0,0,0,0,0
5-Phosphoribosylamine-13C-0,0,0,0,0,0,0
5-Phosphoribosylamine-13C-1,0,0,0,0,0,0
5-Phosphoribosylamine-13C-2,0,0,0,0,0,0
5-Phosphoribosylamine-13C-3,0,0,0,0,0,0
5-Phosphoribosylamine-13C-4,0,0,0,0,0,0
5-Phosphoribosylamine-13C-5,0,0,0,0,0,0
Phosphoribosyl pyrophosphate-13C-0,0,0,0,0,0,0
Phosphoribosyl pyrophosphate-13C-1,0,0,0,0,1988,0
Phosphoribosyl pyrophosphate-13C-2,0,0,0,0,0,0
Phosphoribosyl pyrophosphate-13C-3,0,0,0,0,0,0
Phosphoribosyl pyrophosphate-13C-4,0,0,0,0,0,0
Phosphoribosyl pyrophosphate-13C-5,2273,0,0,0,0,0
Choline-13C-0,2763,3104,6399,2443,7690,5290
Choline-13C-1,0,0,0,0,0,0
Choline-13C-2,0,0,0,0,0,0
Choline-13C-3,0,0,0,0,0,0
Choline-13C-4,0,0,0,0,0,0
Choline-13C-5,0,0,0,0,0,0
Phosphorylcholine-13C-0,2527,0,2745,0,1522,1577
Phosphorylcholine-13C-1,0,0,0,0,0,0
Phosphorylcholine-13C-2,0,0,0,0,0,0
Phosphorylcholine-13C-3,13325,8731,7783,8459,7461,7155
Phosphorylcholine-13C-4,0,0,0,0,0,0
Phosphorylcholine-13C-5,0,0,0,0,0,1448
Orotic acid-13C-0,0,0,0,0,0,9745
Orotic acid-13C-1,0,0,0,0,0,0
Orotic acid-13C-2,0,12907,0,0,0,0
Orotic acid-13C-3,0,0,0,0,0,0
Orotic acid-13C-4,0,0,0,0,0,0
Orotic acid-13C-5,9666,0,12112,15541,0,0
Hypoxanthine-13C-0,0,0,2652,0,0,3073
Hypoxanthine-13C-1,0,0,0,0,0,0
Hypoxanthine-13C-2,0,0,0,0,0,0
Hypoxanthine-13C-3,0,0,0,0,0,0
Hypoxanthine-13C-4,0,0,0,0,0,0
Hypoxanthine-13C-5,5791,18277,10039,36153,5192,6194
Xanthine-13C-0,28216,11952,11966,13887,15737,9608
Xanthine-13C-1,0,0,0,0,0,0
Xanthine-13C-2,0,0,0,0,0,0
Xanthine-13C-3,0,0,0,0,0,0
Xanthine-13C-4,0,0,0,0,0,0
Xanthine-13C-5,0,0,0,0,0,0
Uric acid-13C-0,0,0,0,0,0,0
Uric acid-13C-1,0,0,0,0,0,0
Uric acid-13C-2,0,0,0,0,0,0
Uric acid-13C-3,0,0,0,0,0,0
Uric acid-13C-4,0,0,0,0,0,0
Uric acid-13C-5,2743,0,0,0,0,0
Adenine-13C-0,24710,13654,22458,21546,23410,25464
Adenine-13C-1,0,0,0,0,0,0
Adenine-13C-2,0,0,3491,0,0,0
Adenine-13C-3,0,0,0,0,0,0
Adenine-13C-4,0,0,0,0,0,0
Adenine-13C-5,0,34901,0,2222,0,0
Guanine-13C-0,0,0,3724,0,0,0
Guanine-13C-1,0,0,0,0,0,0
Guanine-13C-2,0,0,0,0,0,0
Guanine-13C-3,0,0,0,0,0,0
Guanine-13C-4,15156,4127,0,9875,13339,25635
Guanine-13C-5,0,0,0,0,0,0
"4,5-Dihydroorotic acid-13C-0",0,10530,0,0,0,0
"4,5-Dihydroorotic acid-13C-1",0,0,0,0,0,0
"4,5-Dihydroorotic acid-13C-2",65590,76319,79387,69157,60157,68160
"4,5-Dihydroorotic acid-13C-3",0,0,0,9426,0,0
"4,5-Dihydroorotic acid-13C-4",0,0,0,0,0,0
"4,5-Dihydroorotic acid-13C-5",12134,13975,16983,10175,0,12307
Oxoglutaric acid-13C-0,0,0,0,4594,0,0
Oxoglutaric acid-13C-1,0,0,0,0,0,0
Oxoglutaric acid-13C-2,0,0,0,0,0,0
Oxoglutaric acid-13C-3,0,0,0,0,0,0
Oxoglutaric acid-13C-4,0,0,0,0,0,0
Oxoglutaric acid-13C-5,45328,27417,60962,32056,38877,42245
Ureidosuccinic acid-13C-0,0,0,0,0,0,0
Ureidosuccinic acid-13C-1,0,0,0,0,0,0
Ureidosuccinic acid-13C-2,17173,13423,11119,19863,11185,18349
Ureidosuccinic acid-13C-3,0,0,0,0,0,0
Ureidosuccinic acid-13C-4,0,0,0,0,0,0
Ureidosuccinic acid-13C-5,0,0,0,0,0,0
D-2-Hydroxyglutaric acid-13C-0,20313,20011,36281,20676,24655,24462
D-2-Hydroxyglutaric acid-13C-1,0,0,0,0,0,0
D-2-Hydroxyglutaric acid-13C-2,0,0,0,0,0,0
D-2-Hydroxyglutaric acid-13C-3,0,0,0,3304,0,0
D-2-Hydroxyglutaric acid-13C-4,0,0,0,0,0,0
D-2-Hydroxyglutaric acid-13C-5,92557,71864,117422,60893,77183,66551
L-Proline-13C-0,1138071,1035518,1205537,1023062,1230074,1035651
L-Proline-13C-1,31798,27213,21689,13111,19922,27925
L-Proline-13C-2,2434,0,8129,0,16064,0
L-Proline-13C-3,0,3444,3438,0,4253,3905
L-Proline-13C-4,0,0,0,0,2173,0
L-Proline-13C-5,0,0,0,0,0,0
Acetylcysteine-13C-0,0,0,0,0,0,0
Acetylcysteine-13C-1,0,0,0,0,0,0
Acetylcysteine-13C-2,2941,2770,2540,0,0,1818
Acetylcysteine-13C-3,0,0,0,0,0,0
Acetylcysteine-13C-4,0,0,0,0,0,0
Acetylcysteine-13C-5,0,0,0,0,0,0
Pipecolic acid-13C-0,49524,50062,47892,46490,46762,42349
Pipecolic acid-13C-1,0,0,2253,0,0,0
Pipecolic acid-13C-2,0,0,0,0,0,0
Pipecolic acid-13C-3,3581,2784,3832,3454,8328,3037
Pipecolic acid-13C-4,0,0,0,0,0,0
Pipecolic acid-13C-5,0,0,0,0,0,0
Pipecolic acid-13C-6,0,0,0,0,0,0
Aminoadipic acid-13C-0,356618,282521,496020,460152,331585,275131
Aminoadipic acid-13C-1,0,30584,14790,19191,0,13294
Aminoadipic acid-13C-2,643891,725358,0,0,0,470401
Aminoadipic acid-13C-3,0,0,0,22084,0,0
Aminoadipic acid-13C-4,0,0,0,0,0,0
Aminoadipic acid-13C-5,320777,326464,241137,320177,313950,313480
Aminoadipic acid-13C-6,0,0,26067,0,0,11953
L-Cystine-13C-0,0,0,7605,0,4238,0
L-Cystine-13C-1,4551,4631,0,4222,3776,3952
L-Cystine-13C-2,0,0,0,0,0,0
L-Cystine-13C-3,0,0,0,0,0,0
L-Cystine-13C-4,0,0,0,0,0,0
L-Cystine-13C-5,0,0,0,0,0,0
L-Cystine-13C-6,0,0,0,0,0,0
D-Glucose-13C-0,74370,67855,66857,69418,60141,62953
D-Glucose-13C-1,0,0,0,0,4331,0
D-Glucose-13C-2,0,0,0,0,0,0
D-Glucose-13C-3,0,0,0,0,0,0
D-Glucose-13C-4,0,0,0,0,0,0
D-Glucose-13C-5,0,0,0,7285,0,0
D-Glucose-13C-6,0,0,0,0,0,0
Citrulline-13C-0,28735,28771,26476,35174,33962,28176
Citrulline-13C-1,0,0,0,0,0,1717
Citrulline-13C-2,0,0,1441,0,0,0
Citrulline-13C-3,0,0,0,0,0,0
Citrulline-13C-4,0,0,0,0,0,0
Citrulline-13C-5,0,0,2507,1387,0,0
Citrulline-13C-6,0,0,0,0,0,0
6-Phosphogluconic acid-13C-0,0,0,0,0,0,0
6-Phosphogluconic acid-13C-1,0,0,0,0,0,0
6-Phosphogluconic acid-13C-2,11641,4298,6692,5873,7800,5323
6-Phosphogluconic acid-13C-3,0,0,0,0,0,0
6-Phosphogluconic acid-13C-4,0,0,0,0,0,0
6-Phosphogluconic acid-13C-5,0,0,0,0,0,0
6-Phosphogluconic acid-13C-6,0,0,0,0,0,0
"Fructose 1,6-bisphosphate-13C-0",0,0,0,0,0,0
"Fructose 1,6-bisphosphate-13C-1",0,0,0,0,0,0
"Fructose 1,6-bisphosphate-13C-2",0,0,0,0,0,0
"Fructose 1,6-bisphosphate-13C-3",0,0,0,0,0,0
"Fructose 1,6-bisphosphate-13C-4",0,0,0,0,0,0
"Fructose 1,6-bisphosphate-13C-5",0,0,0,0,0,0
"Fructose 1,6-bisphosphate-13C-6",0,0,0,0,0,0
Nicotinic acid-13C-0,0,0,0,0,14733,0
Nicotinic acid-13C-1,26621,81642,0,13847,30914,51199
Nicotinic acid-13C-2,0,0,0,0,0,0
Nicotinic acid-13C-3,421690,467911,432463,346119,349170,379768
Nicotinic acid-13C-4,18253,0,0,0,0,18695
Nicotinic acid-13C-5,0,0,0,0,0,0
Nicotinic acid-13C-6,18095,14634,18874,0,0,13322
Niacinamide-13C-0,16248,26577,63693,15662,58554,58897
Niacinamide-13C-1,0,0,0,0,0,0
Niacinamide-13C-2,0,0,0,0,0,0
Niacinamide-13C-3,60354,63628,37981,87635,128895,44146
Niacinamide-13C-4,3305,0,0,0,1772,0
Niacinamide-13C-5,0,0,0,0,0,0
Niacinamide-13C-6,0,0,0,0,0,0
Phenol-13C-0,0,0,0,0,0,0
Phenol-13C-1,0,0,0,0,0,0
Phenol-13C-2,0,0,0,0,0,0
