,Metabolite,Formula,Polarity (z),mz,ppm,RT,RT_range,Detection,np OLFR2 A,np OLFR2 B,np OLFR2 C,np GPI1 A,np GPI1 B,NP GPI1 C,p OLFR2 A,p OLFR2 B,p GPI1 A,p GPI1 B,np_vs_p_ttest_pval,np_vs_p_Log2FoldChange,np_vs_p_impact_score,p_vs_np_ttest_pval,p_vs_np_Log2FoldChange,p_vs_np_impact_score
26,N-Acetyl-L-alanine-13C-2,C5H9NO3-13C-2,+,134.0722,-9.2,6.04,0.28,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
27,N-Acetyl-L-alanine-13C-3,C5H9NO3-13C-3,+,135.0756,3.8,6.05,0.24,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
28,N-Acetyl-L-alanine-13C-4,C5H9NO3-13C-4,+,136.0789,-5.4,6.28,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
29,N-Acetyl-L-alanine-13C-5,C5H9NO3-13C-5,+,137.0823,-4.3,6.04,0.28,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
30,4-Hydroxyproline-13C-0,C5H9NO3-13C-0,+,132.0655,-3.2,10.91,0.19,10,52527768,51749420,44861444,35423592,37598364,35463424,71808736,59573620,60893580,71741344,0.0014012363210511975,-0.6203277911897425,59757.0,0.0014012363210511975,0.6203277911897425,59757.0
31,4-Hydroxyproline-13C-1,C5H9NO3-13C-1,+,133.0689,-3.6,10.87,0.18,10,2867611,2827578,2442920,1906742,2138640,1726553,3959640,3348174,3528545,4198208,0.001032954297816867,-0.6971188357909655,4769.0,0.001032954297816867,0.6971188357909652,4769.0
32,4-Hydroxyproline-13C-2,C5H9NO3-13C-2,+,134.0722,-3.9,10.9,0.19,3,-,-,-,-,-,-,-,32623,43311,35108,0.07486286991580215,-0.19006616116065864,1.0,0.07486286991580215,0.19006616116065853,1.0
33,4-Hydroxyproline-13C-3,C5H9NO3-13C-3,+,135.0756,3.1,10.89,0.18,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
34,4-Hydroxyproline-13C-4,C5H9NO3-13C-4,+,136.0789,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
35,4-Hydroxyproline-13C-5,C5H9NO3-13C-5,+,137.0823,-2.9,11.02,0.18,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
36,L-Isoleucine-13C-0,C6H13NO2-13C-0,+,132.1019,-3.8,7.44,0.04,10,23309526,25033886,17707794,16587162,16267296,16903468,32381342,24945308,24680690,35423024,0.008417868515002412,-0.6050189755187731,4396.0,0.008417868515002412,0.6050189755187731,4396.0
37,L-Isoleucine-13C-1,C6H13NO2-13C-1,+,133.1053,-4.2,7.44,0.04,10,1582482,1614298,1084312,989872,971588,1017953,2219833,1580852,1717251,2537110,0.008907141443129443,-0.7347854309986572,301.0,0.008907141443129443,0.7347854309986575,301.0
38,L-Isoleucine-13C-2,C6H13NO2-13C-2,+,134.1086,-4.6,7.44,0.02,7,18913,20497,-,-,-,14740,22254,24467,29008,39697,0.005373597502381936,-1.0408955553688075,8.0,0.005373597502381936,1.0408955553688075,8.0
39,L-Isoleucine-13C-3,C6H13NO2-13C-3,+,135.112,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
40,L-Isoleucine-13C-4,C6H13NO2-13C-4,+,136.1153,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
41,L-Isoleucine-13C-5,C6H13NO2-13C-5,+,137.1187,-5.0,7.44,0.0,1,-,-,-,-,-,-,-,26098,-,-,0.24150397191306,-0.4879493369389526,0.0,0.24150397191306,0.4879493369389527,0.0
42,L-Isoleucine-13C-6,C6H13NO2-13C-6,+,138.122,-3.9,7.44,0.02,8,60883,24750,18144,-,-,20522,24958,1153113,50485,67211,0.20776623911539435,-3.7516356151908488,11.0,0.20776623911539435,3.7516356151908488,11.0
43,L-Leucine-13C-0,C6H13NO2-13C-0,+,132.1019,-3.8,7.92,0.12,10,31414830,31048858,24205384,23652686,25939990,23027224,50719472,32309412,33811628,45092252,0.008323882776176038,-0.608711028966826,6140.0,0.008323882776176038,0.6087110289668262,6140.0
44,L-Leucine-13C-1,C6H13NO2-13C-1,+,133.1053,-3.5,7.92,0.11,10,2050389,2167826,1655668,1527114,1744552,1386698,3310998,2186210,2272329,3198320,0.007958919054135894,-0.6434309064051558,441.0,0.007958919054135894,0.643430906405156,441.0
45,L-Leucine-13C-2,C6H13NO2-13C-2,+,134.1086,-3.8,7.92,0.05,8,23587,23959,24939,15673,-,-,41856,30599,28697,50424,0.006194335735455755,-1.0718634617233962,9.0,0.006194335735455755,1.071863461723396,9.0
46,L-Leucine-13C-3,C6H13NO2-13C-3,+,135.112,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
47,L-Leucine-13C-4,C6H13NO2-13C-4,+,136.1153,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
48,L-Leucine-13C-5,C6H13NO2-13C-5,+,137.1187,-4.2,7.95,0.0,1,-,-,-,-,-,-,-,53051,-,-,0.24150397191306,-1.05399753948633,0.0,0.24150397191306,1.05399753948633,0.0
49,L-Leucine-13C-6,C6H13NO2-13C-6,+,138.122,-3.9,7.95,0.05,10,265617,44526,86678,32394,48125,48940,71000,3338310,72245,192197,0.2302584899938735,-3.38831426515952,23.0,0.2302584899938735,3.3883142651595195,23.0
50,Dihydroxyacetone phosphate-13C-0,C3H7O6P-13C-0,-,168.9907,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
51,Dihydroxyacetone phosphate-13C-1,C3H7O6P-13C-1,-,169.9941,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
52,Dihydroxyacetone phosphate-13C-2,C3H7O6P-13C-2,-,170.9975,-7.9,12.54,0.32,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
53,Dihydroxyacetone phosphate-13C-3,C3H7O6P-13C-3,-,172.0008,-7.1,12.51,0.19,8,114087,-,129870,35489,43758,-,73272,343974,121125,119489,0.08786720535514526,-1.503908697922586,4.0,0.08786720535514526,1.503908697922586,4.0
54,D-Glyceraldehyde 3-phosphate-13C-0,C3H7O6P-13C-0,-,168.9907,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
55,D-Glyceraldehyde 3-phosphate-13C-1,C3H7O6P-13C-1,-,169.9941,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
56,D-Glyceraldehyde 3-phosphate-13C-2,C3H7O6P-13C-2,-,170.9975,-7.4,13.78,0.44,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
57,D-Glyceraldehyde 3-phosphate-13C-3,C3H7O6P-13C-3,-,172.0008,-10.0,13.7,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
58,Ribose 1-phosphate-13C-0,C5H11O8P-13C-0,-,229.0119,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
59,Ribose 1-phosphate-13C-1,C5H11O8P-13C-1,-,230.0152,-8.4,11.92,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
60,Ribose 1-phosphate-13C-2,C5H11O8P-13C-2,-,231.0186,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
61,Ribose 1-phosphate-13C-3,C5H11O8P-13C-3,-,232.0219,-3.6,11.78,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
62,Ribose 1-phosphate-13C-4,C5H11O8P-13C-4,-,233.0253,3.0,11.64,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
63,Ribose 1-phosphate-13C-5,C5H11O8P-13C-5,-,234.0287,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
64,D-Ribose 5-phosphate-13C-0,C5H11O8P-13C-0,-,229.0119,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
65,D-Ribose 5-phosphate-13C-1,C5H11O8P-13C-1,-,230.0152,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
66,D-Ribose 5-phosphate-13C-2,C5H11O8P-13C-2,-,231.0186,-9.0,12.82,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
67,D-Ribose 5-phosphate-13C-3,C5H11O8P-13C-3,-,232.0219,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
68,D-Ribose 5-phosphate-13C-4,C5H11O8P-13C-4,-,233.0253,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
69,D-Ribose 5-phosphate-13C-5,C5H11O8P-13C-5,-,234.0287,-5.4,12.93,0.32,6,20721,-,27961,-,15236,-,12051,16571,-,15794,0.505683142314021,0.2336044198118868,0.0,0.505683142314021,-0.2336044198118868,0.0
70,Fructose 6-phosphate-13C-0,C6H13O9P-13C-0,-,259.0224,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
71,Fructose 6-phosphate-13C-1,C6H13O9P-13C-1,-,260.0258,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
72,Fructose 6-phosphate-13C-2,C6H13O9P-13C-2,-,261.0292,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
73,Fructose 6-phosphate-13C-3,C6H13O9P-13C-3,-,262.0325,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
74,Fructose 6-phosphate-13C-4,C6H13O9P-13C-4,-,263.0359,3.2,13.41,0.12,8,62912,52715,-,44253,58548,43650,47415,-,70019,82814,0.6618441619565898,-0.21303427133442732,0.0,0.6618441619565898,0.2130342713344273,0.0
75,Fructose 6-phosphate-13C-5,C6H13O9P-13C-5,-,264.0392,-6.5,13.24,0.18,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
76,Fructose 6-phosphate-13C-6,C6H13O9P-13C-6,-,265.0426,-3.3,13.24,0.29,6,-,-,47759,-,22233,-,18564,65639,17453,25354,0.4603957301276034,-0.449494689892427,0.0,0.4603957301276034,0.449494689892427,0.0
77,Glucose 6-phosphate-13C-0,C6H13O9P-13C-0,-,259.0224,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
78,Glucose 6-phosphate-13C-1,C6H13O9P-13C-1,-,260.0258,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
79,Glucose 6-phosphate-13C-2,C6H13O9P-13C-2,-,261.0292,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
80,Glucose 6-phosphate-13C-3,C6H13O9P-13C-3,-,262.0325,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
81,Glucose 6-phosphate-13C-4,C6H13O9P-13C-4,-,263.0359,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
82,Glucose 6-phosphate-13C-5,C6H13O9P-13C-5,-,264.0392,-0.4,13.99,0.05,1,-,-,-,-,-,-,-,-,-,12487,0.24150397191306,-0.08702147879072003,0.0,0.24150397191306,0.0870214787907202,0.0
83,Glucose 6-phosphate-13C-6,C6H13O9P-13C-6,-,265.0426,-3.7,13.99,0.1,8,-,-,70054,79993,136258,79120,43632,91189,90233,306541,0.27602091488775,-0.8339182696896393,1.0,0.27602091488775,0.8339182696896392,1.0
84,N-Acetylserine-13C-0,C5H9NO4-13C-0,-,146.0459,3.6,8.0,0.41,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
85,N-Acetylserine-13C-1,C5H9NO4-13C-1,-,147.0492,-5.0,8.22,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
86,N-Acetylserine-13C-2,C5H9NO4-13C-2,-,148.0526,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
87,N-Acetylserine-13C-3,C5H9NO4-13C-3,-,149.0559,-7.0,8.14,0.03,2,-,-,-,-,-,-,63219,14665,-,-,0.1956179669039628,-1.291073057917623,0.0,0.1956179669039628,1.2910730579176228,0.0
88,N-Acetylserine-13C-4,C5H9NO4-13C-4,-,150.0593,-6.0,8.11,0.03,2,-,-,-,-,-,-,36045,39333,-,-,0.060558909105202924,-1.2536565308940053,1.0,0.060558909105202924,1.2536565308940055,1.0
89,N-Acetylserine-13C-5,C5H9NO4-13C-5,-,151.0627,-7.6,8.14,0.41,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
90,L-Glutamic acid-13C-0,C5H9NO4-13C-0,+,148.0604,-3.6,11.75,0.11,10,132718840,124449208,131454440,127564440,126467280,123212184,144145632,127481928,143932672,159789504,0.0195200896466264,-0.17230895879757516,7836.0,0.0195200896466264,0.1723089587975752,7836.0
91,L-Glutamic acid-13C-1,C5H9NO4-13C-1,+,149.0638,-4.0,11.75,0.11,10,9299144,8998039,9690995,12407559,12048140,11936981,10528155,9644841,12166836,13433161,0.5115339305528872,-0.09282732688887776,23.0,0.5115339305528872,0.09282732688887772,23.0
92,L-Glutamic acid-13C-2,C5H9NO4-13C-2,+,150.0671,-5.0,11.74,0.11,10,43017300,40226048,44116436,49472516,47755336,47156052,47832780,44192576,42537284,46375604,0.9781637038879996,0.0017866489993192047,46.0,0.9781637038879996,-0.0017866489993193285,46.0
93,L-Glutamic acid-13C-3,C5H9NO4-13C-3,+,151.0705,-4.6,11.74,0.11,10,10656917,10402681,11597741,15956045,15502040,15629403,11766854,10995804,11395585,12667326,0.2875563684393304,0.18313190895751796,49.0,0.2875563684393304,-0.18313190895751785,49.0
94,L-Glutamic acid-13C-4,C5H9NO4-13C-4,+,152.0739,-5.0,11.74,0.11,10,17337054,16548132,18238086,20377138,19590560,19891068,16950882,16243504,14215334,15131502,0.01072645529360117,0.2554255271570683,1908.0,0.01072645529360117,-0.2554255271570682,1908.0
95,L-Glutamic acid-13C-5,C5H9NO4-13C-5,+,153.0772,-4.6,11.72,0.11,10,10386188,9719412,11170886,9581389,9239248,9564923,9003757,10953929,6823526,6944898,0.1146353511433263,0.23798502616778566,95.0,0.1146353511433263,-0.23798502616778566,95.0
96,Creatine-13C-0,C4H9N3O2-13C-0,+,132.0768,-7.2,11.0,0.08,10,6059289,4159616,4107760,3602753,4426977,4013804,5798299,2708752,1955037,2751705,0.2111349116988498,0.4119013081331401,24.0,0.2111349116988498,-0.41190130813314013,24.0
97,Creatine-13C-1,C4H9N3O2-13C-1,+,133.0801,-3.1,11.0,0.07,10,156891,100246,100888,75605,73789,92465,105848,95372,33616,58142,0.22470125785855266,0.44892871663732936,1.0,0.22470125785855266,-0.4489287166373295,1.0
98,Creatine-13C-2,C4H9N3O2-13C-2,+,134.0835,-1.2,11.0,0.07,10,104609,39080,50660,30684,32925,37942,52971,72797,33142,81486,0.5347354711268126,-0.2852656951295437,0.0,0.5347354711268126,0.28526569512954386,0.0
99,Creatine-13C-3,C4H9N3O2-13C-3,+,135.0868,8.0,11.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
100,Creatine-13C-4,C4H9N3O2-13C-4,+,136.0902,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
101,L-Lysine-13C-0,C6H14N2O2-13C-0,+,147.1128,-0.7,18.05,0.49,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
102,L-Lysine-13C-1,C6H14N2O2-13C-1,+,148.1162,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
103,L-Lysine-13C-2,C6H14N2O2-13C-2,+,149.1195,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
104,L-Lysine-13C-3,C6H14N2O2-13C-3,+,150.1229,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
105,L-Lysine-13C-4,C6H14N2O2-13C-4,+,151.1262,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
106,L-Lysine-13C-5,C6H14N2O2-13C-5,+,152.1296,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
107,L-Lysine-13C-6,C6H14N2O2-13C-6,+,153.1329,-10.0,18.19,0.48,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
108,L-Arginine-13C-0,C6H14N4O2-13C-0,+,175.119,-3.7,19.98,0.02,10,24430536,21665418,23323414,17825714,22471660,16923092,33580696,22677442,25480810,34244904,0.021520349968481442,-0.4581551894961653,1599.0,0.021520349968481442,0.4581551894961653,1599.0
109,L-Arginine-13C-1,C6H14N4O2-13C-1,+,176.1223,-5.2,19.98,0.02,10,1674890,1378242,1596137,1162420,1482795,1072448,2408284,1445742,1704758,2437865,0.03157029529382418,-0.5196593552183149,77.0,0.03157029529382418,0.5196593552183149,77.0
110,L-Arginine-13C-2,C6H14N4O2-13C-2,+,177.1257,7.6,19.98,0.02,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
111,L-Arginine-13C-3,C6H14N4O2-13C-3,+,178.129,5.5,19.98,0.02,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
112,L-Arginine-13C-4,C6H14N4O2-13C-4,+,179.1324,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
113,L-Arginine-13C-5,C6H14N4O2-13C-5,+,180.1357,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
114,L-Arginine-13C-6,C6H14N4O2-13C-6,+,181.1391,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
115,L-Kynurenine-13C-0,C10H12N2O3-13C-0,+,209.0921,-2.7,7.44,0.09,9,20198,19315,16166,17809,17344,-,267119,272659,130893,116202,0.0006749526208672577,-3.5491397420697814,1852.0,0.0006749526208672577,3.5491397420697814,1852.0
116,L-Kynurenine-13C-1,C10H12N2O3-13C-1,+,210.0954,-1.1,7.49,0.25,1,-,-,-,-,-,-,22078,-,-,-,0.24150397191306,-0.0951448467946818,0.0,0.24150397191306,0.09514484679468176,0.0
117,L-Kynurenine-13C-2,C10H12N2O3-13C-2,+,211.0988,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
118,L-Kynurenine-13C-3,C10H12N2O3-13C-3,+,212.1021,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
119,L-Kynurenine-13C-4,C10H12N2O3-13C-4,+,213.1055,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
120,L-Kynurenine-13C-5,C10H12N2O3-13C-5,+,214.1088,-9.5,7.32,0.28,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
121,L-Kynurenine-13C-6,C10H12N2O3-13C-6,+,215.1122,-4.2,7.6,0.28,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
122,L-Kynurenine-13C-7,C10H12N2O3-13C-7,+,216.1156,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
123,L-Kynurenine-13C-8,C10H12N2O3-13C-8,+,217.1189,-1.9,7.32,0.28,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
124,L-Kynurenine-13C-9,C10H12N2O3-13C-9,+,218.1223,-2.6,7.32,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
125,L-Kynurenine-13C-10,C10H12N2O3-13C-10,+,219.1256,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
126,Inosine-13C-0,C10H12N4O5-13C-0,+,269.088,-6.5,7.74,0.2,9,43004,-,56533,47237,58866,58458,19284,124100,187230,138362,0.041779101086865375,-1.334922653787519,5.0,0.041779101086865375,1.334922653787519,5.0
127,Inosine-13C-1,C10H12N4O5-13C-1,+,270.0914,-1.1,7.74,0.07,2,-,-,-,-,-,-,-,-,23590,21711,0.060966372226894286,-0.7071050849416041,0.0,0.060966372226894286,0.707105084941604,0.0
128,Inosine-13C-2,C10H12N4O5-13C-2,+,271.0948,-6.1,7.73,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
129,Inosine-13C-3,C10H12N4O5-13C-3,+,272.0981,-0.0,7.8,0.07,1,-,-,-,-,-,-,-,-,-,12705,0.24150397191306,-0.09440499380133466,0.0,0.24150397191306,0.09440499380133477,0.0
130,Inosine-13C-4,C10H12N4O5-13C-4,+,273.1015,-8.7,7.74,0.08,7,21424,-,19313,-,22758,11529,-,22440,37442,29327,0.14235518833843036,-0.6471415673280786,0.0,0.14235518833843036,0.6471415673280785,0.0
131,Inosine-13C-5,C10H12N4O5-13C-5,+,274.1048,-5.2,7.74,0.08,10,926822,159925,930828,594344,661716,615548,160927,1230032,1405743,983095,0.2887777907608547,-0.5438041346780553,4.0,0.2887777907608547,0.5438041346780554,4.0
132,Inosine-13C-6,C10H12N4O5-13C-6,+,275.1082,-5.4,7.75,0.08,10,601985,122368,757372,550181,621128,592788,212186,1312391,876165,679500,0.3105396759290612,-0.5094223167490997,3.0,0.3105396759290612,0.5094223167490997,3.0
133,Inosine-13C-7,C10H12N4O5-13C-7,+,276.1115,-4.8,7.75,0.08,10,269648,79582,333157,269617,366957,299600,102033,912163,397160,319345,0.2938868723917977,-0.6816072649732015,2.0,0.2938868723917977,0.6816072649732015,2.0
134,Inosine-13C-8,C10H12N4O5-13C-8,+,277.1149,-4.6,7.75,0.08,10,159531,59521,161337,153607,160523,171136,110579,636365,234115,213821,0.13891259002042808,-1.0499641686757952,3.0,0.13891259002042808,1.0499641686757952,3.0
135,Inosine-13C-9,C10H12N4O5-13C-9,+,278.1182,-8.1,7.75,0.08,9,35651,24293,45013,46711,38562,45281,-,217752,76709,54770,0.1947212156657156,-1.1940799088930651,1.0,0.1947212156657156,1.1940799088930651,1.0
136,Inosine-13C-10,C10H12N4O5-13C-10,+,279.1216,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
137,Xanthosine-13C-0,C10H12N4O6-13C-0,-,283.0684,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
138,Xanthosine-13C-1,C10H12N4O6-13C-1,-,284.0718,7.2,7.49,0.0,1,-,-,-,-,-,-,-,-,11594,-,0.24150397191306,-0.05637543234356915,0.0,0.24150397191306,0.056375432343569065,0.0
139,Xanthosine-13C-2,C10H12N4O6-13C-2,-,285.0751,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
140,Xanthosine-13C-3,C10H12N4O6-13C-3,-,286.0785,-4.1,7.6,0.2,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
141,Xanthosine-13C-4,C10H12N4O6-13C-4,-,287.0818,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
142,Xanthosine-13C-5,C10H12N4O6-13C-5,-,288.0852,-5.5,7.53,0.27,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
143,Xanthosine-13C-6,C10H12N4O6-13C-6,-,289.0885,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
144,Xanthosine-13C-7,C10H12N4O6-13C-7,-,290.0919,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
145,Xanthosine-13C-8,C10H12N4O6-13C-8,-,291.0952,4.3,7.46,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
146,Xanthosine-13C-9,C10H12N4O6-13C-9,-,292.0986,-6.9,7.46,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
147,Xanthosine-13C-10,C10H12N4O6-13C-10,-,293.102,-6.7,7.48,0.29,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
148,Cyclic AMP-13C-0,C10H12N5O6P-13C-0,-,328.0452,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
149,Cyclic AMP-13C-1,C10H12N5O6P-13C-1,-,329.0486,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
150,Cyclic AMP-13C-2,C10H12N5O6P-13C-2,-,330.052,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
151,Cyclic AMP-13C-3,C10H12N5O6P-13C-3,-,331.0553,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
152,Cyclic AMP-13C-4,C10H12N5O6P-13C-4,-,332.0587,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
153,Cyclic AMP-13C-5,C10H12N5O6P-13C-5,-,333.062,-7.9,6.96,0.18,2,-,-,-,-,-,-,-,12036,-,11274,0.07075535950225242,-0.11470017240548125,0.0,0.07075535950225242,0.11470017240548144,0.0
154,Cyclic AMP-13C-6,C10H12N5O6P-13C-6,-,334.0654,7.3,6.82,0.0,1,-,-,11139,-,-,-,-,-,-,-,0.4468133341149073,0.027130454728468242,0.0,0.4468133341149073,-0.02713045472846829,0.0
155,Cyclic AMP-13C-7,C10H12N5O6P-13C-7,-,335.0687,-2.5,6.94,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
156,Cyclic AMP-13C-8,C10H12N5O6P-13C-8,-,336.0721,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
