,Metabolite,Formula,Polarity (z),Labeling,Ion Mode,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,is_global_winner,RT,RT_min,RT_max,RT_range,np OLFR2 A,np OLFR2 B,np OLFR2 C,np GPI1 A,np GPI1 B,NP GPI1 C,p OLFR2 A,p OLFR2 B,p GPI1 A,p GPI1 B,Blank_0,Blank_1,Blank_2,Blank_3,Blank_4,Blank_5,ttest_pval,1/pvalue,np_Mean,p_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
48,L-Leucine-13C-5,C6H13NO2-13C-5,+,13C,ESI,7.5,9.0,10.0,0.2,137.1187,137.1181,-4.2,S04433,No,7.95,7.95,7.95,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,53051.0,10000.0,10000.0,0,0,0,0,0,0,0.24150397191306,4.140718647724743,10000.0,20762.75,-1.0539975394863301,0.48163176843144573,10000.0,15381.375,0.0,1
49,L-Leucine-13C-6,C6H13NO2-13C-6,+,13C,ESI,7.5,9.0,10.0,0.2,138.122,138.1215,-3.9,S04433,No,7.95,7.9,7.95,0.05,265617.0,44526.0,86678.0,32394.0,48125.0,48940.0,71000.0,3338310.0,72245.0,192197.0,0,0,0,0,0,0,0.2302584899938735,4.342945183157447,87713.33333333333,918438.0,-3.38831426515952,0.09550272673096423,10000.0,503075.6666666667,23.0,10
50,Dihydroxyacetone phosphate-13C-0,C3H7O6P-13C-0,-,13C,ESI,12.0,13.0,10.0,0.2,168.9907,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
51,Dihydroxyacetone phosphate-13C-1,C3H7O6P-13C-1,-,13C,ESI,12.0,13.0,10.0,0.2,169.9941,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
52,Dihydroxyacetone phosphate-13C-2,C3H7O6P-13C-2,-,13C,ESI,12.0,13.0,10.0,0.2,170.9975,170.9961,-7.9,S04434,No,12.54,12.4,12.71,0.32,107041.0,107041.0,107041.0,107041.0,107041.0,107041.0,107041.0,107041.0,107041.0,107041.0,35454,30259,37373,30224,33997,26775,NA,NA,107041.0,107041.0,0.0,1.0,107041.0,107041.0,0.0,0
53,Dihydroxyacetone phosphate-13C-3,C3H7O6P-13C-3,-,13C,ESI,12.0,13.0,10.0,0.2,172.0008,171.9996,-7.1,S04433,Yes,12.51,12.5,12.69,0.19,114087.0,12367.5,129870.0,35489.0,43758.0,12367.5,73272.0,343974.0,121125.0,119489.0,0,0,0,0,4735,0,0.08786720535514526,11.380810348504417,57989.833333333336,164465.0,-1.503908697922586,0.35259680377790614,12367.5,111227.41666666667,4.0,8
54,D-Glyceraldehyde 3-phosphate-13C-0,C3H7O6P-13C-0,-,13C,ESI,13.0,14.0,10.0,0.2,168.9907,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
55,D-Glyceraldehyde 3-phosphate-13C-1,C3H7O6P-13C-1,-,13C,ESI,13.0,14.0,10.0,0.2,169.9941,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
56,D-Glyceraldehyde 3-phosphate-13C-2,C3H7O6P-13C-2,-,13C,ESI,13.0,14.0,10.0,0.2,170.9975,170.9962,-7.4,S04432,Yes,13.78,13.55,13.99,0.44,101378.5,101378.5,101378.5,101378.5,101378.5,101378.5,101378.5,101378.5,101378.5,101378.5,30234,30209,28416,34193,31916,27789,NA,NA,101378.5,101378.5,0.0,1.0,101378.5,101378.5,0.0,0
57,D-Glyceraldehyde 3-phosphate-13C-3,C3H7O6P-13C-3,-,13C,ESI,13.0,14.0,10.0,0.2,172.0008,171.9991,-10.0,SQ319_B_5,No,13.7,13.7,13.7,0.0,11462.5,11462.5,11462.5,11462.5,11462.5,11462.5,11462.5,11462.5,11462.5,11462.5,0,0,0,0,0,2925,NA,NA,11462.5,11462.5,0.0,1.0,11462.5,11462.5,0.0,0
