,Metabolite,Formula,Polarity (z),Labeling,Ion Mode,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,is_global_winner,RT,RT_min,RT_max,RT_range,np OLFR2 A,np OLFR2 B,np OLFR2 C,np GPI1 A,np GPI1 B,NP GPI1 C,p OLFR2 A,p OLFR2 B,p GPI1 A,p GPI1 B,Blank_0,Blank_1,Blank_2,Blank_3,Blank_4,Blank_5,ttest_pval,1/pvalue,np_Mean,p_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
190,Xanthylic acid-13C-9,C10H13N4O9P-13C-9,-,13C,ESI,11.0,13.0,10.0,0.2,372.0649,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
191,Xanthylic acid-13C-10,C10H13N4O9P-13C-10,-,13C,ESI,11.0,13.0,10.0,0.2,373.0683,373.0661,-5.9,S04428,No,11.74,11.74,11.74,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
192,Adenosine-13C-0,C10H13N5O4-13C-0,+,13C,ESI,4.5,7.0,10.0,0.2,268.104,268.1022,-6.8,S04432,No,5.96,5.85,6.05,0.19,92680.0,92680.0,92680.0,92680.0,92680.0,92680.0,110310.0,92680.0,92680.0,92680.0,24437,26782,27954,26437,28015,31735,0.24150397191306,4.140718647724743,92680.0,97087.5,-0.06702751664380792,0.9546028067464916,92680.0,94883.75,0.0,1
193,Adenosine-13C-1,C10H13N5O4-13C-1,+,13C,ESI,4.5,7.0,10.0,0.2,269.1074,269.1057,-6.3,S04427,No,5.93,5.85,5.96,0.1,11416.0,11678.0,11416.0,11416.0,11416.0,11416.0,11416.0,11416.0,11416.0,11416.0,0,0,0,0,0,2832,0.44681333411491475,2.2380710772226253,11459.666666666666,11416.0,0.005507840351665388,1.0038250408782994,11416.0,11437.833333333332,0.0,1
194,Adenosine-13C-2,C10H13N5O4-13C-2,+,13C,ESI,4.5,7.0,10.0,0.2,270.1107,270.1104,-1.3,S04434,No,6.01,6.01,6.01,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
195,Adenosine-13C-3,C10H13N5O4-13C-3,+,13C,ESI,4.5,7.0,10.0,0.2,271.1141,271.1121,-7.4,S04432,No,5.96,5.96,5.96,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
196,Adenosine-13C-4,C10H13N5O4-13C-4,+,13C,ESI,4.5,7.0,10.0,0.2,272.1174,272.1166,-3.1,S04432,No,5.96,5.91,6.05,0.13,10000.0,22146.0,10000.0,10000.0,11544.0,10807.0,22612.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0.8383970803851262,1.192752245201808,12416.166666666666,13153.0,-0.08317206534661635,0.943979827162371,10000.0,12784.583333333332,0.0,4
197,Adenosine-13C-5,C10H13N5O4-13C-5,+,13C,ESI,4.5,7.0,10.0,0.2,273.1208,273.1194,-5.1,S04427,Yes,5.93,5.85,6.05,0.19,98532.0,1114076.0,129847.0,373535.0,164994.0,307006.0,847894.0,143242.0,252572.0,103942.0,0,0,10468,0,9487,19612,0.9101805656133043,1.0986830940805388,364665.0,336912.5,0.11419778283363365,1.082373019700961,29783.5,350788.75,0.0,10
198,Adenosine-13C-6,C10H13N5O4-13C-6,+,13C,ESI,4.5,7.0,10.0,0.2,274.1242,274.1228,-5.0,S04427,No,5.93,5.85,6.05,0.19,65029.0,891193.0,119365.0,322133.0,140794.0,263211.0,739374.0,157139.0,155576.0,75790.0,0,0,8261,12780,17164,12693,0.9283320826892026,1.077200733064389,300287.5,281969.75,0.09080402426175263,1.0649635288891806,35449.0,291128.625,0.0,10
199,Adenosine-13C-7,C10H13N5O4-13C-7,+,13C,ESI,4.5,7.0,10.0,0.2,275.1275,275.1261,-5.1,S04432,No,5.96,5.89,6.05,0.15,33944.0,394625.0,63895.0,147995.0,92357.0,146922.0,553717.0,119128.0,80389.0,42444.0,0,0,7615,2325,11831,0,0.6618998247464469,1.5108026360077504,146623.0,198919.5,-0.44007328051418965,0.7370971674471332,20885.5,172771.25,0.0,10
200,Adenosine-13C-8,C10H13N5O4-13C-8,+,13C,ESI,4.5,7.0,10.0,0.2,276.1309,276.1295,-5.0,S04432,No,5.96,5.85,6.05,0.19,13430.0,160133.0,31816.0,84211.0,40698.0,81661.0,380749.0,55526.0,30646.0,26388.0,0,0,3970,0,0,2890,0.47640532154615867,2.099052959262779,68658.16666666667,123327.25,-0.8449883687107688,0.5567152974437253,13430.0,95992.70833333334,0.0,9
201,Adenosine-13C-9,C10H13N5O4-13C-9,+,13C,ESI,4.5,7.0,10.0,0.2,277.1342,277.1322,-7.3,S04432,No,5.96,5.89,6.05,0.15,11358.5,38531.0,12782.0,22927.0,14723.0,25561.0,94296.0,11358.5,16373.0,11358.5,0,0,0,0,2717,0,0.48590804189673287,2.0580025720433004,20980.416666666668,33346.5,-0.6684920163686694,0.6291639802278101,11358.5,27163.458333333336,0.0,7
202,Adenosine-13C-10,C10H13N5O4-13C-10,+,13C,ESI,4.5,7.0,10.0,0.2,278.1376,278.1355,-7.5,S04429,No,5.96,5.96,5.96,0.01,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
203,Guanosine-13C-0,C10H13N5O5-13C-0,+,13C,ESI,7.7,9.7,10.0,0.2,284.0989,284.0982,-2.6,S04429,No,9.08,8.93,9.19,0.26,18326.5,18326.5,20545.0,41248.0,36204.0,33808.0,18326.5,23870.0,33252.0,25098.0,2547,0,3773,2773,4114,3446,0.6225186981371937,1.606377451781561,28076.333333333332,25136.625,0.15956357970729793,1.1169492059229642,18326.5,26606.479166666664,0.0,7
204,Guanosine-13C-1,C10H13N5O5-13C-1,+,13C,ESI,7.7,9.7,10.0,0.2,285.1023,285.1013,-3.5,S04431,No,9.11,9.08,9.11,0.04,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
205,Guanosine-13C-2,C10H13N5O5-13C-2,+,13C,ESI,7.7,9.7,10.0,0.2,286.1057,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
206,Guanosine-13C-3,C10H13N5O5-13C-3,+,13C,ESI,7.7,9.7,10.0,0.2,287.109,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
207,Guanosine-13C-4,C10H13N5O5-13C-4,+,13C,ESI,7.7,9.7,10.0,0.2,288.1124,288.1111,-4.4,S04429,No,9.08,9.08,9.08,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
208,Guanosine-13C-5,C10H13N5O5-13C-5,+,13C,ESI,7.7,9.7,10.0,0.2,289.1157,289.1135,-7.7,S04433,Yes,9.12,9.06,9.2,0.14,56869.0,37169.0,52584.0,84032.0,70564.0,86534.0,39351.0,89201.0,86842.0,78771.0,0,0,2137,0,0,0,0.5258020483043335,1.9018564176859223,64625.333333333336,73541.25,-0.18645388184183612,0.8787630524818838,11068.5,69083.29166666667,0.0,10
209,Guanosine-13C-6,C10H13N5O5-13C-6,+,13C,ESI,7.7,9.7,10.0,0.2,290.1191,290.1165,-8.9,S04429,No,9.08,9.06,9.19,0.13,31139.0,10000.0,36910.0,67953.0,46107.0,46890.0,36740.0,51239.0,51309.0,36485.0,0,0,0,0,0,0,0.7025068600346871,1.4234736440162645,39833.166666666664,43943.25,-0.14167139804948065,0.9064683806197007,10000.0,41888.20833333333,0.0,9
210,Guanosine-13C-7,C10H13N5O5-13C-7,+,13C,ESI,7.7,9.7,10.0,0.2,291.1224,291.1196,-9.7,S04433,No,9.12,9.06,9.19,0.13,30427.0,10000.0,26177.0,34689.0,21306.0,19495.0,19255.0,35596.0,27727.0,23919.0,0,0,0,0,0,0,0.5896683357393715,1.695868574571031,23682.333333333332,26624.25,-0.16892965405510937,0.889502364698849,10000.0,25153.291666666664,0.0,9
211,Guanosine-13C-8,C10H13N5O5-13C-8,+,13C,ESI,7.7,9.7,10.0,0.2,292.1258,292.1245,-4.4,S04429,No,9.08,9.06,9.13,0.06,18487.0,10000.0,10000.0,38135.0,10000.0,22344.0,10000.0,22869.0,14438.0,10000.0,0,0,0,0,0,0,0.5505043281118451,1.8165161451679477,18161.0,14326.75,0.34213227031600574,1.2676287364545344,10000.0,16243.875,0.0,5
212,Guanosine-13C-9,C10H13N5O5-13C-9,+,13C,ESI,7.7,9.7,10.0,0.2,293.1291,293.1287,-1.5,S04432,No,9.13,9.08,9.13,0.05,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
213,Guanosine-13C-10,C10H13N5O5-13C-10,+,13C,ESI,7.7,9.7,10.0,0.2,294.1325,294.1323,-0.7,SQ319_B_1,No,9.34,9.34,9.34,0.0,11763.5,11763.5,11763.5,11763.5,11763.5,11763.5,11763.5,11763.5,11763.5,11763.5,0,3527,0,0,0,0,NA,NA,11763.5,11763.5,0.0,1.0,11763.5,11763.5,0.0,0
214,Thymidine-13C-0,C10H14N2O5-13C-0,+,13C,ESI,8.2,10.2,10.0,0.2,243.0975,243.0967,-3.5,S04431,No,9.03,9.02,9.03,0.01,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
215,Thymidine-13C-1,C10H14N2O5-13C-1,+,13C,ESI,8.2,10.2,10.0,0.2,244.1009,244.0995,-5.7,S04428,Yes,9.0,8.97,9.06,0.09,29446.0,29392.0,36185.0,31792.0,24578.0,23854.0,23178.0,28955.0,20103.0,22504.0,0,0,0,0,0,0,0.0817052651227656,12.239113336178004,29207.833333333332,23685.0,0.30238166963733165,1.2331785236788402,10000.0,26446.416666666664,0.0,10
216,Thymidine-13C-2,C10H14N2O5-13C-2,+,13C,ESI,8.2,10.2,10.0,0.2,245.1043,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
217,Thymidine-13C-3,C10H14N2O5-13C-3,+,13C,ESI,8.2,10.2,10.0,0.2,246.1076,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
218,Thymidine-13C-4,C10H14N2O5-13C-4,+,13C,ESI,8.2,10.2,10.0,0.2,247.111,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
219,Thymidine-13C-5,C10H14N2O5-13C-5,+,13C,ESI,8.2,10.2,10.0,0.2,248.1143,248.112,-9.4,SQ319_B_0,No,8.88,8.8,9.14,0.35,27767.0,27767.0,27767.0,27767.0,27767.0,27767.0,27767.0,27767.0,27767.0,27767.0,10749,4220,3973,4057,4739,7796,NA,NA,27767.0,27767.0,0.0,1.0,27767.0,27767.0,0.0,0
220,Thymidine-13C-6,C10H14N2O5-13C-6,+,13C,ESI,8.2,10.2,10.0,0.2,249.1177,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
221,Thymidine-13C-7,C10H14N2O5-13C-7,+,13C,ESI,8.2,10.2,10.0,0.2,250.121,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
222,Thymidine-13C-8,C10H14N2O5-13C-8,+,13C,ESI,8.2,10.2,10.0,0.2,251.1244,251.1245,0.5,SQ319_B_0,No,8.88,8.88,8.88,0.0,12152.5,12152.5,12152.5,12152.5,12152.5,12152.5,12152.5,12152.5,12152.5,12152.5,4305,0,0,0,0,0,NA,NA,12152.5,12152.5,0.0,1.0,12152.5,12152.5,0.0,0
223,Thymidine-13C-9,C10H14N2O5-13C-9,+,13C,ESI,8.2,10.2,10.0,0.2,252.1277,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
224,Thymidine-13C-10,C10H14N2O5-13C-10,+,13C,ESI,8.2,10.2,10.0,0.2,253.1311,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
225,Adenosine monophosphate-13C-0,C10H14N5O7P-13C-0,+,13C,ESI,9.8,11.8,10.0,0.2,348.0704,348.0684,-5.6,S04435,No,10.94,10.85,10.97,0.12,13882.5,13882.5,13882.5,13882.5,13882.5,13882.5,13882.5,13882.5,13882.5,55823.0,2557,2292,0,2916,0,0,0.24150397191306,4.140718647724743,13882.5,24367.625,-0.8116982491531771,0.5697108355861517,13882.5,19125.0625,0.0,1
226,Adenosine monophosphate-13C-1,C10H14N5O7P-13C-1,+,13C,ESI,9.8,11.8,10.0,0.2,349.0737,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
227,Adenosine monophosphate-13C-2,C10H14N5O7P-13C-2,+,13C,ESI,9.8,11.8,10.0,0.2,350.0771,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
228,Adenosine monophosphate-13C-3,C10H14N5O7P-13C-3,+,13C,ESI,9.8,11.8,10.0,0.2,351.0804,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
229,Adenosine monophosphate-13C-4,C10H14N5O7P-13C-4,+,13C,ESI,9.8,11.8,10.0,0.2,352.0838,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
230,Adenosine monophosphate-13C-5,C10H14N5O7P-13C-5,+,13C,ESI,9.8,11.8,10.0,0.2,353.0871,353.0844,-7.7,S04435,Yes,10.94,10.85,11.07,0.22,15632.0,15632.0,15632.0,15632.0,15632.0,15632.0,52511.0,15632.0,98219.0,173674.0,0,0,0,1784,6247,3233,0.03271990400477541,30.56243685354492,15632.0,85009.0,-2.4431132166904006,0.18388641202696185,15632.0,50320.5,8.0,3
231,Adenosine monophosphate-13C-6,C10H14N5O7P-13C-6,+,13C,ESI,9.8,11.8,10.0,0.2,354.0905,354.0904,-0.3,S04435,No,10.94,10.85,11.03,0.18,14923.0,14923.0,14923.0,14923.0,14923.0,14923.0,67859.0,78243.0,51299.0,121383.0,0,0,3004,1828,2232,2782,0.0005902947327394575,1694.0689871298189,14923.0,79696.0,-2.416969723556007,0.18724904637622966,14923.0,47309.5,428.0,4
232,Adenosine monophosphate-13C-7,C10H14N5O7P-13C-7,+,13C,ESI,9.8,11.8,10.0,0.2,355.0938,355.0932,-1.8,S04435,No,10.94,10.91,10.97,0.07,11917.0,11917.0,11917.0,11917.0,11917.0,11917.0,11917.0,22635.0,35865.0,76458.0,0,0,0,0,1647,2187,0.05705868175539274,17.525816742260922,11917.0,36718.75,-1.6234958508534865,0.324548085106383,11917.0,24317.875,1.0,3
233,Adenosine monophosphate-13C-8,C10H14N5O7P-13C-8,+,13C,ESI,9.8,11.8,10.0,0.2,356.0972,356.0944,-7.9,S04435,No,10.94,10.81,10.98,0.16,10000.0,10463.0,10000.0,10000.0,10000.0,10000.0,52984.0,10000.0,39356.0,62734.0,0,0,0,0,0,0,0.00883866364814282,113.13927532587122,10077.166666666666,41268.5,-2.0339509387826715,0.24418543602667087,10000.0,25672.833333333332,12.0,4
234,Adenosine monophosphate-13C-9,C10H14N5O7P-13C-9,+,13C,ESI,9.8,11.8,10.0,0.2,357.1006,357.0993,-3.5,S04434,No,10.94,10.94,10.97,0.02,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,11328.0,11908.0,10393.0,0,0,0,0,0,0,0.029675393624073287,33.697952339502564,10000.0,10907.25,-0.1252874067518999,0.916821380274588,10000.0,10453.625,0.0,3
235,Adenosine monophosphate-13C-10,C10H14N5O7P-13C-10,+,13C,ESI,9.8,11.8,10.0,0.2,358.1039,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
236,Guanosine monophosphate-13C-0,C10H14N5O8P-13C-0,+,13C,ESI,12.6,14.6,10.0,0.2,364.0653,364.0638,-4.1,S04435,No,13.81,13.81,13.81,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
237,Guanosine monophosphate-13C-1,C10H14N5O8P-13C-1,+,13C,ESI,12.6,14.6,10.0,0.2,365.0686,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
238,Guanosine monophosphate-13C-2,C10H14N5O8P-13C-2,+,13C,ESI,12.6,14.6,10.0,0.2,366.072,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
239,Guanosine monophosphate-13C-3,C10H14N5O8P-13C-3,+,13C,ESI,12.6,14.6,10.0,0.2,367.0753,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
240,Guanosine monophosphate-13C-4,C10H14N5O8P-13C-4,+,13C,ESI,12.6,14.6,10.0,0.2,368.0787,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
241,Guanosine monophosphate-13C-5,C10H14N5O8P-13C-5,+,13C,ESI,12.6,14.6,10.0,0.2,369.0821,369.0795,-6.9,S04435,Yes,13.81,13.72,13.89,0.17,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
242,Guanosine monophosphate-13C-6,C10H14N5O8P-13C-6,+,13C,ESI,12.6,14.6,10.0,0.2,370.0854,370.0844,-2.7,S04435,No,13.81,13.59,13.86,0.27,10763.0,10763.0,10763.0,10763.0,10763.0,10763.0,10763.0,10763.0,10763.0,10763.0,0,0,0,0,1526,0,NA,NA,10763.0,10763.0,0.0,1.0,10763.0,10763.0,0.0,0
243,Guanosine monophosphate-13C-7,C10H14N5O8P-13C-7,+,13C,ESI,12.6,14.6,10.0,0.2,371.0888,371.087,-4.7,S04433,No,13.87,13.78,13.87,0.09,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
244,Guanosine monophosphate-13C-8,C10H14N5O8P-13C-8,+,13C,ESI,12.6,14.6,10.0,0.2,372.0921,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
245,Guanosine monophosphate-13C-9,C10H14N5O8P-13C-9,+,13C,ESI,12.6,14.6,10.0,0.2,373.0955,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
246,Guanosine monophosphate-13C-10,C10H14N5O8P-13C-10,+,13C,ESI,12.6,14.6,10.0,0.2,374.0988,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
247,ADP-13C-0,C10H15N5O10P2-13C-0,-,13C,ESI,11.1,13.1,10.0,0.2,426.0221,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
248,ADP-13C-1,C10H15N5O10P2-13C-1,-,13C,ESI,11.1,13.1,10.0,0.2,427.0255,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
249,ADP-13C-2,C10H15N5O10P2-13C-2,-,13C,ESI,11.1,13.1,10.0,0.2,428.0288,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
250,ADP-13C-3,C10H15N5O10P2-13C-3,-,13C,ESI,11.1,13.1,10.0,0.2,429.0322,429.0327,1.2,S04426,No,12.7,12.45,12.7,0.24,11473.5,11473.5,11473.5,11473.5,11473.5,11473.5,11473.5,11473.5,11473.5,11473.5,0,2947,0,0,0,0,NA,NA,11473.5,11473.5,0.0,1.0,11473.5,11473.5,0.0,0
251,ADP-13C-4,C10H15N5O10P2-13C-4,-,13C,ESI,11.1,13.1,10.0,0.2,430.0356,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
252,ADP-13C-5,C10H15N5O10P2-13C-5,-,13C,ESI,11.1,13.1,10.0,0.2,431.0389,431.0364,-5.8,S04435,Yes,12.53,12.4,12.53,0.13,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,11321.0,0,0,0,0,0,0,0.24150397191306,4.140718647724743,10000.0,10330.25,-0.046875168955721316,0.9680307833789115,10000.0,10165.125,0.0,1
253,ADP-13C-6,C10H15N5O10P2-13C-6,-,13C,ESI,11.1,13.1,10.0,0.2,432.0423,432.043,1.7,S04433,No,12.72,12.43,12.72,0.29,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
254,ADP-13C-7,C10H15N5O10P2-13C-7,-,13C,ESI,11.1,13.1,10.0,0.2,433.0456,433.0419,-8.6,S04433,No,12.72,12.72,12.75,0.02,11708.5,11708.5,11708.5,11708.5,11708.5,11708.5,11708.5,11708.5,11708.5,11708.5,0,0,3417,0,0,0,NA,NA,11708.5,11708.5,0.0,1.0,11708.5,11708.5,0.0,0
255,ADP-13C-8,C10H15N5O10P2-13C-8,-,13C,ESI,11.1,13.1,10.0,0.2,434.049,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
256,ADP-13C-9,C10H15N5O10P2-13C-9,-,13C,ESI,11.1,13.1,10.0,0.2,435.0523,435.0493,-7.0,S04434,No,12.46,12.46,12.46,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
257,ADP-13C-10,C10H15N5O10P2-13C-10,-,13C,ESI,11.1,13.1,10.0,0.2,436.0557,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
