Metabolite,np OLFR2 A,np OLFR2 B,np OLFR2 C,np GPI1 A,np GPI1 B,NP GPI1 C,p OLFR2 A,p OLFR2 B,p GPI1 A,p GPI1 B
L-Glutamic acid-13C-0,132718840.0,124449208.0,131454440.0,127564440.0,126467280.0,123212184.0,144145632.0,127481928.0,143932672.0,159789504.0
L-Glutamic acid-13C-1,9299144.0,8998039.0,9690995.0,12407559.0,12048140.0,11936981.0,10528155.0,9644841.0,12166836.0,13433161.0
L-Glutamic acid-13C-2,43017300.0,40226048.0,44116436.0,49472516.0,47755336.0,47156052.0,47832780.0,44192576.0,42537284.0,46375604.0
L-Glutamic acid-13C-3,10656917.0,10402681.0,11597741.0,15956045.0,15502040.0,15629403.0,11766854.0,10995804.0,11395585.0,12667326.0
L-Glutamic acid-13C-4,17337054.0,16548132.0,18238086.0,20377138.0,19590560.0,19891068.0,16950882.0,16243504.0,14215334.0,15131502.0
L-Glutamic acid-13C-5,10386188.0,9719412.0,11170886.0,9581389.0,9239248.0,9564923.0,9003757.0,10953929.0,6823526.0,6944898.0
Creatine-13C-0,6059289.0,4159616.0,4107760.0,3602753.0,4426977.0,4013804.0,5798299.0,2708752.0,1955037.0,2751705.0
Creatine-13C-1,156891.0,100246.0,100888.0,75605.0,73789.0,92465.0,105848.0,95372.0,33616.0,58142.0
Creatine-13C-2,104609.0,39080.0,50660.0,30684.0,32925.0,37942.0,52971.0,72797.0,33142.0,81486.0
Creatine-13C-3,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Creatine-13C-4,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
L-Lysine-13C-0,13491.5,13491.5,13491.5,13491.5,13491.5,13491.5,13491.5,13491.5,13491.5,13491.5
L-Lysine-13C-1,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
L-Lysine-13C-2,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
L-Lysine-13C-3,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
L-Lysine-13C-4,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
L-Lysine-13C-5,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
L-Lysine-13C-6,24238.5,24238.5,24238.5,24238.5,24238.5,24238.5,24238.5,24238.5,24238.5,24238.5
L-Arginine-13C-0,24430536.0,21665418.0,23323414.0,17825714.0,22471660.0,16923092.0,33580696.0,22677442.0,25480810.0,34244904.0
L-Arginine-13C-1,1674890.0,1378242.0,1596137.0,1162420.0,1482795.0,1072448.0,2408284.0,1445742.0,1704758.0,2437865.0
L-Arginine-13C-2,76504.5,76504.5,76504.5,76504.5,76504.5,76504.5,76504.5,76504.5,76504.5,76504.5
L-Arginine-13C-3,13119.5,13119.5,13119.5,13119.5,13119.5,13119.5,13119.5,13119.5,13119.5,13119.5
L-Arginine-13C-4,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
L-Arginine-13C-5,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
L-Arginine-13C-6,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
L-Kynurenine-13C-0,20198.0,19315.0,16166.0,17809.0,17344.0,10000.0,267119.0,272659.0,130893.0,116202.0
L-Kynurenine-13C-1,17347.5,17347.5,17347.5,17347.5,17347.5,17347.5,22078.0,17347.5,17347.5,17347.5
L-Kynurenine-13C-2,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
L-Kynurenine-13C-3,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
L-Kynurenine-13C-4,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
L-Kynurenine-13C-5,17723.0,17723.0,17723.0,17723.0,17723.0,17723.0,17723.0,17723.0,17723.0,17723.0
L-Kynurenine-13C-6,13727.5,13727.5,13727.5,13727.5,13727.5,13727.5,13727.5,13727.5,13727.5,13727.5
L-Kynurenine-13C-7,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
L-Kynurenine-13C-8,22035.5,22035.5,22035.5,22035.5,22035.5,22035.5,22035.5,22035.5,22035.5,22035.5
L-Kynurenine-13C-9,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
L-Kynurenine-13C-10,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Inosine-13C-0,43004.0,14764.5,56533.0,47237.0,58866.0,58458.0,19284.0,124100.0,187230.0,138362.0
Inosine-13C-1,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,23590.0,21711.0
Inosine-13C-2,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Inosine-13C-3,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,12705.0
Inosine-13C-4,21424.0,10000.0,19313.0,10000.0,22758.0,11529.0,10000.0,22440.0,37442.0,29327.0
Inosine-13C-5,926822.0,159925.0,930828.0,594344.0,661716.0,615548.0,160927.0,1230032.0,1405743.0,983095.0
Inosine-13C-6,601985.0,122368.0,757372.0,550181.0,621128.0,592788.0,212186.0,1312391.0,876165.0,679500.0
Inosine-13C-7,269648.0,79582.0,333157.0,269617.0,366957.0,299600.0,102033.0,912163.0,397160.0,319345.0
Inosine-13C-8,159531.0,59521.0,161337.0,153607.0,160523.0,171136.0,110579.0,636365.0,234115.0,213821.0
Inosine-13C-9,35651.0,24293.0,45013.0,46711.0,38562.0,45281.0,10000.0,217752.0,76709.0,54770.0
Inosine-13C-10,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Xanthosine-13C-0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Xanthosine-13C-1,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,11594.0,10000.0
Xanthosine-13C-2,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Xanthosine-13C-3,26040.5,26040.5,26040.5,26040.5,26040.5,26040.5,26040.5,26040.5,26040.5,26040.5
Xanthosine-13C-4,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Xanthosine-13C-5,36944.5,36944.5,36944.5,36944.5,36944.5,36944.5,36944.5,36944.5,36944.5,36944.5
Xanthosine-13C-6,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Xanthosine-13C-7,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Xanthosine-13C-8,17396.0,17396.0,17396.0,17396.0,17396.0,17396.0,17396.0,17396.0,17396.0,17396.0
Xanthosine-13C-9,15463.0,15463.0,15463.0,15463.0,15463.0,15463.0,15463.0,15463.0,15463.0,15463.0
Xanthosine-13C-10,180257.5,180257.5,180257.5,180257.5,180257.5,180257.5,180257.5,180257.5,180257.5,180257.5
Cyclic AMP-13C-0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Cyclic AMP-13C-1,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Cyclic AMP-13C-2,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Cyclic AMP-13C-3,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Cyclic AMP-13C-4,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Cyclic AMP-13C-5,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,12036.0,10000.0,11274.0
Cyclic AMP-13C-6,10000.0,10000.0,11139.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Cyclic AMP-13C-7,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Cyclic AMP-13C-8,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Cyclic AMP-13C-9,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Cyclic AMP-13C-10,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Orotidylic acid-13C-0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Orotidylic acid-13C-1,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Orotidylic acid-13C-2,10928.5,10928.5,10928.5,10928.5,10928.5,10928.5,10928.5,10928.5,10928.5,10928.5
Orotidylic acid-13C-3,10000.0,10000.0,10000.0,10000.0,10000.0,15871.0,10000.0,10000.0,10000.0,27042.0
Orotidylic acid-13C-4,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Orotidylic acid-13C-5,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Orotidylic acid-13C-6,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Orotidylic acid-13C-7,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Orotidylic acid-13C-8,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Orotidylic acid-13C-9,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Orotidylic acid-13C-10,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Inosinic acid-13C-0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Inosinic acid-13C-1,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Inosinic acid-13C-2,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Inosinic acid-13C-3,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Inosinic acid-13C-4,10000.0,10000.0,10000.0,10000.0,16491.0,10000.0,10000.0,10000.0,10000.0,10000.0
Inosinic acid-13C-5,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Inosinic acid-13C-6,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Inosinic acid-13C-7,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Inosinic acid-13C-8,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Inosinic acid-13C-9,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Inosinic acid-13C-10,74825.0,35086.0,34521.0,62664.0,55330.0,77632.0,32242.0,36782.0,36386.0,29875.0
Xanthylic acid-13C-0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Xanthylic acid-13C-1,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Xanthylic acid-13C-2,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Xanthylic acid-13C-3,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Xanthylic acid-13C-4,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Xanthylic acid-13C-5,11709.0,11709.0,11709.0,11709.0,11709.0,11709.0,11709.0,11709.0,11709.0,11709.0
Xanthylic acid-13C-6,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Xanthylic acid-13C-7,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0
Xanthylic acid-13C-8,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Xanthylic acid-13C-9,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Xanthylic acid-13C-10,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Adenosine-13C-0,92680.0,92680.0,92680.0,92680.0,92680.0,92680.0,110310.0,92680.0,92680.0,92680.0
Adenosine-13C-1,11416.0,11678.0,11416.0,11416.0,11416.0,11416.0,11416.0,11416.0,11416.0,11416.0
Adenosine-13C-2,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Adenosine-13C-3,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Adenosine-13C-4,10000.0,22146.0,10000.0,10000.0,11544.0,10807.0,22612.0,10000.0,10000.0,10000.0
Adenosine-13C-5,98532.0,1114076.0,129847.0,373535.0,164994.0,307006.0,847894.0,143242.0,252572.0,103942.0
Adenosine-13C-6,65029.0,891193.0,119365.0,322133.0,140794.0,263211.0,739374.0,157139.0,155576.0,75790.0
Adenosine-13C-7,33944.0,394625.0,63895.0,147995.0,92357.0,146922.0,553717.0,119128.0,80389.0,42444.0
Adenosine-13C-8,13430.0,160133.0,31816.0,84211.0,40698.0,81661.0,380749.0,55526.0,30646.0,26388.0
Adenosine-13C-9,11358.5,38531.0,12782.0,22927.0,14723.0,25561.0,94296.0,11358.5,16373.0,11358.5
Adenosine-13C-10,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Guanosine-13C-0,18326.5,18326.5,20545.0,41248.0,36204.0,33808.0,18326.5,23870.0,33252.0,25098.0
Guanosine-13C-1,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Guanosine-13C-2,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Guanosine-13C-3,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Guanosine-13C-4,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Guanosine-13C-5,56869.0,37169.0,52584.0,84032.0,70564.0,86534.0,39351.0,89201.0,86842.0,78771.0
Guanosine-13C-6,31139.0,10000.0,36910.0,67953.0,46107.0,46890.0,36740.0,51239.0,51309.0,36485.0
Guanosine-13C-7,30427.0,10000.0,26177.0,34689.0,21306.0,19495.0,19255.0,35596.0,27727.0,23919.0
Guanosine-13C-8,18487.0,10000.0,10000.0,38135.0,10000.0,22344.0,10000.0,22869.0,14438.0,10000.0
