Metabolite,np OLFR2 A,np OLFR2 B,np OLFR2 C,np GPI1 A,np GPI1 B,NP GPI1 C,p OLFR2 A,p OLFR2 B,p GPI1 A,p GPI1 B
Glucose 6-phosphate-13C-0,0,0,0,0,0,0,0,0,0,0
Glucose 6-phosphate-13C-1,0,0,0,0,0,0,0,0,0,0
Glucose 6-phosphate-13C-2,0,0,0,0,0,0,0,0,0,0
Glucose 6-phosphate-13C-3,0,0,0,0,0,0,0,0,0,0
Glucose 6-phosphate-13C-4,0,0,0,0,0,0,0,0,0,0
Glucose 6-phosphate-13C-5,0,0,0,0,0,0,0,0,0,12487
Glucose 6-phosphate-13C-6,0,0,70054,79993,136258,79120,43632,91189,90233,306541
N-Acetylserine-13C-0,0,0,0,0,0,0,0,0,0,0
N-Acetylserine-13C-1,0,0,0,0,0,0,0,0,0,0
N-Acetylserine-13C-2,0,0,0,0,0,0,0,0,0,0
N-Acetylserine-13C-3,0,0,0,0,0,0,63219,14665,0,0
N-Acetylserine-13C-4,0,0,0,0,0,0,36045,39333,0,0
N-Acetylserine-13C-5,0,0,0,0,0,0,0,0,0,0
L-Glutamic acid-13C-0,132718840,124449208,131454440,127564440,126467280,123212184,144145632,127481928,143932672,159789504
L-Glutamic acid-13C-1,9299144,8998039,9690995,12407559,12048140,11936981,10528155,9644841,12166836,13433161
L-Glutamic acid-13C-2,43017300,40226048,44116436,49472516,47755336,47156052,47832780,44192576,42537284,46375604
L-Glutamic acid-13C-3,10656917,10402681,11597741,15956045,15502040,15629403,11766854,10995804,11395585,12667326
L-Glutamic acid-13C-4,17337054,16548132,18238086,20377138,19590560,19891068,16950882,16243504,14215334,15131502
L-Glutamic acid-13C-5,10386188,9719412,11170886,9581389,9239248,9564923,9003757,10953929,6823526,6944898
Creatine-13C-0,6059289,4159616,4107760,3602753,4426977,4013804,5798299,2708752,1955037,2751705
Creatine-13C-1,156891,100246,100888,75605,73789,92465,105848,95372,33616,58142
Creatine-13C-2,104609,39080,50660,30684,32925,37942,52971,72797,33142,81486
Creatine-13C-3,0,0,0,0,0,0,0,0,0,0
Creatine-13C-4,0,0,0,0,0,0,0,0,0,0
L-Lysine-13C-0,0,0,0,0,0,0,0,0,0,0
L-Lysine-13C-1,0,0,0,0,0,0,0,0,0,0
L-Lysine-13C-2,0,0,0,0,0,0,0,0,0,0
L-Lysine-13C-3,0,0,0,0,0,0,0,0,0,0
L-Lysine-13C-4,0,0,0,0,0,0,0,0,0,0
L-Lysine-13C-5,0,0,0,0,0,0,0,0,0,0
L-Lysine-13C-6,0,0,0,0,0,0,0,0,0,0
L-Arginine-13C-0,24430536,21665418,23323414,17825714,22471660,16923092,33580696,22677442,25480810,34244904
L-Arginine-13C-1,1674890,1378242,1596137,1162420,1482795,1072448,2408284,1445742,1704758,2437865
L-Arginine-13C-2,0,0,0,0,0,0,0,0,0,0
L-Arginine-13C-3,0,0,0,0,0,0,0,0,0,0
L-Arginine-13C-4,0,0,0,0,0,0,0,0,0,0
L-Arginine-13C-5,0,0,0,0,0,0,0,0,0,0
L-Arginine-13C-6,0,0,0,0,0,0,0,0,0,0
L-Kynurenine-13C-0,20198,19315,16166,17809,17344,0,267119,272659,130893,116202
L-Kynurenine-13C-1,0,0,0,0,0,0,22078,0,0,0
L-Kynurenine-13C-2,0,0,0,0,0,0,0,0,0,0
L-Kynurenine-13C-3,0,0,0,0,0,0,0,0,0,0
L-Kynurenine-13C-4,0,0,0,0,0,0,0,0,0,0
L-Kynurenine-13C-5,0,0,0,0,0,0,0,0,0,0
L-Kynurenine-13C-6,0,0,0,0,0,0,0,0,0,0
L-Kynurenine-13C-7,0,0,0,0,0,0,0,0,0,0
L-Kynurenine-13C-8,0,0,0,0,0,0,0,0,0,0
L-Kynurenine-13C-9,0,0,0,0,0,0,0,0,0,0
L-Kynurenine-13C-10,0,0,0,0,0,0,0,0,0,0
Inosine-13C-0,43004,0,56533,47237,58866,58458,19284,124100,187230,138362
Inosine-13C-1,0,0,0,0,0,0,0,0,23590,21711
Inosine-13C-2,0,0,0,0,0,0,0,0,0,0
Inosine-13C-3,0,0,0,0,0,0,0,0,0,12705
Inosine-13C-4,21424,0,19313,0,22758,11529,0,22440,37442,29327
Inosine-13C-5,926822,159925,930828,594344,661716,615548,160927,1230032,1405743,983095
Inosine-13C-6,601985,122368,757372,550181,621128,592788,212186,1312391,876165,679500
Inosine-13C-7,269648,79582,333157,269617,366957,299600,102033,912163,397160,319345
Inosine-13C-8,159531,59521,161337,153607,160523,171136,110579,636365,234115,213821
Inosine-13C-9,35651,24293,45013,46711,38562,45281,0,217752,76709,54770
Inosine-13C-10,0,0,0,0,0,0,0,0,0,0
Xanthosine-13C-0,0,0,0,0,0,0,0,0,0,0
Xanthosine-13C-1,0,0,0,0,0,0,0,0,11594,0
Xanthosine-13C-2,0,0,0,0,0,0,0,0,0,0
Xanthosine-13C-3,0,0,0,0,0,0,0,0,0,0
Xanthosine-13C-4,0,0,0,0,0,0,0,0,0,0
Xanthosine-13C-5,0,0,0,0,0,0,0,0,0,0
Xanthosine-13C-6,0,0,0,0,0,0,0,0,0,0
Xanthosine-13C-7,0,0,0,0,0,0,0,0,0,0
Xanthosine-13C-8,0,0,0,0,0,0,0,0,0,0
Xanthosine-13C-9,0,0,0,0,0,0,0,0,0,0
Xanthosine-13C-10,0,0,0,0,0,0,0,0,0,0
Cyclic AMP-13C-0,0,0,0,0,0,0,0,0,0,0
Cyclic AMP-13C-1,0,0,0,0,0,0,0,0,0,0
Cyclic AMP-13C-2,0,0,0,0,0,0,0,0,0,0
Cyclic AMP-13C-3,0,0,0,0,0,0,0,0,0,0
Cyclic AMP-13C-4,0,0,0,0,0,0,0,0,0,0
Cyclic AMP-13C-5,0,0,0,0,0,0,0,12036,0,11274
Cyclic AMP-13C-6,0,0,11139,0,0,0,0,0,0,0
Cyclic AMP-13C-7,0,0,0,0,0,0,0,0,0,0
Cyclic AMP-13C-8,0,0,0,0,0,0,0,0,0,0
Cyclic AMP-13C-9,0,0,0,0,0,0,0,0,0,0
Cyclic AMP-13C-10,0,0,0,0,0,0,0,0,0,0
Orotidylic acid-13C-0,0,0,0,0,0,0,0,0,0,0
Orotidylic acid-13C-1,0,0,0,0,0,0,0,0,0,0
Orotidylic acid-13C-2,0,0,0,0,0,0,0,0,0,0
Orotidylic acid-13C-3,0,0,0,0,0,15871,0,0,0,27042
Orotidylic acid-13C-4,0,0,0,0,0,0,0,0,0,0
Orotidylic acid-13C-5,0,0,0,0,0,0,0,0,0,0
Orotidylic acid-13C-6,0,0,0,0,0,0,0,0,0,0
Orotidylic acid-13C-7,0,0,0,0,0,0,0,0,0,0
Orotidylic acid-13C-8,0,0,0,0,0,0,0,0,0,0
Orotidylic acid-13C-9,0,0,0,0,0,0,0,0,0,0
Orotidylic acid-13C-10,0,0,0,0,0,0,0,0,0,0
Inosinic acid-13C-0,0,0,0,0,0,0,0,0,0,0
Inosinic acid-13C-1,0,0,0,0,0,0,0,0,0,0
Inosinic acid-13C-2,0,0,0,0,0,0,0,0,0,0
Inosinic acid-13C-3,0,0,0,0,0,0,0,0,0,0
Inosinic acid-13C-4,0,0,0,0,16491,0,0,0,0,0
Inosinic acid-13C-5,0,0,0,0,0,0,0,0,0,0
Inosinic acid-13C-6,0,0,0,0,0,0,0,0,0,0
Inosinic acid-13C-7,0,0,0,0,0,0,0,0,0,0
Inosinic acid-13C-8,0,0,0,0,0,0,0,0,0,0
Inosinic acid-13C-9,0,0,0,0,0,0,0,0,0,0
Inosinic acid-13C-10,74825,35086,34521,62664,55330,77632,32242,36782,36386,29875
Xanthylic acid-13C-0,0,0,0,0,0,0,0,0,0,0
Xanthylic acid-13C-1,0,0,0,0,0,0,0,0,0,0
Xanthylic acid-13C-2,0,0,0,0,0,0,0,0,0,0
Xanthylic acid-13C-3,0,0,0,0,0,0,0,0,0,0
Xanthylic acid-13C-4,0,0,0,0,0,0,0,0,0,0
Xanthylic acid-13C-5,0,0,0,0,0,0,0,0,0,0
Xanthylic acid-13C-6,0,0,0,0,0,0,0,0,0,0
Xanthylic acid-13C-7,0,0,0,0,0,0,0,0,0,0
Xanthylic acid-13C-8,0,0,0,0,0,0,0,0,0,0
Xanthylic acid-13C-9,0,0,0,0,0,0,0,0,0,0
Xanthylic acid-13C-10,0,0,0,0,0,0,0,0,0,0
