,Metabolite,Formula,Ion Type,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,T10,T11,T12,T1,T2,T3,SQ437_B_0,SQ437_B_1,SQ437_B_2,SQ437_B_3,SQ437_B_4,SQ437_B_5,ttest_pval,1/pvalue,SG1 minus Dox_Mean,Tom plus Dox_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
16,Adenosine triphosphate,C10H16N5O13P3,[M-H]-,12.5,14.5,15,0.2,505.9885,505.98800000000006,-0.9,S07372,14.02,14.01,14.27,0.26,693843.0,1082941.0,1832475.0,315611.0,315611.0,581912.0,20845,2030,188101,32227,306229,61790,0.08201291269504052,12.193201864667733,1203086.3333333333,404378.0,1.572963758529434,2.975152786089583,315611.0,803732.1666666666,29.0,4
17,Adenylsuccinic acid,C14H18N5O11P,[M-H]-,14.5,16.5,15,0.2,462.0668,462.0672,0.9,S07377,15.75,15.7,15.87,0.17,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
18,ADP,C10H15N5O10P2,[M-H]-,11.1,13.1,15,0.2,426.0221,426.0215,-1.5,S07377,12.54,12.44,12.61,0.18,526830.0,731265.0,1076431.0,526830.0,526830.0,526830.0,42121,24985,257624,98414,450406,160110,0.19214007706799444,5.204536269890849,778175.3333333334,526830.0,0.5627577490806139,1.477090016387323,526830.0,652502.6666666667,5.0,2
19,Allantoin,C4H6N4O3,[M-H]-,9.3,11.3,15,0.2,157.0367,157.0356,-7.1,S07370,10.31,10.11,10.41,0.3,10000.0,10000.0,10816.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0.373900966300059,2.67450498963806,10272.0,10000.0,0.038717107572853585,1.0272,10000.0,10136.0,0.0,1
20,Aminoadipic acid,C6H11NO4,[M-H]-,5.9,7.9,15,0.2,160.0615,160.0603,-7.7,S07377,6.92,6.77,7.08,0.31,1173831.0,1305643.0,1393893.0,519936.0,595390.0,592455.0,1763,1859,4351,2345,2424,1782,0.00045958403131310675,2175.880648295887,1291122.3333333333,569260.3333333334,1.1814652220930426,2.2680700862698435,17262.0,930191.3333333333,4591.0,6
21,Argininosuccinic acid,C10H18N4O6,[M-H]-,12.5,14.5,15,0.2,289.1154,289.1144,-3.3,S07367,13.83,13.69,14.02,0.33,12267.0,12267.0,12267.0,12267.0,14369.0,13201.0,1540,0,1832,0,1162,0,0.17137536984176313,5.835144227104133,12267.0,13279.0,-0.11436403722155795,0.9237894419760524,12267.0,12773.0,0.0,2
22,Beta-Alanine,C3H7NO2,[M+H]+,9.8,10.5,15,0.2,90.055,90.0553,3.8,S07377,10.48,10.24,10.49,0.25,236384.0,198939.0,274170.0,202746.0,184091.0,204058.0,39023,27089,90703,46847,74594,58506,0.15591890753931267,6.413590345018705,236497.66666666666,196965.0,0.2638866591848327,1.2007090938322376,178381.0,216731.3333333333,2.0,6
23,Betaine,C5H11NO2,[M+H]+,7.0,8.2,15,0.2,118.0863,118.0861,-1.3,S07376,8.04,8.0,8.1,0.1,4489595.0,4825078.0,4824246.0,3975192.0,4351522.0,4077081.0,383751,385142,413825,385400,437101,433375,0.02176361716038496,45.94824438559972,4712973.0,4134598.3333333335,0.18889023465053262,1.1398865427879128,1229297.0,4423785.666666667,232.0,6
24,Butyrylcarnitine,C11H21NO4,[M+H]+,4.2,6.2,15,0.2,232.1543,232.1536,-3.2,S07377,5.86,5.65,5.97,0.31,2409055.0,2814084.0,3011974.0,803112.0,960425.0,1015239.0,3318,2851,5701,2450,2885,5608,0.0006451419598968005,1550.0464427394616,2745037.6666666665,926258.6666666666,1.567338904269701,2.9635756894402427,21406.5,1835648.1666666665,8432.0,6
25,Carbamoyl phosphate,CH4NO5P,[M-H]-,27.0,30.0,15,0.2,139.9754,139.9742,-8.8,S07377,27.87,27.84,28.12,0.28,8242906.0,8334318.0,8563056.0,4821333.0,5834736.0,6190656.0,632114,32535,1166884,41117,952212,28699,0.002785235564773032,359.03605879795293,8380093.333333333,5615575.0,0.5775325588371376,1.492294793201646,1436780.5,6997834.166666666,3749.0,6
