Metabolite,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12
L-Arginine,0,25134710,25447962,19686454,23864068,26398398,23442052,22575298,22550128,21118804,22068992,27352140
L-Asparagine,1049311,977174,1281758,637489,663451,560943,4237354,3482126,3291100,341851,409216,430587
L-Aspartic acid,30327814,35065012,36713228,31159864,32585218,32827854,32607638,29468054,31588108,16921226,16049938,16952522
L-Carnitine,1830220,2136454,2702769,3217380,3084554,3235466,4300740,3418680,3513230,6762066,7732668,8292106
L-Cystathionine,791363,1068083,1232842,600827,798477,841267,2507367,1892499,1914338,313716,345737,569491
L-Cysteine,0,0,0,0,0,0,0,0,0,0,0,0
L-Cystine,0,0,0,0,0,0,0,0,0,0,0,0
L-Glutamic acid,292281664,309193184,335917792,314105536,299959040,312207488,363826400,344263936,330420672,206534608,238447920,235452352
L-Glutamine,729829632,811804736,798679552,636709120,647699136,678570880,835338304,774815360,803488832,478204192,488798880,525671616
L-Histidine,43371636,52939892,57224160,37055480,33522778,41844588,49552484,50148708,49502980,18971692,20938256,28800668
L-Isoleucine,88320064,104060064,117711496,110128208,94138392,99042888,136682304,119806728,107783200,72785896,86594416,118888128
L-Kynurenine,51740,55552,78493,31469,41696,56314,71030,90183,86948,32277,47025,45297
L-Lactic acid,157859104,184120656,162918272,61504944,163279328,87367824,173016112,295789664,165660720,316057504,236070208,395542144
L-Leucine,216846320,242659904,259340352,218016240,220654608,237501776,305454080,265219440,262362464,172246336,195013904,238851616
L-Lysine,11915853,17061276,19579320,13481232,16300823,20394152,21231570,19511376,18761220,15386250,16705621,22644988
L-Malic acid,75488448,88480920,92927368,77578624,88225304,98922752,122430416,110561320,112903920,92442880,106503664,116092320
L-Methionine,109821032,124164392,132196448,96850640,93422864,106741728,148775168,124160240,121812888,58831972,68457600,83741976
L-Phenylalanine,143650448,160301488,172830800,140582544,136497248,154454752,197257680,181240448,179100800,108729296,128312280,155710832
L-Proline,444358528,500123040,501305440,508435520,508636576,523604064,984932864,951235840,900499456,908398592,1009704512,1013778688
L-Serine,15949351,17623678,17909354,14165899,13741362,16687934,18979634,16636344,17620638,12389244,12678024,14598318
L-Threonine,19786356,20624430,20417866,15250660,16679571,16044608,32047378,27492600,27346590,11941145,11522207,11926950
L-Tryptophan,16611743,19298066,22021164,16939132,16726902,20154076,24717976,20648472,19930736,12913110,15109340,19527720
L-Tyrosine,51264604,58364700,66300648,52554140,48337616,57981244,57168860,49665884,50089820,30703378,34126464,41386860
L-Valine,148799712,158816064,170858704,148039488,138931456,160457712,200014288,182021104,176544096,122912560,133112544,159471696
N6-Acetyl-L-lysine,1959962,1835435,2907500,909120,2562450,809231,664946,2164901,728445,772773,390792,517586
N-Acetylglutamic acid,384347,355553,558756,0,0,159210,460952,568663,782312,417142,240276,278064
N-Acetylglutamine,301186,310960,314107,209157,233193,232259,368879,296457,249674,130938,184768,164710
N-Acetyl-L-alanine,2832395,3267759,3272030,3406511,3241805,3490239,6484732,5512306,5513290,5521002,6415137,6683578
N-Acetyl-L-methionine,1006121,1109498,1271989,1160448,1003276,1158116,2666913,2251381,2156003,1646464,1846171,2051593
N-Acetyl-L-phenylalanine,0,0,109928,0,0,0,151802,0,111292,0,0,0
N-Acetylornithine,0,0,0,0,0,0,29440,0,27924,0,0,0
N-Acetylserine,8708903,9445965,10088244,10132806,10447740,11096042,19344504,15663741,15297970,18346462,20928362,21099732
NAD,936752,1262711,1460620,1066309,1291548,1444292,2160035,1775460,1998427,1677456,1771359,2165475
NADH,150227,199524,209523,202926,182648,242450,307282,248640,256556,256932,338639,394991
NADP,0,0,0,0,0,0,47944,49320,40196,0,52854,62214
NADPH,42060,37964,52728,47938,42403,51923,75334,54288,57504,51605,64955,50515
Niacinamide,49113424,55881084,66919368,58206400,59507060,70677856,78722808,69475792,70087432,68977624,74057824,95535392
Nicotinic acid,0,0,0,0,0,0,0,0,0,0,0,0
O-Phosphoethanolamine,0,0,26612,0,0,0,0,0,0,0,49295,0
Ornithine,6604819,9301530,9214019,7476945,8384546,9838633,11076539,10505005,9567334,8346386,9437711,11089386
Orotic acid,75311,89395,108352,95784,89650,111055,78928,92725,112978,91172,106284,125221
Orotidylic acid,11090,0,0,0,0,0,0,0,0,0,0,0
Oxidized glutathione,3937685,8069208,11880018,14841559,11513949,13288829,3968342,3530594,2100167,2422165,4233552,4325590
Oxoadipic acid,0,0,0,0,0,0,0,0,0,0,0,0
Oxoglutaric acid,14569729,17435206,17603790,20030276,19767914,22893260,30562164,25000764,24725016,46812628,55266652,57191312
Palmitic acid,6817709,9505565,9533514,6131006,5652634,11513757,15465780,10604542,8111785,8641989,20015370,11993933
Pantothenic acid,29292520,31968604,34295060,36315540,36309940,38994168,19367314,16886474,15413587,18408720,21262786,25429028
Phenol,0,0,0,0,0,0,0,0,0,0,0,0
Phosphocreatine,1891732,2524896,3403469,3161008,3813594,3899783,7450242,5947386,5369032,8071146,9909884,9931316
Phosphoenolpyruvic acid,83741,141528,341307,250002,397324,560698,337488,361033,294813,133178,285201,424212
Phosphoribosyl pyrophosphate,0,0,0,0,0,0,0,0,0,0,0,0
Phosphorylcholine,1052292672,1197206272,1256155136,1156918528,1247692032,1284890496,1275959936,1228344320,1186025984,1187464960,1288749312,1335585920
Phosphoserine,0,0,0,0,0,0,0,0,0,0,0,0
Pipecolic acid,0,0,0,0,0,0,0,0,0,0,0,0
Propionylcarnitine,173523,230126,252930,345168,244371,296154,378509,300433,246085,627837,655552,680953
Pyruvic acid,3040576,3620506,3469472,0,2764807,0,0,0,0,4607059,0,6288242
Ribose 1-phosphate,0,0,0,0,0,0,21947,18444,20162,19929,22060,31110
Saccharopine,0,0,0,0,0,0,0,0,0,0,0,0
S-Adenosylhomocysteine,57739,42617,49556,48551,58645,55326,57020,43492,45948,63270,68843,59261
S-Adenosylmethionine,11615140,14427278,12929715,11944248,10598215,11599370,10082234,10874488,11405082,8405008,6971153,6993604
Sarcosine,228505376,263486160,280076960,221713072,217545776,218047424,358244320,300557856,353729952,169318496,172016272,186569552
Succinic acid,2814051,3502688,3789070,4977397,4123929,4022294,4746066,4306395,4137576,4392034,5202090,4890784
Taurine,26597956,31132536,35392836,35536868,32572986,35685884,35960448,30907222,31512308,24667492,27244308,27884162
Thymidine,68129,0,0,0,100691,0,54587,31618,0,0,0,0
Uracil,0,0,0,0,0,0,0,0,0,0,0,0
Ureidopropionic acid,296121,274579,386288,128487,170294,147051,897391,845766,897863,80993,79707,149412
Ureidosuccinic acid,658394,843057,1003156,744687,971326,1349616,3650861,2490635,2198833,1066633,1924227,2862772
Uric acid,0,0,0,0,0,0,0,0,0,0,0,0
Uridine,45907,37312,24082,44416,41464,37595,26271,27337,20382,23114,37644,43220
Uridine 5'-diphosphate,51171,56700,73426,71937,63134,77526,86239,63356,62119,66552,106802,100077
Uridine 5'-monophosphate,0,177845,173190,0,296074,196401,236174,178236,183603,214435,237933,293629
Uridine diphosphate glucose,969502,1190931,1369651,1249152,1265356,1473294,1711551,1452924,1245430,1433267,1669762,1692870
Uridine diphosphate-N-acetylglucosamine,203585,230199,285910,258916,260141,245155,399694,349622,286587,285752,367288,417198
Uridine triphosphate,0,0,113853,0,100279,183880,254077,193150,163566,112485,178370,277988
Valerylcarnitine,19230,0,21952,31585,25357,24600,27244,20602,27373,45949,52283,48919
Xanthine,0,34175,0,0,0,0,15523,17620,0,0,17987,19177
Xanthosine,0,0,0,0,0,0,0,0,0,0,0,0
Xanthylic acid,0,0,0,0,0,0,0,0,0,0,0,21440
