,Metabolite,Formula,Ion Type,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,T7,T8,T9,T1,T2,T3,SQ437_B_0,SQ437_B_1,SQ437_B_2,SQ437_B_3,SQ437_B_4,SQ437_B_5,ttest_pval,1/pvalue,SG1 plus Dox_Mean,Tom plus Dox_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
19,Allantoin,C4H6N4O3,[M-H]-,9.3,11.3,15,0.2,157.0367,157.0356,-7.1,S07370,10.31,10.11,10.41,0.3,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
20,Aminoadipic acid,C6H11NO4,[M-H]-,5.9,7.9,15,0.2,160.0615,160.0603,-7.7,S07377,6.92,6.77,7.08,0.31,957402.0,768547.0,797128.0,519936.0,595390.0,592455.0,1763,1859,4351,2345,2424,1782,0.013016156619804937,76.82759428988695,841025.6666666666,569260.3333333334,0.563061255036952,1.4774007908508173,17262.0,705143.0,80.0,6
21,Argininosuccinic acid,C10H18N4O6,[M-H]-,12.5,14.5,15,0.2,289.1154,289.1144,-3.3,S07367,13.83,13.69,14.02,0.33,12267.0,12267.0,12267.0,12267.0,14369.0,13201.0,1540,0,1832,0,1162,0,0.17137536984176313,5.835144227104133,12267.0,13279.0,-0.11436403722155795,0.9237894419760524,12267.0,12773.0,0.0,2
22,Beta-Alanine,C3H7NO2,[M+H]+,9.8,10.5,15,0.2,90.055,90.0553,3.8,S07377,10.48,10.24,10.49,0.25,225131.0,267484.0,236540.0,202746.0,184091.0,204058.0,39023,27089,90703,46847,74594,58506,0.03151319231340051,31.73274195946074,243051.66666666666,196965.0,0.30332373655278505,1.2339840411579044,178381.0,220008.3333333333,9.0,6
23,Betaine,C5H11NO2,[M+H]+,7.0,8.2,15,0.2,118.0863,118.0861,-1.3,S07376,8.04,8.0,8.1,0.1,4718820.0,4132714.0,4073310.0,3975192.0,4351522.0,4077081.0,383751,385142,413825,385400,437101,433375,0.5002746380636311,1.9989020508227475,4308281.333333333,4134598.3333333335,0.059365280085369565,1.0420072244018865,1229297.0,4221439.833333333,9.0,6
24,Butyrylcarnitine,C11H21NO4,[M+H]+,4.2,6.2,15,0.2,232.1543,232.1536,-3.2,S07377,5.86,5.65,5.97,0.31,1826202.0,1352688.0,1480312.0,803112.0,960425.0,1015239.0,3318,2851,5701,2450,2885,5608,0.0155800900076804,64.18448157276612,1553067.3333333333,926258.6666666666,0.7456333378477702,1.6767101774306385,21406.5,1239663.0,133.0,6
25,Carbamoyl phosphate,CH4NO5P,[M-H]-,27.0,30.0,15,0.2,139.9754,139.9742,-8.8,S07377,27.87,27.84,28.12,0.28,8476653.0,7960298.0,8351284.0,4821333.0,5834736.0,6190656.0,632114,32535,1166884,41117,952212,28699,0.0038019903230713274,263.02013288455163,8262745.0,5615575.0,0.5571873916400338,1.4713978532919603,1436780.5,6939160.0,2686.0,6
26,Carnosine,C9H14N4O3,[M+H]+,10.6,12.6,15,0.2,227.1139,227.1108,-13.5,S07375,10.67,10.67,10.67,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
27,CDP,C9H15N3O11P2,[M+H]+,13.0,15.0,15,0.2,404.0255,404.0258,0.8,S07377,14.44,14.34,14.66,0.32,31651.5,31651.5,31651.5,31651.5,31651.5,31651.5,2528,1427,11957,5467,14305,7619,NA,NA,31651.5,31651.5,0.0,1.0,31651.5,31651.5,0.0,0
28,Choline,C5H14NO,[Cat]+,11.0,15.0,15,0.2,104.10700000000001,104.1071,1.1,S07376,11.01,11.0,11.15,0.15,1610363.0,1142117.0,1749697.0,1151845.0,1080482.0,1391928.0,84213,19853,105521,17292,320653,15686,0.22940097735791934,4.359179335316281,1500725.6666666667,1208085.0,0.31293831052213966,1.2422351628127712,291609.0,1354405.3333333335,7.0,6
29,cis-Aconitic acid,C6H6O6,[M-H]-,14.1,16.1,15,0.2,173.0092,173.0081,-6.1,S07377,15.25,15.12,15.28,0.16,3227532.0,2875767.0,2384757.0,1086962.0,1302028.0,1930565.0,101856,32712,493736,87525,777404,103227,0.016826646326705497,59.429548858640025,2829352.0,1439851.6666666667,0.974551480686631,1.9650301940824921,808230.0,2134601.8333333335,249.0,6
30,Citric acid,C6H8O7,[M-H]-,14.2,16.2,15,0.2,191.0197,191.0188,-4.9,S07377,15.51,15.47,15.58,0.11,10219116.0,8156070.0,7031892.0,4222080.5,4222080.5,4528466.0,1971576,958014,1945152,776307,2055455,717657,0.011557826286910478,86.52145958730358,8469026.0,4324209.0,0.9697598047327051,1.958514493633402,4222080.5,6396617.5,1084.0,4
31,Citrulline,C6H13N3O3,[M+H]+,10.9,12.9,15,0.2,176.10299999999998,176.1026,-2.1,S07377,12.31,12.21,12.36,0.15,209622.0,252183.0,218097.0,138369.0,407552.0,138369.0,26245,27566,37109,27048,113805,24965,0.9879012316198728,1.012246941286113,226634.0,228096.66666666666,-0.009281050866725073,0.9935875140656739,138369.0,227365.3333333333,0.0,4
32,Creatine,C4H9N3O2,[M+H]+,10.0,11.5,15,0.2,132.0768,132.0764,-2.7,S07376,11.12,11.02,11.12,0.1,475977472.0,436667424.0,420509664.0,255044896.0,277924096.0,273458400.0,7687539,143192,14419734,695502,22296378,879882,0.000605229948473712,1652.2645690647523,444384853.3333333,268809130.6666667,0.7252275008089033,1.6531613053143908,23071113.5,356596992.0,974030.0,6
33,Creatinine,C4H7N3O,[M+H]+,5.2,7.2,15,0.2,114.0662,114.0661,-0.8,S07377,6.7,6.59,6.72,0.12,4621546.0,3659462.0,3592939.0,2845381.0,2641810.0,2704647.0,83253,39894,289210,82828,461983,125217,0.02208075541450484,45.28830564116934,3957982.3333333335,2730612.6666666665,0.5355404883763448,1.4494850850321992,551192.5,3344297.5,220.0,6
34,Cyclic AMP,C10H12N5O6P,[M-H]-,5.8,7.8,15,0.2,328.0452,328.0435,-5.3,S07372,6.95,6.81,7.01,0.2,29634.0,27878.0,20443.0,20946.0,18605.0,29287.0,0,0,0,1494,2096,2269,0.5182308128059977,1.929642111756012,25985.0,22946.0,0.17943637739820187,1.1324413841192364,12929.5,24465.5,0.0,6
35,Cytidine,C9H13N3O5,[M+H]+,7.1,9.1,15,0.2,244.0928,244.0928,0.0,S07377,8.56,8.42,8.74,0.32,33427.0,35297.0,32547.0,68630.0,58662.0,36161.0,13337,4179,2117,3018,3077,3107,0.09789525848833487,10.214999331343094,33757.0,54484.333333333336,-0.690654753819687,0.6195725988510459,24417.5,44120.66666666667,1.0,6
36,Cytidine monophosphate,C9H14N3O8P,[M+H]+,11.8,13.8,15,0.2,324.0591,324.0568,-7.2,S07377,12.55,12.49,12.58,0.09,66074.0,53698.0,63116.0,28290.0,39399.0,59625.0,2421,0,3386,0,4464,0,0.1347149281718557,7.42308230847513,60962.666666666664,42438.0,0.5225693443332512,1.4365113027632468,15135.5,51700.33333333333,1.0,6
37,Cytidine triphosphate,C9H16N3O14P3,[M-H]-,15.0,20.0,15,0.2,481.9772,481.9758,-3.0,S07377,16.01,16.01,16.26,0.25,40793.0,25825.0,24262.0,19410.5,19410.5,19410.5,0,0,6347,0,10475,1999,0.10779392645609642,9.27696051973106,30293.333333333332,19410.5,0.6421630528431914,1.560667336407271,19410.5,24851.916666666664,0.0,3
38,Cytosine,C4H5N3O,[M+H]+,9.0,11.0,15,0.2,112.0505,112.0506,0.5,S07372,9.46,9.3,9.69,0.39,63704.0,63704.0,63704.0,63704.0,63704.0,63704.0,15031,20593,21890,12642,21568,15684,NA,NA,63704.0,63704.0,0.0,1.0,63704.0,63704.0,0.0,0
39,D-2-Hydroxyglutaric acid,C5H8O5,[M-H]-,11.6,13.6,15,0.2,147.0299,147.0287,-8.2,S07375,12.49,12.39,12.51,0.12,5961808.0,5950060.0,6092754.0,4289720.0,5644170.0,6074790.0,120866,31243,146370,26647,440326,31345,0.28521290803173094,3.5061526734573545,6001540.666666667,5336226.666666667,0.16951295607579095,1.124678736785294,408398.5,5668883.666666667,22.0,6
40,D-Glucose,C6H12O6,[M-H]-,9.0,11.0,15,0.2,179.0561,179.055,-6.2,S07371,11.02,10.79,11.03,0.24,2492313.0,2135621.0,1957747.0,2071761.0,2206194.0,2758822.0,80552,14368,70116,13938,150197,13168,0.5974048275966961,1.6739067945314514,2195227.0,2345592.3333333335,-0.0955821620506487,0.9358945153441696,181169.5,2270409.666666667,4.0,6
41,D-Glyceraldehyde 3-phosphate,C3H7O6P,[M-H]-,13.0,14.0,15,0.2,168.9908,168.9898,-5.6,S07377,13.46,13.36,13.5,0.14,392539.0,312391.0,297396.0,172724.5,172724.5,177175.0,22965,5762,87834,30998,145307,32583,0.005664676535033144,176.53258642669329,334108.6666666667,174208.0,0.9395065291161858,1.9178721222140585,172724.5,254158.33333333334,86.0,4
42,Dihydrofolic acid,C19H21N7O6,[M+H]+,13.0,16.0,15,0.2,444.1626,444.162,-1.4,S07371,14.95,14.75,15.2,0.45,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
43,Dihydroxyacetone phosphate,C3H7O6P,[M-H]-,12.0,13.0,15,0.2,168.9908,168.9897,-6.2,S07377,12.56,12.49,12.56,0.07,1914191.0,1652498.0,1600218.0,630052.0,812032.0,1045853.0,26406,2347,96241,9628,144349,14093,0.004465970680753537,223.91548702045472,1722302.3333333333,829312.3333333334,1.0543509629527368,2.076783696693284,156532.0,1275807.3333333333,593.0,6
44,D-Ribose 5-phosphate,C5H11O8P,[M-H]-,12.4,13.8,15,0.2,229.0119,229.0111,-3.4,S07377,12.88,12.72,12.95,0.23,234026.0,192348.0,158084.0,84221.0,117989.0,124949.0,8960,0,25078,6862,31708,7063,0.02754612326515164,36.30274904291492,194819.33333333334,109053.0,0.8371073951717763,1.786464685367054,49835.5,151936.1666666667,10.0,6
45,D-Sedoheptulose 7-phosphate,C7H15O10P,[M-H]-,12.2,14.2,15,0.2,289.033,289.0322,-2.8,S07372,13.49,13.34,13.52,0.19,235320.0,202761.0,163631.0,106189.0,126817.0,159427.0,14699,2313,32436,8124,29695,8868,0.05433322695689936,18.40494400955174,200570.66666666666,130811.0,0.6166267648395924,1.5332859367076672,58067.5,165690.8333333333,5.0,6
46,dTDP,C10H16N2O11P2,[M-H]-,11.0,13.0,15,0.2,401.0157,401.0153,-0.9,S07372,12.03,11.91,12.27,0.36,14491.5,14491.5,14491.5,14491.5,14491.5,14491.5,0,0,3171,1890,2636,1286,NA,NA,14491.5,14491.5,0.0,1.0,14491.5,14491.5,0.0,0
47,FAD,C27H33N9O15P2,[M+H]+,7.6,9.6,15,0.2,786.1644,786.1618,-3.3,S07376,8.94,8.74,9.03,0.28,24386.0,28765.0,19786.0,13975.0,11070.0,15154.0,0,0,0,0,2140,0,0.018897950513872174,52.91579101479512,24312.333333333332,13399.666666666666,0.8594912478243009,1.81439836811861,11070.0,18856.0,2.0,5
48,Folic acid,C19H19N7O6,[M+H]+,13.0,16.0,15,0.2,442.147,442.1427,-9.6,S07377,14.15,14.1,14.19,0.09,16898.0,13863.0,13351.5,13351.5,13981.0,18250.0,1468,0,0,0,5235,0,0.8087636627191825,1.2364551550669978,14704.166666666666,15194.166666666666,-0.04729252725713024,0.9677507815499369,13351.5,14949.166666666666,0.0,4
49,"Fructose 1,6-bisphosphate",C6H14O12P2,[M-H]-,14.1,16.1,15,0.2,338.9888,338.98800000000006,-2.3,S07377,15.88,15.65,16.09,0.44,217003.0,180852.0,175750.0,79099.0,79099.0,79099.0,9799,1243,42512,2408,71315,10921,0.0009897065294644967,1010.4005280646909,191201.66666666666,79099.0,1.2733637382373884,2.417245055773988,79099.0,135150.3333333333,330.0,3
50,Fructose 6-phosphate,C6H13O9P,[M-H]-,12.6,13.5,15,0.2,259.0224,259.0219,-2.1,S07377,13.11,13.03,13.15,0.11,1204017.0,993032.0,983303.0,607085.0,810958.0,824157.0,56547,14914,150921,31135,173843,35610,0.03592805253675798,27.83340396691138,1060117.3333333333,747400.0,0.5042714816647976,1.4184069217732582,241485.0,903758.6666666666,36.0,6
51,Fumaric acid,C4H4O4,[M-H]-,12.2,14.2,15,0.2,115.0037,115.0023,-12.0,S07372,13.29,13.22,13.32,0.1,6962908.0,5884811.0,6007429.0,4239730.0,5085760.0,5145508.0,221901,52502,409013,62272,415041,54157,0.03125135106691072,31.998616567294953,6285049.333333333,4823666.0,0.3817940531679822,1.302961136474485,617443.0,5554357.666666666,232.0,6
52,Glucose 6-phosphate,C6H13O9P,[M-H]-,13.6,14.4,15,0.2,259.0224,259.022,-1.7,S07372,14.02,13.93,14.05,0.12,1638432.0,1391871.0,1312582.0,748167.0,1056216.0,1231560.0,210873,61960,281482,55783,287176,55669,0.06447885318980719,15.508960698421355,1447628.3333333333,1011981.0,0.5165090462709205,1.4304896369925257,486471.5,1229804.6666666665,27.0,6
53,Glutathione,C10H17N3O6S,[M+H]+,10.0,13.0,15,0.2,308.0911,308.0898,-4.2,S07376,11.49,11.42,11.56,0.14,25024554.0,18519450.0,25262016.0,27138308.0,16880522.0,2012267.0,78501,25380,255689,111139,742720,317138,0.3755594207333463,2.662694489322949,22935340.0,15343699.0,0.5799259703519392,1.4947725447429594,775283.5,19139519.5,76.0,6
54,Glycerol 3-phosphate,C3H9O6P,[M-H]-,11.5,13.0,15,0.2,171.0064,171.0053,-6.4,S07377,12.16,12.08,12.2,0.12,9144658.0,7968400.0,7068286.0,1957600.0,2681632.0,3556278.0,218336,40578,1100034,155288,1346744,166631,0.0021605756463500716,462.8396148449287,8060448.0,2731836.6666666665,1.5609887968758727,2.9505600017570597,1523805.5,5396142.333333333,7369.0,6
55,Glycine,C2H5NO2,[M+H]+,10.7,12.7,15,0.2,76.0393,76.0398,6.5,S07375,12.06,11.99,12.09,0.1,29594324.0,26035242.0,26836738.0,26015710.5,26015710.5,26015710.5,9367796,7818770,9372741,7572957,9764687,8114470,0.24352863030431005,4.106293369902396,27488768.0,26015710.5,0.0794591406915739,1.056621843943105,26015710.5,26752239.25,116.0,3
56,Guanidoacetic acid,C3H7N3O2,[M+H]+,10.7,12.7,15,0.2,118.0611,118.061,-0.9,S07377,12.15,12.07,12.15,0.08,197365328.0,166207856.0,188081792.0,81145176.0,86720456.0,91866688.0,5086456,8271,10885688,27557,18569598,31927,0.0005642926759799287,1772.1300356476165,183884992.0,86577440.0,1.0867406898401801,2.1239365820934415,17314748.5,135231216.0,508996.0,6
57,Guanine,C5H5N5O,[M+H]+,7.7,9.7,15,0.2,152.0567,152.0565,-1.2,S07369,8.83,8.76,9.04,0.28,50461.0,36596.0,30493.0,120633.0,75179.0,39513.0,12236,8173,3153,5874,7845,3705,0.18015642486270997,5.550731819650951,39183.333333333336,78441.66666666667,-1.0013800559449544,0.4995219377456709,30493.0,58812.5,1.0,5
58,Guanosine,C10H13N5O5,[M+H]+,7.7,9.7,15,0.2,284.0989,284.0986,-1.2,S07377,9.13,8.88,9.26,0.37,18924.0,18163.5,18163.5,36227.0,18163.5,18163.5,11705,2703,0,0,0,1919,0.39273831589733427,2.54622469853797,18417.0,24184.666666666668,-0.3930545778152922,0.7615155608236623,18163.5,21300.833333333336,0.0,2
59,Guanosine diphosphate,C10H15N5O11P2,[M-H]-,13.8,15.8,15,0.2,442.0171,442.0167,-0.8,S07377,15.44,15.28,15.52,0.24,27276.5,27276.5,27276.5,27276.5,27276.5,27276.5,1661,1230,8327,2244,15356,5735,NA,NA,27276.5,27276.5,0.0,1.0,27276.5,27276.5,0.0,0
60,Guanosine monophosphate,C10H14N5O8P,[M+H]+,12.6,14.6,15,0.2,364.0653,364.06300000000005,-6.3,SQ437_B_0,13.81,13.78,13.93,0.14,70849.0,70849.0,70849.0,70849.0,70849.0,70849.0,71888,24110,8437,7448,7137,2678,NA,NA,70849.0,70849.0,0.0,1.0,70849.0,70849.0,0.0,0
61,Guanosine triphosphate,C10H16N5O14P3,[M-H]-,15.0,17.0,15,0.2,521.9834,521.9832,-0.4,S07377,16.99,16.91,16.99,0.08,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
62,Homocysteine,C4H9NO2S,[M-H]-,7.3,9.3,15,0.2,134.0281,134.0299,13.2,S07377,7.31,7.26,7.5,0.24,21242.0,21548.0,13124.5,13124.5,13124.5,13124.5,1432,0,1800,1538,0,1479,0.11625262758148273,8.601956108898175,18638.166666666668,13124.5,0.5059974951213874,1.4201048928848083,13124.5,15881.333333333334,0.0,2
63,Hypotaurine,C2H7NO2S,[M+H]+,10.0,12.0,15,0.2,110.027,110.027,-0.2,S07376,11.44,11.28,11.45,0.18,2636384.0,2429232.0,2362514.0,1540328.0,2063176.0,2134152.0,29289,0,43388,0,44811,0,0.05114843111018086,19.55094180397949,2476043.3333333335,1912552.0,0.3725375899465552,1.2946279804854108,68744.0,2194297.666666667,56.0,6
64,Hypoxanthine,C5H4N4O,[M+H]+,5.8,7.8,15,0.2,137.0458,137.0455,-2.1,S07377,7.77,7.54,7.77,0.23,43816.0,57253.0,30169.0,44214.0,50328.0,52494.0,3061,2247,2518,2414,2860,1864,0.5558030219954855,1.7991985657251834,43746.0,49012.0,-0.16398391167519402,0.8925569248347344,17482.0,46379.0,0.0,6
65,Inosine,C10H12N4O5,[M+H]+,6.4,8.4,15,0.2,269.08799999999997,269.0862,-6.9,S07370,7.84,7.64,7.97,0.33,22853.0,23764.0,23228.0,28221.0,20413.0,31689.0,0,0,0,0,0,0,0.35535913157113086,2.8140546032368774,23281.666666666668,26774.333333333332,-0.20165631280658403,0.8695516850715238,10000.0,25028.0,0.0,6
66,Inosinic acid,C10H13N4O8P,[M+H]+,11.4,13.4,15,0.2,349.0544,349.0515,-8.3,S07370,12.62,12.59,12.8,0.21,10999.0,10999.0,10999.0,10999.0,10999.0,10999.0,0,0,1998,0,0,0,NA,NA,10999.0,10999.0,0.0,1.0,10999.0,10999.0,0.0,0
67,L-Acetylcarnitine,C9H17NO4,[M+H]+,6.3,8.3,15,0.2,204.123,204.1224,-3.1,S07377,7.79,7.56,7.92,0.36,2663893.0,1919473.0,2235348.0,1904316.0,1605797.0,2116200.0,16322,15263,10794,10643,11906,10072,0.2033371944832679,4.917939398845633,2272904.6666666665,1875437.6666666667,0.27730986050612516,1.2119329301444834,47500.0,2074171.1666666665,12.0,6
68,L-Alanine,C3H7NO2,[M+H]+,10.6,11.2,15,0.2,90.055,90.0552,2.7,S07372,11.19,11.09,11.2,0.11,389069248.0,350296384.0,357618624.0,250473056.0,279412736.0,280434912.0,12573427,165430,20016368,252924,8759799,239814,0.003451880856261214,289.69713661644613,365661418.6666667,270106901.3333333,0.4369779126679627,1.3537655530519435,21013881.0,317884160.0,124668.0,6
69,L-Arginine,C6H14N4O2,[M+H]+,18.5,21.0,15,0.2,175.11900000000003,175.1185,-2.6,S07377,20.39,20.32,20.55,0.23,23442052.0,22575298.0,22550128.0,18952680.5,25134710.0,25447962.0,10102375,2756652,9274954,2318849,10815290,2617241,0.8872041998564251,1.1271362333066373,22855826.0,23178450.833333332,-0.020222186590960436,0.9860808284534116,18952680.5,23017138.416666664,26.0,5
70,L-Asparagine,C4H8N2O3,[M+H]+,10.3,12.3,15,0.2,133.0608,133.0605,-2.0,S07372,11.68,11.55,11.73,0.19,4237354.0,3482126.0,3291100.0,1049311.0,977174.0,1281758.0,46191,3074,113624,6053,27711,5342,0.0010653318392916914,938.6746580904513,3670193.3333333335,1102747.6666666667,1.734753353554181,3.3282258890897674,110997.5,2386470.5,7456.0,6
