,Metabolite,Formula,Ion Type,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,T1,T2,T3,T7,T8,T9,SQ437_B_0,SQ437_B_1,SQ437_B_2,SQ437_B_3,SQ437_B_4,SQ437_B_5,ttest_pval,1/pvalue,Tom plus Dox_Mean,SG1 plus Dox_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
129,Sarcosine,C3H7NO2,[M+H]+,11.2,12.0,15,0.2,90.055,90.0552,2.7,S07372,11.22,11.2,11.24,0.04,228505376.0,263486160.0,280076960.0,358244320.0,300557856.0,353729952.0,8515756,113419,13660977,190919,5661834,167371,0.02869458773248583,34.84977757209162,257356165.33333334,337510709.3333333,-0.39116693533795394,0.7625125906128285,14165138.0,297433437.3333333,13594.0,6
130,Succinic acid,C4H6O4,[M-H]-,11.3,13.3,15,0.2,117.0193,117.01799999999999,-11.4,S07376,12.48,12.42,12.49,0.08,2814051.0,3502688.0,3789070.0,4746066.0,4306395.0,4137576.0,292283,243417,280941,173409,348675,157831,0.039525526099711224,25.300105999279946,3368603.0,4396679.0,-0.3842637932076605,0.7661698750352255,758278.0,3882641.0,128.0,6
131,Taurine,C2H7NO3S,[M-H]-,10.2,12.2,15,0.2,124.0074,124.006,-11.2,S07372,11.47,11.3,11.52,0.22,26597956.0,31132536.0,35392836.0,35960448.0,30907222.0,31512308.0,91562,2173,75900,1418,166872,1708,0.5902481414700456,1.6942027085582088,31041109.333333332,32793326.0,-0.07922211488185693,0.9465678880310382,179816.5,31917217.666666664,57.0,6
132,Thymidine,C10H14N2O5,[M-H]-,3.5,5.5,15,0.2,241.083,241.0835,2.1,S07370,3.51,3.51,3.7,0.2,68129.0,12456.0,12456.0,54587.0,31618.0,12456.0,1755,1876,0,0,0,1281,0.9367969850164066,1.0674671417548238,31013.666666666668,32887.0,-0.08461330724715195,0.9430372690323431,12456.0,31950.333333333336,0.0,3
133,Uracil,C4H4N2O2,[M+H]+,5.4,7.4,15,0.2,113.0346,113.0343,-2.3,S07369,6.77,6.56,7.0,0.44,16478.5,16478.5,16478.5,16478.5,16478.5,16478.5,2544,1506,2183,2311,2455,1958,NA,NA,16478.5,16478.5,0.0,1.0,16478.5,16478.5,0.0,0
134,Ureidopropionic acid,C4H8N2O3,[M-H]-,10.4,12.4,15,0.2,131.0462,131.0449,-10.0,S07374,11.65,11.54,11.82,0.28,296121.0,274579.0,386288.0,897391.0,845766.0,897863.0,38495,2523,64270,1916,21145,2315,0.00012654350587339017,7902.420539861793,318996.0,880340.0,-1.464522487342555,0.3623554535747552,75332.0,599668.0,13078.0,6
135,Ureidosuccinic acid,C5H8N2O5,[M-H]-,12.8,14.8,15,0.2,175.03599999999997,175.035,-6.0,S07372,13.95,13.87,14.03,0.16,658394.0,843057.0,1003156.0,3650861.0,2490635.0,2198833.0,14284,0,24546,1349,22020,0,0.01284801042465982,77.83306262584055,834869.0,2780109.6666666665,-1.735520047936551,0.3003007435318199,41099.5,1807489.3333333333,468.0,6
136,Uric acid,C5H4N4O3,[M+H]+,8.8,10.8,15,0.2,169.0356,0.0,0.0,NA,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
137,Uridine,C9H12N2O6,[M-H]-,5.5,7.5,15,0.2,243.0623,243.0613,-4.0,S07366,6.88,6.66,7.1,0.44,45907.0,37312.0,24082.0,26271.0,27337.0,20382.0,2265,1591,2047,1322,1473,1250,0.17309925536770784,5.777032361437604,35767.0,24663.333333333332,0.5362613175746895,1.4502094877686174,14974.0,30215.166666666664,0.0,6
138,Uridine 5'-diphosphate,C9H14N2O12P2,[M+H]+,12.4,14.4,15,0.2,405.0095,405.0071,-5.9,S07376,13.6,13.55,13.83,0.28,51171.0,56700.0,73426.0,86239.0,63356.0,62119.0,2075,0,2180,0,5004,0,0.3809933978922568,2.6247173980762666,60432.333333333336,70571.33333333333,-0.22376162113557652,0.8563297656272142,14629.5,65501.83333333333,0.0,6
139,Uridine 5'-monophosphate,C9H13N2O9P,[M-H]-,11.2,13.2,15,0.2,323.0286,323.0275,-3.4,S07370,12.34,12.28,12.39,0.1,166377.5,177845.0,173190.0,236174.0,178236.0,183603.0,66498,13085,78034,18575,106136,30427,0.22579589240988976,4.428778527931274,172470.83333333334,199337.66666666666,-0.20886193897506364,0.865219485195138,166377.5,185904.25,1.0,5
140,Uridine diphosphate glucose,C15H24N2O17P2,[M-H]-,12.4,14.4,15,0.2,565.0478,565.047,-1.3,S07372,13.59,13.47,13.65,0.18,969502.0,1190931.0,1369651.0,1711551.0,1452924.0,1245430.0,25017,0,30719,0,42827,0,0.1741819441834052,5.741123195565254,1176694.6666666667,1469968.3333333333,-0.3210450634752113,0.800489806469754,59281.5,1323331.5,9.0,6
141,Uridine diphosphate-N-acetylglucosamine,C17H27N3O17P2,[M+H]+,11.2,13.2,15,0.2,608.0889,608.0865,-3.9,S07377,12.44,12.37,12.47,0.09,203585.0,230199.0,285910.0,399694.0,349622.0,286587.0,8492,0,11581,0,18553,0,0.06082860928790968,16.439632792965405,239898.0,345301.0,-0.5254333821657908,0.6947503772071323,29313.0,292599.5,7.0,6
142,Uridine triphosphate,C9H15N2O15P3,[M-H]-,15.0,18.0,15,0.2,482.9613,482.9603,-2.0,S07377,15.53,15.51,15.78,0.26,70299.5,70299.5,113853.0,254077.0,193150.0,163566.0,5773,0,31041,5882,63333,14570,0.017328001590238073,57.710059339062006,84817.33333333333,203597.66666666666,-1.2632899972229006,0.41659285551733566,70299.5,144207.5,20.0,4
143,Valerylcarnitine,C12H23NO4,[M+H]+,3.6,5.7,15,0.2,246.17,246.1702,0.9,S07376,5.16,4.91,5.4,0.5,19230.0,17791.0,21952.0,27244.0,20602.0,27373.0,3229,2902,2222,2089,3092,2048,0.10064510025429889,9.935903461502953,19657.666666666668,25073.0,-0.3510425395899523,0.7840173360454141,17791.0,22365.333333333336,0.0,5
144,Xanthine,C5H4N4O2,[M-H]-,7.5,9.4,15,0.2,151.0261,151.0251,-6.9,S07367,8.55,8.32,8.8,0.47,15435.5,34175.0,15435.5,15523.0,17620.0,15435.5,1826,1922,1893,1485,1448,2297,0.4319021753051391,2.315339114218398,21682.0,16192.833333333334,0.4211423978932492,1.3389874121267638,15435.5,18937.416666666668,0.0,3
145,Xanthosine,C10H12N4O6,[M-H]-,6.7,8.7,15,0.2,283.0684,283.0662,-7.8,S07373,7.63,7.63,7.63,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
146,Xanthylic acid,C10H13N4O9P,[M-H]-,11.0,13.0,15,0.2,363.0347,363.0346,-0.4,S07377,12.34,12.34,12.43,0.09,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
