Metabolite,SQ437_B_0,SQ437_B_1,SQ437_B_2,SQ437_B_3,SQ437_B_4,SQ437_B_5
Phosphocreatine,130181,16548,757102,75572,1074766,104537
Phosphoenolpyruvic acid,5922,2575,43831,11299,59758,14789
Phosphoribosyl pyrophosphate,0,0,0,0,0,0
Phosphorylcholine,193673248,6522238,216868608,10933922,257509584,13457748
Phosphoserine,2212,0,3613,0,1234,1538
Pipecolic acid,62140,49600,38110,43910,41408,38548
Propionylcarnitine,13877,13731,8938,10107,10217,8000
Pyruvic acid,99527,45448,100784,44454,85124,54323
Ribose 1-phosphate,0,0,2978,0,9236,1869
Saccharopine,1489,0,0,0,0,1309
S-Adenosylhomocysteine,1783,0,4509,0,1992,0
S-Adenosylmethionine,746075,19414,1116119,22121,917881,23666
Sarcosine,8515756,113419,13660977,190919,5661834,167371
Succinic acid,292283,243417,280941,173409,348675,157831
Taurine,91562,2173,75900,1418,166872,1708
Thymidine,1755,1876,0,0,0,1281
Uracil,2544,1506,2183,2311,2455,1958
Ureidopropionic acid,38495,2523,64270,1916,21145,2315
Ureidosuccinic acid,14284,0,24546,1349,22020,0
Uric acid,0,0,0,0,0,0
Uridine,2265,1591,2047,1322,1473,1250
Uridine 5'-diphosphate,2075,0,2180,0,5004,0
Uridine 5'-monophosphate,66498,13085,78034,18575,106136,30427
Uridine diphosphate glucose,25017,0,30719,0,42827,0
Uridine diphosphate-N-acetylglucosamine,8492,0,11581,0,18553,0
Uridine triphosphate,5773,0,31041,5882,63333,14570
Valerylcarnitine,3229,2902,2222,2089,3092,2048
Xanthine,1826,1922,1893,1485,1448,2297
Xanthosine,0,0,0,0,0,0
Xanthylic acid,0,0,0,0,0,0
