,Metabolite,Formula,Ion Type,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,T4,T5,T6,T7,T8,T9,SQ437_B_0,SQ437_B_1,SQ437_B_2,SQ437_B_3,SQ437_B_4,SQ437_B_5,ttest_pval,1/pvalue,Tom minus Dox_Mean,SG1 plus Dox_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
15,Adenosine monophosphate,C10H14N5O7P,[M+H]+,9.8,11.8,15,0.2,348.0704,348.0678,-7.4,S07373,10.97,10.81,11.02,0.21,492704.0,527928.0,510543.0,543283.0,823875.0,569126.0,132590,31211,178244,67383,319356,102659,0.2083529399308036,4.7995483065039135,510391.6666666667,645428.0,-0.33865139233714675,0.7907801748090673,425721.5,577909.8333333334,4.0,6
16,Adenosine triphosphate,C10H16N5O13P3,[M-H]-,12.5,14.5,15,0.2,505.9885,505.98800000000006,-0.9,S07372,14.02,14.01,14.27,0.26,315611.0,504461.0,917507.0,1837310.0,1537934.0,1387639.0,20845,2030,188101,32227,306229,61790,0.01039276775799081,96.22075882828405,579193.0,1587627.6666666667,-1.4547565371370954,0.36481664571647043,315611.0,1083410.3333333335,286.0,5
17,Adenylsuccinic acid,C14H18N5O11P,[M-H]-,14.5,16.5,15,0.2,462.0668,462.0672,0.9,S07377,15.75,15.7,15.87,0.17,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
18,ADP,C10H15N5O10P2,[M-H]-,11.1,13.1,15,0.2,426.0221,426.0215,-1.5,S07377,12.54,12.44,12.61,0.18,526830.0,526830.0,530238.0,908056.0,712704.0,574482.0,42121,24985,257624,98414,450406,160110,0.10297541397723682,9.71105588583557,527966.0,731747.3333333334,-0.4709005573337592,0.7215140745302795,526830.0,629856.6666666667,8.0,4
19,Allantoin,C4H6N4O3,[M-H]-,9.3,11.3,15,0.2,157.0367,157.0356,-7.1,S07370,10.31,10.11,10.41,0.3,10000.0,12758.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0.37390096630005853,2.6745049896380637,10919.333333333334,10000.0,0.1268847769487917,1.0919333333333334,10000.0,10459.666666666668,0.0,1
20,Aminoadipic acid,C6H11NO4,[M-H]-,5.9,7.9,15,0.2,160.0615,160.0603,-7.7,S07377,6.92,6.77,7.08,0.31,688336.0,621874.0,730578.0,957402.0,768547.0,797128.0,1763,1859,4351,2345,2424,1782,0.07366627721678051,13.574732398343716,680262.6666666666,841025.6666666666,-0.3060579146608566,0.8088488777789976,17262.0,760644.1666666666,13.0,6
21,Argininosuccinic acid,C10H18N4O6,[M-H]-,12.5,14.5,15,0.2,289.1154,289.1144,-3.3,S07367,13.83,13.69,14.02,0.33,12267.0,12267.0,12267.0,12267.0,12267.0,12267.0,1540,0,1832,0,1162,0,NA,NA,12267.0,12267.0,0.0,1.0,12267.0,12267.0,0.0,0
22,Beta-Alanine,C3H7NO2,[M+H]+,9.8,10.5,15,0.2,90.055,90.0553,3.8,S07377,10.48,10.24,10.49,0.25,178381.0,178381.0,178381.0,225131.0,267484.0,236540.0,39023,27089,90703,46847,74594,58506,0.00692761598217804,144.34980266986454,178381.0,243051.66666666666,-0.44630107026570376,0.7339221427542841,178381.0,210716.3333333333,41.0,3
23,Betaine,C5H11NO2,[M+H]+,7.0,8.2,15,0.2,118.0863,118.0861,-1.3,S07376,8.04,8.0,8.1,0.1,4315232.0,4630938.0,4650396.0,4718820.0,4132714.0,4073310.0,383751,385142,413825,385400,437101,433375,0.3907452301241624,2.5592123023030684,4532188.666666667,4308281.333333333,0.07309545734345446,1.0519713816275076,1229297.0,4420235.0,12.0,6
24,Butyrylcarnitine,C11H21NO4,[M+H]+,4.2,6.2,15,0.2,232.1543,232.1536,-3.2,S07377,5.86,5.65,5.97,0.31,1232902.0,1176140.0,1418194.0,1826202.0,1352688.0,1480312.0,3318,2851,5701,2450,2885,5608,0.15650657976115154,6.389507722462047,1275745.3333333333,1553067.3333333333,-0.2837800148520073,0.8214359454687734,21406.5,1414406.3333333333,11.0,6
25,Carbamoyl phosphate,CH4NO5P,[M-H]-,27.0,30.0,15,0.2,139.9754,139.9742,-8.8,S07377,27.87,27.84,28.12,0.28,5833046.0,6249730.0,6226578.0,8476653.0,7960298.0,8351284.0,632114,32535,1166884,41117,952212,28699,0.0004684270825792515,2134.803979509049,6103118.0,8262745.0,-0.43707466054607585,0.7386308061062032,1436780.5,7182931.5,20760.0,6
26,Carnosine,C9H14N4O3,[M+H]+,10.6,12.6,15,0.2,227.1139,227.1108,-13.5,S07375,10.67,10.67,10.67,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
