,Metabolite,Formula,Ion Type,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,T10,T11,T12,T7,T8,T9,SQ437_B_0,SQ437_B_1,SQ437_B_2,SQ437_B_3,SQ437_B_4,SQ437_B_5,ttest_pval,1/pvalue,SG1 minus Dox_Mean,SG1 plus Dox_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
15,Adenosine monophosphate,C10H14N5O7P,[M+H]+,9.8,11.8,15,0.2,348.0704,348.0678,-7.4,S07373,10.97,10.81,11.02,0.21,482972.0,685039.0,668916.0,543283.0,823875.0,569126.0,132590,31211,178244,67383,319356,102659,0.7794067525240029,1.2830271187177116,612309.0,645428.0,-0.07599627762921489,0.9486867628922203,425721.5,628868.5,1.0,6
16,Adenosine triphosphate,C10H16N5O13P3,[M-H]-,12.5,14.5,15,0.2,505.9885,505.98800000000006,-0.9,S07372,14.02,14.01,14.27,0.26,693843.0,1082941.0,1832475.0,1837310.0,1537934.0,1387639.0,20845,2030,188101,32227,306229,61790,0.34482247711595854,2.9000429680914195,1203086.3333333333,1587627.6666666667,-0.40013243482464084,0.7577887174637713,315611.0,1395357.0,5.0,6
17,Adenylsuccinic acid,C14H18N5O11P,[M-H]-,14.5,16.5,15,0.2,462.0668,462.0672,0.9,S07377,15.75,15.7,15.87,0.17,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
18,ADP,C10H15N5O10P2,[M-H]-,11.1,13.1,15,0.2,426.0221,426.0215,-1.5,S07377,12.54,12.44,12.61,0.18,526830.0,731265.0,1076431.0,908056.0,712704.0,574482.0,42121,24985,257624,98414,450406,160110,0.8164417714597403,1.2248270911127814,778175.3333333334,731747.3333333334,0.08874966725851174,1.0634481300922631,526830.0,754961.3333333334,1.0,5
19,Allantoin,C4H6N4O3,[M-H]-,9.3,11.3,15,0.2,157.0367,157.0356,-7.1,S07370,10.31,10.11,10.41,0.3,10000.0,10000.0,10816.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0.373900966300059,2.67450498963806,10272.0,10000.0,0.038717107572853585,1.0272,10000.0,10136.0,0.0,1
20,Aminoadipic acid,C6H11NO4,[M-H]-,5.9,7.9,15,0.2,160.0615,160.0603,-7.7,S07377,6.92,6.77,7.08,0.31,1173831.0,1305643.0,1393893.0,957402.0,768547.0,797128.0,1763,1859,4351,2345,2424,1782,0.006594105858708954,151.65058332803105,1291122.3333333333,841025.6666666666,0.6184039670560904,1.5351758983178079,17262.0,1066074.0,248.0,6
21,Argininosuccinic acid,C10H18N4O6,[M-H]-,12.5,14.5,15,0.2,289.1154,289.1144,-3.3,S07367,13.83,13.69,14.02,0.33,12267.0,12267.0,12267.0,12267.0,12267.0,12267.0,1540,0,1832,0,1162,0,NA,NA,12267.0,12267.0,0.0,1.0,12267.0,12267.0,0.0,0
22,Beta-Alanine,C3H7NO2,[M+H]+,9.8,10.5,15,0.2,90.055,90.0553,3.8,S07377,10.48,10.24,10.49,0.25,236384.0,198939.0,274170.0,225131.0,267484.0,236540.0,39023,27089,90703,46847,74594,58506,0.8071515188766843,1.2389247577601088,236497.66666666666,243051.66666666666,-0.03943707736795256,0.9730345399812111,178381.0,239774.66666666666,0.0,6
23,Betaine,C5H11NO2,[M+H]+,7.0,8.2,15,0.2,118.0863,118.0861,-1.3,S07376,8.04,8.0,8.1,0.1,4489595.0,4825078.0,4824246.0,4718820.0,4132714.0,4073310.0,383751,385142,413825,385400,437101,433375,0.15921838561189494,6.280681694873884,4712973.0,4308281.333333333,0.12952495456516316,1.0939334354828578,1229297.0,4510627.166666666,31.0,6
24,Butyrylcarnitine,C11H21NO4,[M+H]+,4.2,6.2,15,0.2,232.1543,232.1536,-3.2,S07377,5.86,5.65,5.97,0.31,2409055.0,2814084.0,3011974.0,1826202.0,1352688.0,1480312.0,3318,2851,5701,2450,2885,5608,0.006285055747150241,159.10757839394157,2745037.6666666665,1553067.3333333333,0.8217055664219308,1.7674943048187222,21406.5,2149052.5,604.0,6
25,Carbamoyl phosphate,CH4NO5P,[M-H]-,27.0,30.0,15,0.2,139.9754,139.9742,-8.8,S07377,27.87,27.84,28.12,0.28,8242906.0,8334318.0,8563056.0,8476653.0,7960298.0,8351284.0,632114,32535,1166884,41117,952212,28699,0.5548717375364391,1.8022183008272767,8380093.333333333,8262745.0,0.02034516719710374,1.0142021003108934,1436780.5,8321419.166666666,15.0,6
26,Carnosine,C9H14N4O3,[M+H]+,10.6,12.6,15,0.2,227.1139,227.1108,-13.5,S07375,10.67,10.67,10.67,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
27,CDP,C9H15N3O11P2,[M+H]+,13.0,15.0,15,0.2,404.0255,404.0258,0.8,S07377,14.44,14.34,14.66,0.32,31651.5,31651.5,31651.5,31651.5,31651.5,31651.5,2528,1427,11957,5467,14305,7619,NA,NA,31651.5,31651.5,0.0,1.0,31651.5,31651.5,0.0,0
28,Choline,C5H14NO,[Cat]+,11.0,15.0,15,0.2,104.10700000000001,104.1071,1.1,S07376,11.01,11.0,11.15,0.15,2276984.0,2875430.0,2604378.0,1610363.0,1142117.0,1749697.0,84213,19853,105521,17292,320653,15686,0.012661747792981364,78.9780381310642,2585597.3333333335,1500725.6666666667,0.784837339521897,1.722898055762801,291609.0,2043161.5,278.0,6
29,cis-Aconitic acid,C6H6O6,[M-H]-,14.1,16.1,15,0.2,173.0092,173.0081,-6.1,S07377,15.25,15.12,15.28,0.16,2551038.0,3516876.0,4647682.0,3227532.0,2875767.0,2384757.0,101856,32712,493736,87525,777404,103227,0.3191983385718827,3.1328483865989876,3571865.3333333335,2829352.0,0.3362060151632638,1.2624322930951446,808230.0,3200608.666666667,13.0,6
30,Citric acid,C6H8O7,[M-H]-,14.2,16.2,15,0.2,191.0197,191.0188,-4.9,S07377,15.51,15.47,15.58,0.11,6483171.0,8857884.0,13614272.0,10219116.0,8156070.0,7031892.0,1971576,958014,1945152,776307,2055455,717657,0.6334528787844915,1.578649388915655,9651775.666666666,8469026.0,0.18859832520956832,1.1396559258014636,4222080.5,9060400.833333332,16.0,6
31,Citrulline,C6H13N3O3,[M+H]+,10.9,12.9,15,0.2,176.10299999999998,176.1026,-2.1,S07377,12.31,12.21,12.36,0.15,138369.0,138369.0,2219632.0,209622.0,252183.0,218097.0,26245,27566,37109,27048,113805,24965,0.4321226963932633,2.3141575491094475,832123.3333333334,226634.0,1.8764330607172246,3.6716615041579526,138369.0,529378.6666666667,4.0,4
32,Creatine,C4H9N3O2,[M+H]+,10.0,11.5,15,0.2,132.0768,132.0764,-2.7,S07376,11.12,11.02,11.12,0.1,505485984.0,569474752.0,568118976.0,475977472.0,436667424.0,420509664.0,7687539,143192,14419734,695502,22296378,879882,0.018167790730851875,55.042465801955586,547693237.3333334,444384853.3333333,0.30155842281026624,1.2324750342525927,23071113.5,496039045.3333334,33651.0,6
33,Creatinine,C4H7N3O,[M+H]+,5.2,7.2,15,0.2,114.0662,114.0661,-0.8,S07377,6.7,6.59,6.72,0.12,5055950.0,7109996.0,7234703.0,4621546.0,3659462.0,3592939.0,83253,39894,289210,82828,461983,125217,0.03247045047395558,30.797232111149675,6466883.0,3957982.3333333335,0.7083053362730369,1.633883745649193,551192.5,5212432.666666667,262.0,6
34,Cyclic AMP,C10H12N5O6P,[M-H]-,5.8,7.8,15,0.2,328.0452,328.0435,-5.3,S07372,6.95,6.81,7.01,0.2,19952.0,24411.0,25621.0,29634.0,27878.0,20443.0,0,0,0,1494,2096,2269,0.4661859364616694,2.145066853775032,23328.0,25985.0,-0.1556164342283278,0.897748701173754,12929.5,24656.5,0.0,6
35,Cytidine,C9H13N3O5,[M+H]+,7.1,9.1,15,0.2,244.0928,244.0928,0.0,S07377,8.56,8.42,8.74,0.32,76044.0,92407.0,95930.0,33427.0,35297.0,32547.0,13337,4179,2117,3018,3077,3107,0.0009207386536087324,1086.0845214661203,88127.0,33757.0,1.3843973972673091,2.6106289065971504,24417.5,60942.0,173.0,6
36,Cytidine monophosphate,C9H14N3O8P,[M+H]+,11.8,13.8,15,0.2,324.0591,324.0568,-7.2,S07377,12.55,12.49,12.58,0.09,57199.0,71906.0,87406.0,66074.0,53698.0,63116.0,2421,0,3386,0,4464,0,0.3028394452440844,3.302079751183053,72170.33333333333,60962.666666666664,0.24347990668868938,1.1838447574471807,15135.5,66566.5,0.0,6
37,Cytidine triphosphate,C9H16N3O14P3,[M-H]-,15.0,20.0,15,0.2,481.9772,481.9758,-3.0,S07377,16.01,16.01,16.26,0.25,19410.5,25898.0,45674.0,40793.0,25825.0,24262.0,0,0,6347,0,10475,1999,0.9973011492325802,1.0027061542739588,30327.5,30293.333333333332,0.0016262424342479485,1.001127860915493,19410.5,30310.416666666664,0.0,5
38,Cytosine,C4H5N3O,[M+H]+,9.0,11.0,15,0.2,112.0505,112.0506,0.5,S07372,9.46,9.3,9.69,0.39,63704.0,63704.0,63704.0,63704.0,63704.0,63704.0,15031,20593,21890,12642,21568,15684,NA,NA,63704.0,63704.0,0.0,1.0,63704.0,63704.0,0.0,0
39,D-2-Hydroxyglutaric acid,C5H8O5,[M-H]-,11.6,13.6,15,0.2,147.0299,147.0287,-8.2,S07375,12.49,12.39,12.51,0.12,11284824.0,10853773.0,10390342.0,5961808.0,5950060.0,6092754.0,120866,31243,146370,26647,440326,31345,5.0689998153648306e-05,19727.757672605618,10842979.666666666,6001540.666666667,0.8533564555750119,1.8066993575316381,408398.5,8422260.166666666,300187.0,6
40,D-Glucose,C6H12O6,[M-H]-,9.0,11.0,15,0.2,179.0561,179.055,-6.2,S07371,11.02,10.79,11.03,0.24,1922864.0,2256011.0,2971726.0,2492313.0,2135621.0,1957747.0,80552,14368,70116,13938,150197,13168,0.6162267495919614,1.6227792783454411,2383533.6666666665,2195227.0,0.11873187213486742,1.08578004309653,181169.5,2289380.333333333,4.0,6
41,D-Glyceraldehyde 3-phosphate,C3H7O6P,[M-H]-,13.0,14.0,15,0.2,168.9908,168.9898,-5.6,S07377,13.46,13.36,13.5,0.14,310232.0,379480.0,553096.0,392539.0,312391.0,297396.0,22965,5762,87834,30998,145307,32583,0.36238672600443605,2.7594829728607633,414269.3333333333,334108.6666666667,0.3102516212652224,1.2399239369227175,172724.5,374189.0,1.0,6
42,Dihydrofolic acid,C19H21N7O6,[M+H]+,13.0,16.0,15,0.2,444.1626,444.162,-1.4,S07371,14.95,14.75,15.2,0.45,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
43,Dihydroxyacetone phosphate,C3H7O6P,[M-H]-,12.0,13.0,15,0.2,168.9908,168.9897,-6.2,S07377,12.56,12.49,12.56,0.07,1791602.0,2494593.0,2730365.0,1914191.0,1652498.0,1600218.0,26406,2347,96241,9628,144349,14093,0.10754384921548585,9.298532712887166,2338853.3333333335,1722302.3333333333,0.4414629788914617,1.3579807029621398,156532.0,2030577.8333333335,26.0,6
44,D-Ribose 5-phosphate,C5H11O8P,[M-H]-,12.4,13.8,15,0.2,229.0119,229.0111,-3.4,S07377,12.88,12.72,12.95,0.23,212883.0,291000.0,344837.0,234026.0,192348.0,158084.0,8960,0,25078,6862,31708,7063,0.11677531504479291,8.56345366840944,282906.6666666667,194819.33333333334,0.5381893204943117,1.4521488284872481,49835.5,238863.0,3.0,6
45,D-Sedoheptulose 7-phosphate,C7H15O10P,[M-H]-,12.2,14.2,15,0.2,289.033,289.0322,-2.8,S07372,13.49,13.34,13.52,0.19,155211.0,233039.0,219087.0,235320.0,202761.0,163631.0,14699,2313,32436,8124,29695,8868,0.955639916097873,1.046419245528442,202445.66666666666,200570.66666666666,0.013424134433908629,1.0093483261095009,58067.5,201508.16666666666,0.0,6
46,dTDP,C10H16N2O11P2,[M-H]-,11.0,13.0,15,0.2,401.0157,401.0153,-0.9,S07372,12.03,11.91,12.27,0.36,14491.5,14491.5,14491.5,14491.5,14491.5,14491.5,0,0,3171,1890,2636,1286,NA,NA,14491.5,14491.5,0.0,1.0,14491.5,14491.5,0.0,0
47,FAD,C27H33N9O15P2,[M+H]+,7.6,9.6,15,0.2,786.1644,786.1618,-3.3,S07376,8.94,8.74,9.03,0.28,21966.0,33863.0,31756.0,24386.0,28765.0,19786.0,0,0,0,0,2140,0,0.337916170429276,2.9593138402629195,29195.0,24312.333333333332,0.26403295100576174,1.2008308540247064,11070.0,26753.666666666664,0.0,6
48,Folic acid,C19H19N7O6,[M+H]+,13.0,16.0,15,0.2,442.147,442.1427,-9.6,S07377,14.15,14.1,14.19,0.09,14529.0,20255.0,32408.0,16898.0,13863.0,13351.5,1468,0,0,0,5235,0,0.22639131989679892,4.417130482104405,22397.333333333332,14704.166666666666,0.6071019483654158,1.5231963729101727,13351.5,18550.75,0.0,5
49,"Fructose 1,6-bisphosphate",C6H14O12P2,[M-H]-,14.1,16.1,15,0.2,338.9888,338.98800000000006,-2.3,S07377,15.88,15.65,16.09,0.44,107896.0,164016.0,342331.0,217003.0,180852.0,175750.0,9799,1243,42512,2408,71315,10921,0.859650985318311,1.1632627858033813,204747.66666666666,191201.66666666666,0.09875191174603246,1.0708466627731628,79099.0,197974.66666666666,0.0,6
50,Fructose 6-phosphate,C6H13O9P,[M-H]-,12.6,13.5,15,0.2,259.0224,259.0219,-2.1,S07377,13.11,13.03,13.15,0.11,823360.0,1114590.0,1321259.0,1204017.0,993032.0,983303.0,56547,14914,150921,31135,173843,35610,0.8785064189789338,1.1382956099083206,1086403.0,1060117.3333333333,0.0353354180717475,1.024795054132373,241485.0,1073260.1666666665,1.0,6
51,Fumaric acid,C4H4O4,[M-H]-,12.2,14.2,15,0.2,115.0037,115.0023,-12.0,S07372,13.29,13.22,13.32,0.1,5179850.0,6072126.0,6601622.0,6962908.0,5884811.0,6007429.0,221901,52502,409013,62272,415041,54157,0.5677360066196443,1.7613820302751235,5951199.333333333,6285049.333333333,-0.07874362768290061,0.946881880746839,617443.0,6118124.333333333,11.0,6
52,Glucose 6-phosphate,C6H13O9P,[M-H]-,13.6,14.4,15,0.2,259.0224,259.022,-1.7,S07372,14.02,13.93,14.05,0.12,1073545.0,1207325.0,1430320.0,1638432.0,1391871.0,1312582.0,210873,61960,281482,55783,287176,55669,0.21491986825285275,4.652896952381816,1237063.3333333333,1447628.3333333333,-0.22677188671165957,0.8545448474919322,486471.5,1342345.8333333333,7.0,6
53,Glutathione,C10H17N3O6S,[M+H]+,10.0,13.0,15,0.2,308.0911,308.0898,-4.2,S07376,11.49,11.42,11.56,0.14,72834608.0,88092040.0,84400256.0,25024554.0,18519450.0,25262016.0,78501,25380,255689,111139,742720,317138,0.0003221029327897655,3104.597624550949,81775634.66666667,22935340.0,1.8340987567131692,3.5654860432270317,775283.5,52355487.333333336,579544.0,6
54,Glycerol 3-phosphate,C3H9O6P,[M-H]-,11.5,13.0,15,0.2,171.0064,171.0053,-6.4,S07377,12.16,12.08,12.2,0.12,7610448.0,9646653.0,10459811.0,9144658.0,7968400.0,7068286.0,218336,40578,1100034,155288,1346744,166631,0.3200410254361201,3.1245994123325262,9238970.666666666,8060448.0,0.19687210085186185,1.1462105662944126,1523805.5,8649709.333333332,31.0,6
