,Metabolite,Formula,Ion Type,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,T10,T11,T12,T7,T8,T9,SQ437_B_0,SQ437_B_1,SQ437_B_2,SQ437_B_3,SQ437_B_4,SQ437_B_5,ttest_pval,1/pvalue,SG1 minus Dox_Mean,SG1 plus Dox_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
70,L-Asparagine,C4H8N2O3,[M+H]+,10.3,12.3,15,0.2,133.0608,133.0605,-2.0,S07372,11.68,11.55,11.73,0.19,341851.0,409216.0,430587.0,4237354.0,3482126.0,3291100.0,46191,3074,113624,6053,27711,5342,0.00035042484214021564,2853.6789626343602,393884.6666666667,3670193.3333333335,-3.2200109001249775,0.10731986870809712,110997.5,2032039.0,54033.0,6
71,L-Aspartic acid,C4H7NO4,[M-H]-,10.8,12.8,15,0.2,132.0302,132.0289,-10.1,S07368,12.04,11.89,12.04,0.15,16921226.0,16049938.0,16952522.0,32607638.0,29468054.0,31588108.0,2050897,58553,2155555,48794,1441148,30860,0.00011454935825798735,8729.861216226163,16641228.666666666,31221266.666666668,-0.9077671140932743,0.5330094017112267,2902903.5,23931247.666666668,391956.0,6
72,L-Carnitine,C7H16NO3,[Cat]+,8.3,10.3,15,0.2,162.1125,162.1119,-3.5,S07377,9.85,9.81,9.94,0.13,6762066.0,7732668.0,8292106.0,4300740.0,3418680.0,3513230.0,18933,10879,19847,12473,29672,9162,0.0018673834527150098,535.5086543934449,7595613.333333333,3744216.6666666665,1.0205025428901235,2.0286254801849966,60483.0,5669915.0,6159.0,6
73,L-Cystathionine,C7H14N2O4S,[M+H]+,12.2,14.2,15,0.2,223.0747,223.074,-3.2,S07372,13.54,13.48,13.58,0.1,313716.0,345737.0,569491.0,2507367.0,1892499.0,1914338.0,27810,2958,74298,9223,25808,6098,0.0014466372393329527,691.2583008447245,409648.0,2104734.6666666665,-2.3611816950631552,0.19463165903413956,83097.5,1257191.3333333333,4465.0,6
74,L-Cysteine,C3H7NO2S,[M+H]+,13.0,17.0,15,0.2,122.027,122.0272,1.4,S07377,13.93,13.68,14.15,0.47,12307.0,12307.0,12307.0,12307.0,12307.0,12307.0,0,0,1637,1488,1489,0,NA,NA,12307.0,12307.0,0.0,1.0,12307.0,12307.0,0.0,0
75,L-Cystine,C6H12N2O4S2,[M-H]-,11.7,13.7,15,0.2,239.0166,239.0155,-4.5,S07369,12.87,12.76,12.96,0.2,12258.0,12258.0,12258.0,12258.0,12258.0,12258.0,2179,1333,1004,0,0,0,NA,NA,12258.0,12258.0,0.0,1.0,12258.0,12258.0,0.0,0
76,L-Glutamic acid,C5H9NO4,[M+H]+,10.0,13.0,15,0.2,148.0604,148.06,-2.9,S07372,11.76,11.63,11.76,0.13,206534608.0,238447920.0,235452352.0,363826400.0,344263936.0,330420672.0,24334398,515793,28711926,911899,20163582,702864,0.001053203806079722,949.4838456027239,226811626.66666666,346170336.0,-0.6099875060474262,0.6552023760541592,37680231.0,286490981.3333333,415167.0,6
77,L-Glutamine,C5H10N2O3,[M+H]+,10.1,12.1,15,0.2,147.0764,147.0759,-3.5,S07372,11.52,11.39,11.53,0.13,478204192.0,488798880.0,525671616.0,835338304.0,774815360.0,803488832.0,66526572,362584,65308548,681199,33077860,468432,0.00017116888107427698,5842.183425654692,497558229.3333333,804547498.6666666,-0.6933122225097237,0.6184323861026352,83222597.5,651052864.0,6150341.0,6
78,L-Histidine,C6H9N3O2,[M+H]+,9.9,11.9,15,0.2,156.0768,156.0763,-2.9,S07368,11.09,10.89,11.23,0.33,18971692.0,20938256.0,28800668.0,49552484.0,50148708.0,49502980.0,5855880,161179,7290897,198567,6363190,178183,0.0008753945118852325,1142.342094247792,22903538.666666668,49734724.0,-1.1186829541741505,0.4605140397816758,10033948.0,36319131.333333336,90093.0,6
79,L-Isoleucine,C6H13NO2,[M+H]+,6.0,7.5,15,0.2,132.1019,132.1016,-2.3,S07372,7.44,7.34,7.45,0.11,72785896.0,86594416.0,118888128.0,136682304.0,119806728.0,107783200.0,710669,59987,785074,72298,667359,67452,0.1481673658741051,6.7491245059298715,92756146.66666667,121424077.33333333,-0.3885397307684273,0.7639024211980012,1191419.5,107090112.0,946.0,6
80,L-Kynurenine,C10H12N2O3,[M+H]+,6.0,8.0,15,0.2,209.0921,209.092,-0.3,S07373,7.57,7.35,7.78,0.43,32277.0,47025.0,45297.0,71030.0,90183.0,86948.0,3045,2862,0,0,2742,0,0.005435879793820152,183.96286119808286,41533.0,82720.33333333333,-0.993983915339386,0.5020893694013161,14324.5,62126.666666666664,23.0,6
81,L-Lactic acid,C3H6O3,[M-H]-,6.2,8.2,15,0.2,89.0244,89.0231,-14.8,S07377,7.14,7.01,7.38,0.38,316057504.0,236070208.0,395542144.0,173016112.0,295789664.0,165660720.0,1659393,1391950,1936330,1446236,2208754,1492008,0.16990978931591186,5.885476075429111,315889952.0,211488832.0,0.5788405662046586,1.4936483832867355,5077335.5,263689392.0,2318.0,6
82,L-Leucine,C6H13NO2,[M+H]+,7.5,9.0,15,0.2,132.1019,132.1016,-2.3,S07372,8.0,7.9,8.02,0.13,172246336.0,195013904.0,238851616.0,305454080.0,265219440.0,262362464.0,1125797,80604,1358586,100706,1189948,100401,0.03441784255568379,29.054697382095476,202037285.33333334,277678661.3333333,-0.458794752885981,0.7275938466542882,1988021.0,239857973.3333333,9578.0,6
83,L-Lysine,C6H14N2O2,[M+H]+,18.0,20.0,15,0.2,147.1128,147.1124,-2.7,S07377,19.34,19.3,19.46,0.15,15386250.0,16705621.0,22644988.0,21231570.0,19511376.0,18761220.0,3190135,590053,4491736,610717,5004466,628951,0.5358422327100782,1.8662209489207209,18245619.666666668,19834722.0,-0.12047802779347233,0.9198828028276206,7268029.0,19040170.833333336,39.0,6
84,L-Malic acid,C4H6O5,[M-H]-,12.2,14.2,15,0.2,133.0142,133.0129,-10.1,S07372,13.29,13.22,13.31,0.09,92442880.0,106503664.0,116092320.0,122430416.0,110561320.0,112903920.0,12388034,3686052,16458926,4001143,16590238,3810155,0.25604817586087647,3.905515033012182,105012954.66666667,115298552.0,-0.13480708130825692,0.9107916174581852,28477274.0,110155753.33333334,472.0,6
85,L-Methionine,C5H11NO2S,[M+H]+,6.8,8.8,15,0.2,150.0583,150.058,-2.2,S07372,8.2,8.11,8.23,0.12,58831972.0,68457600.0,83741976.0,148775168.0,124160240.0,121812888.0,348408,3700,374887,9436,230527,10014,0.00556106665790708,179.82161723922803,70343849.33333333,131582765.33333333,-0.90347434880594,0.5345977427601106,498486.0,100963307.33333333,33961.0,6
86,L-Phenylalanine,C9H11NO2,[M+H]+,5.6,7.6,15,0.2,166.0863,166.0857,-3.3,S07372,7.01,6.93,7.07,0.14,108729296.0,128312280.0,155710832.0,197257680.0,181240448.0,179100800.0,180917,19836,253574,20417,263594,22892,0.020515586862835312,48.74342648279461,130917469.33333333,185866309.33333334,-0.5056076667478324,0.7043636353619388,390615.0,158391889.33333334,10961.0,6
87,L-Proline,C5H9NO2,[M+H]+,7.9,9.9,15,0.2,116.0706,116.0705,-0.9,S07377,9.37,9.29,9.42,0.12,908398592.0,1009704512.0,1013778688.0,984932864.0,951235840.0,900499456.0,5993912,861220,20363586,557996,24822176,743682,0.494895068154547,2.0206303605509315,977293930.6666666,945556053.3333334,0.0476295471922454,1.033565305009099,26681286.0,961424992.0,2008.0,6
88,L-Serine,C3H7NO3,[M+H]+,10.8,12.8,15,0.2,106.0499,106.0499,0.3,S07372,12.16,12.05,12.18,0.13,12389244.0,12678024.0,14598318.0,18979634.0,16636344.0,17620638.0,1048373,34931,1027462,39067,809711,41699,0.009585021394730605,104.32944892014045,13221862.0,17745538.666666668,-0.42453100604422184,0.7450809044662042,1510621.5,15483700.333333334,2168.0,6
89,L-Threonine,C4H9NO3,[M-H]-,9.5,11.5,15,0.2,118.051,118.0496,-11.6,S07372,10.96,10.81,10.99,0.17,11941145.0,11522207.0,11926950.0,32047378.0,27492600.0,27346590.0,1628055,21283,1965762,34862,1071751,21403,0.00037741298075837017,2649.617397871714,11796767.333333334,28962189.333333332,-1.295779091713742,0.40731614580518366,2381558.0,20379478.333333332,132570.0,6
90,L-Tryptophan,C11H12N2O2,[M+H]+,6.8,8.8,15,0.2,205.0972,205.0965,-3.2,S07372,8.25,8.14,8.4,0.26,12913110.0,15109340.0,19527720.0,24717976.0,20648472.0,19930736.0,28308,3181,31088,3515,33000,2328,0.07323439810335171,13.654785536555575,15850056.666666666,21765728.0,-0.4575702766105153,0.7282116484533238,60710.0,18807892.333333332,353.0,6
91,L-Tyrosine,C9H11NO3,[M+H]+,8.2,10.2,15,0.2,182.0812,182.0807,-2.6,S07368,9.61,9.44,9.62,0.18,30703378.0,34126464.0,41386860.0,57168860.0,49665884.0,50089820.0,399216,6595,584645,6569,468180,8353,0.013192938868238436,75.79812276758645,35405567.333333336,52308188.0,-0.5630605605891801,0.6768647259074112,746779.0,43856877.66666667,4911.0,6
92,L-Valine,C5H11NO2,[M+H]+,8.3,9.2,15,0.2,118.0863,118.0862,-0.5,S07372,9.11,9.02,9.15,0.13,122912560.0,133112544.0,159471696.0,200014288.0,182021104.0,176544096.0,1360599,88297,1661692,98481,1553454,106888,0.02139146376069399,46.747619105779116,138498933.33333334,186193162.66666666,-0.42692523040198643,0.7438454310015767,2444705.5,162346048.0,10203.0,6
93,N6-Acetyl-L-lysine,C8H16N2O3,[M+H]+,1.9,3.9,15,0.2,189.1234,189.1214,-10.4,S07368,3.21,3.15,3.23,0.09,772773.0,390792.0,517586.0,664946.0,2164901.0,728445.0,110938,113421,110284,119871,131434,136152,0.2809902458687869,3.5588423964971607,560383.6666666666,1186097.3333333333,-1.081735593258086,0.47246010164427205,371050.0,873240.5,7.0,6
94,N-Acetylglutamic acid,C7H11NO5,[M+H]+,10.3,12.3,15,0.2,190.071,190.0704,-3.2,S07374,11.73,11.56,11.85,0.29,417142.0,240276.0,278064.0,460952.0,568663.0,782312.0,71077,9551,146248,10547,43498,6401,0.05475143852637828,18.264360296546684,311827.3333333333,603975.6666666666,-0.9537430330455307,0.5162912192378611,153661.0,457901.5,16.0,6
95,N-Acetylglutamine,C7H12N2O4,[M-H]-,6.8,8.8,15,0.2,187.0724,187.0713,-6.0,S07372,8.03,7.86,8.08,0.22,130938.0,184768.0,164710.0,368879.0,296457.0,249674.0,0,0,0,0,1115,1108,0.019013492553568906,52.594229975507375,160138.66666666666,305003.3333333333,-0.9295033104328346,0.5250390706112501,11111.5,232571.0,23.0,6
96,N-Acetyl-L-alanine,C5H9NO3,[M+H]+,6.0,7.0,15,0.2,132.0655,132.0652,-2.4,S07377,6.5,6.3,6.74,0.44,5521002.0,6415137.0,6683578.0,6484732.0,5512306.0,5513290.0,18990,12468,15557,12736,14263,12436,0.48231365591098113,2.0733395949804216,6206572.333333333,5836776.0,0.08862503732231805,1.0633562660847928,53225.0,6021674.166666666,13.0,6
97,N-Acetyl-L-methionine,C7H13NO3S,[M+H]+,3.0,5.0,15,0.2,192.0689,192.0683,-3.1,S07372,4.17,4.1,4.35,0.26,1646464.0,1846171.0,2051593.0,2666913.0,2251381.0,2156003.0,0,0,0,0,1074,0,0.05961730451808719,16.77365335590796,1848076.0,2358099.0,-0.35160020106380074,0.7837143393894828,10537.0,2103087.5,45.0,6
98,N-Acetyl-L-phenylalanine,C11H13NO3,[M+H]+,2.8,4.0,15,0.2,208.0968,208.0963,-2.5,S07372,3.55,3.47,3.57,0.1,108046.0,108046.0,108046.0,151802.0,108046.0,111292.0,25543,32400,45742,26830,25984,39593,0.32804883911579136,3.0483265927578245,108046.0,123713.33333333333,-0.19535533386898918,0.8733577625693809,108046.0,115879.66666666666,0.0,2
99,N-Acetylornithine,C7H14N2O3,[M+H]+,8.6,10.6,15,0.2,175.1077,175.1074,-1.8,S07372,10.06,9.83,10.18,0.34,25996.0,25996.0,25996.0,29440.0,25996.0,27924.0,7504,3934,7094,3537,6488,3435,0.146777559701823,6.813030561561924,25996.0,27786.666666666668,-0.09610312379981427,0.9355566218809981,25996.0,26891.333333333336,0.0,2
100,N-Acetylserine,C5H9NO4,[M-H]-,7.5,8.5,15,0.2,146.0459,146.0447,-8.1,S07377,8.16,8.02,8.31,0.29,18346462.0,20928362.0,21099732.0,19344504.0,15663741.0,15297970.0,7705,6330,9764,4363,16653,4925,0.09925303883642615,10.075258266379619,20124852.0,16768738.333333334,0.2632040278083291,1.2001410958864625,34870.0,18446795.166666668,223.0,6
101,NAD,C21H28N7O14P2,[Cat]+,9.9,11.9,15,0.2,664.1164,664.1161,-0.5,S07377,11.17,10.96,11.17,0.21,1677456.0,1771359.0,2165475.0,2160035.0,1775460.0,1998427.0,56879,0,130929,2804,136260,3015,0.5983635941603521,1.6712246696813837,1871430.0,1977974.0,-0.07988237645087791,0.9461347823581099,174943.5,1924702.0,3.0,6
102,NADH,C21H29N7O14P2,[M-H]-,9.5,11.5,15,0.2,664.1175,664.1166,-1.4,S07377,10.69,10.57,10.75,0.18,256932.0,338639.0,394991.0,307282.0,248640.0,256556.0,5880,0,6190,1361,7893,0,0.2493954196371158,4.009696735629931,330187.3333333333,270826.0,0.28591852852157823,1.2191862425813376,20662.0,300506.6666666666,1.0,6
103,NADP,C21H29N7O17P3,[Cat]+,12.7,14.7,15,0.2,744.0827,744.0787,-5.4,S07377,14.06,13.99,14.23,0.24,39059.5,52854.0,62214.0,47944.0,49320.0,40196.0,5949,2543,14678,2557,23165,9227,0.48900576754620484,2.044965655554385,51375.833333333336,45820.0,0.16511243134135664,1.1212534555507057,39059.5,48597.91666666667,0.0,5
104,NADPH,C21H30N7O17P3,[M-H]-,13.0,15.0,15,0.2,744.0838,744.0817,-2.9,S07372,14.53,14.38,14.58,0.2,51605.0,64955.0,50515.0,75334.0,54288.0,57504.0,1550,1341,2267,0,2410,0,0.45174663824197214,2.213630197430187,55691.666666666664,62375.333333333336,-0.1635141518691551,0.8928476000128255,13784.0,59033.5,0.0,6
105,Niacinamide,C6H6N2O,[M+H]+,3.3,5.3,15,0.2,123.0553,123.055,-2.4,S07377,4.71,4.63,4.72,0.09,68977624.0,74057824.0,95535392.0,78722808.0,69475792.0,70087432.0,920869,424387,2308319,1247729,2797572,1613132,0.47899976411710427,2.0876837003108073,79523613.33333333,72762010.66666667,0.1281979002602544,1.0929276500843625,4666004.0,76142812.0,174.0,6
106,Nicotinic acid,C6H5NO2,[M-H]-,5.5,7.5,15,0.2,122.0248,122.0238,-7.8,SQ437_B_0,6.55,6.31,6.77,0.46,35814.0,35814.0,35814.0,35814.0,35814.0,35814.0,16348,8343,6983,6571,6773,6610,NA,NA,35814.0,35814.0,0.0,1.0,35814.0,35814.0,0.0,0
107,O-Phosphoethanolamine,C2H8NO4P,[M+H]+,11.4,13.4,15,0.2,142.0264,142.0264,0.2,S07376,11.89,11.89,12.08,0.18,10000.0,49295.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0.373900966300059,2.67450498963806,23098.333333333332,10000.0,1.207788757334791,2.309833333333333,10000.0,16549.166666666664,0.0,1
108,Ornithine,C5H12N2O2,[M+H]+,17.0,19.0,15,0.2,133.0972,133.0969,-1.9,S07377,17.69,17.61,17.76,0.15,8346386.0,9437711.0,11089386.0,11076539.0,10505005.0,9567334.0,2088713,410728,2630924,425096,2802726,371080,0.45174477795716844,2.2136393131583993,9624494.333333334,10382959.333333334,-0.10943504754145161,0.9269509803852325,4374633.5,10003726.833333334,24.0,6
109,Orotic acid,C5H4N2O4,[M-H]-,6.7,8.7,15,0.2,155.0098,155.0087,-7.3,S07377,7.71,7.58,7.91,0.33,91172.0,106284.0,125221.0,78928.0,92725.0,112978.0,0,1702,1288,1281,0,0,0.4149255569734428,2.4100708746268062,107559.0,94877.0,0.18099794946450154,1.1336678014692707,12135.5,101218.0,0.0,6
110,Orotidylic acid,C10H13N2O11P,[M+H]+,0.0,30.0,15,0.2,369.033,369.0314,-4.3,S07366,7.96,7.96,7.96,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
111,Oxidized glutathione,C20H32N6O12S2,[M+H]+,13.5,15.5,15,0.2,613.1592,613.1575,-2.8,S07369,14.77,14.74,14.83,0.09,2422165.0,4233552.0,4325590.0,3968342.0,3530594.0,2100167.0,59327,21297,171453,72172,399834,170109,0.611710601861139,1.6347599615855675,3660435.6666666665,3199701.0,0.1940782719317966,1.1439930376827918,457096.0,3430068.333333333,6.0,6
112,Oxoadipic acid,C6H8O5,[M-H]-,7.5,9.5,15,0.2,159.0299,159.0289,-6.3,SQ437_B_0,7.54,7.54,7.75,0.21,17371.5,17371.5,17371.5,17371.5,17371.5,17371.5,7155,2100,2445,1309,0,1734,NA,NA,17371.5,17371.5,0.0,1.0,17371.5,17371.5,0.0,0
113,Oxoglutaric acid,C5H6O5,[M-H]-,10.8,14.8,15,0.2,145.0142,145.013,-8.6,S07377,12.86,12.65,12.87,0.22,46812628.0,55266652.0,57191312.0,30562164.0,25000764.0,24725016.0,117273,12636,193222,11538,531539,14242,0.0020859382108020966,479.40058570357866,53090197.333333336,26762648.0,0.9882246350152141,1.98374231628101,450225.0,39926422.66666667,37970.0,6
114,Palmitic acid,C16H32O2,[M-H]-,1.6,3.6,15,0.2,255.233,255.2323,-2.6,S07376,2.85,2.82,2.91,0.09,8641989.0,20015370.0,11993933.0,15465780.0,10604542.0,8111785.0,690596,596810,576132,648189,641113,575955,0.618929258377439,1.615693532765863,13550430.666666666,11394035.666666666,0.2500598773879988,1.1892564726919848,1874397.5,12472233.166666666,24.0,6
115,Pantothenic acid,C9H17NO5,[M+H]+,5.1,7.1,15,0.2,220.118,220.1173,-3.0,S07371,6.21,5.97,6.42,0.45,18408720.0,21262786.0,25429028.0,19367314.0,16886474.0,15413587.0,11008,3132,7082,6076,11004,3115,0.12848207069428516,7.7831871372888735,21700178.0,17222458.333333332,0.3334157890169646,1.2599930613854489,30708.5,19461318.166666664,191.0,6
116,Phenol,C6H6O,[M-H]-,2.1,4.1,15,0.2,93.0346,93.0333,-13.9,SQ437_B_0,3.42,3.39,3.65,0.26,2609088.5,2609088.5,2609088.5,2609088.5,2609088.5,2609088.5,1187998,1000370,763503,742166,767343,736797,NA,NA,2609088.5,2609088.5,0.0,1.0,2609088.5,2609088.5,0.0,0
117,Phosphocreatine,C4H10N3O5P,[M-H]-,11.2,13.2,15,0.2,210.0285,210.0277,-4.0,S07377,12.39,12.35,12.43,0.08,8071146.0,9909884.0,9931316.0,7450242.0,5947386.0,5369032.0,130181,16548,757102,75572,1074766,104537,0.025214648786148767,39.65948558241798,9304115.333333334,6255553.333333333,0.5727314772474348,1.4873369049154193,1089353.0,7779834.333333334,459.0,6
118,Phosphoenolpyruvic acid,C3H5O6P,[M-H]-,13.6,15.6,15,0.2,166.9751,166.97400000000002,-6.6,S07371,14.81,14.81,15.05,0.24,133178.0,285201.0,424212.0,337488.0,361033.0,294813.0,5922,2575,43831,11299,59758,14789,0.5914269137413484,1.6908259951750098,280863.6666666667,331111.3333333333,-0.23744638703717535,0.8482454038621452,79087.0,305987.5,1.0,6
119,Phosphoribosyl pyrophosphate,C5H13O14P3,[M-H]-,15.0,18.0,15,0.2,388.9445,388.9388,-14.8,S07376,15.62,15.62,15.64,0.01,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
120,Phosphorylcholine,C5H14NO4P,[M+H]+,10.0,13.0,15,0.2,184.0733,184.0728,-2.8,S07377,11.9,11.84,11.96,0.12,1187464960.0,1288749312.0,1335585920.0,1275959936.0,1228344320.0,1186025984.0,193673248,6522238,216868608,10933922,257509584,13457748,0.47044277508913424,2.125657046833233,1270600064.0,1230110080.0,0.04672257179099147,1.032915740353904,349492674.0,1250355072.0,2745.0,6
121,Phosphoserine,C3H8NO6P,[M+H]+,11.5,13.5,15,0.2,186.0162,186.0162,0.0,S07372,13.45,13.4,13.46,0.05,14298.5,14298.5,14298.5,14298.5,14298.5,14298.5,2212,0,3613,0,1234,1538,NA,NA,14298.5,14298.5,0.0,1.0,14298.5,14298.5,0.0,0
122,Pipecolic acid,C6H11NO2,[M+H]+,7.5,9.5,15,0.2,130.0863,130.0862,-0.4,S07374,8.25,8.0,8.49,0.48,146858.0,146858.0,146858.0,146858.0,146858.0,146858.0,62140,49600,38110,43910,41408,38548,NA,NA,146858.0,146858.0,0.0,1.0,146858.0,146858.0,0.0,0
123,Propionylcarnitine,C10H19NO4,[M+H]+,5.2,7.2,15,0.2,218.1387,218.138,-3.1,S07377,6.7,6.52,6.93,0.42,627837.0,655552.0,680953.0,378509.0,300433.0,246085.0,13877,13731,8938,10107,10217,8000,0.0011131676275913634,898.3372990856445,654780.6666666666,308342.3333333333,1.0864787494199113,2.1235509882414245,42435.0,481561.5,919.0,6
124,Pyruvic acid,C3H4O3,[M-H]-,5.5,7.5,15,0.2,87.0088,87.0075,-14.6,S07377,6.12,5.89,6.12,0.24,4607059.0,224830.0,6288242.0,224830.0,224830.0,224830.0,99527,45448,100784,44454,85124,54323,0.12631659833963071,7.916615972441516,3706710.3333333335,224830.0,4.043232919602605,16.486724784652107,224830.0,1965770.1666666667,257.0,2
125,Ribose 1-phosphate,C5H11O8P,[M-H]-,11.0,12.4,15,0.2,229.0119,229.0112,-3.0,S07377,12.19,12.15,12.29,0.13,19929.0,22060.0,31110.0,21947.0,18444.0,20162.0,0,0,2978,0,9236,1869,0.30686354037690333,3.2587774969022254,24366.333333333332,20184.333333333332,0.2716532324604576,1.2071903951909897,17041.5,22275.333333333332,0.0,6
126,Saccharopine,C11H20N2O6,[M-H]-,11.0,14.0,15,0.2,275.1249,275.1277,10.3,S07374,12.07,11.87,12.15,0.27,11399.0,11399.0,11399.0,11399.0,11399.0,11399.0,1489,0,0,0,0,1309,NA,NA,11399.0,11399.0,0.0,1.0,11399.0,11399.0,0.0,0
127,S-Adenosylhomocysteine,C14H20N6O5S,[M-H]-,8.6,10.6,15,0.2,383.1143,383.1129,-3.7,S07376,10.07,9.95,10.13,0.17,63270.0,68843.0,59261.0,57020.0,43492.0,45948.0,1783,0,4509,0,1992,0,0.04024413556941073,24.848340903614606,63791.333333333336,48820.0,0.3858881381761989,1.3066639355455414,14142.0,56305.66666666667,2.0,6
128,S-Adenosylmethionine,C15H22N6O5S,[M+H]+,10.7,12.7,15,0.2,399.1445,399.1436,-2.3,S07367,12.43,12.36,12.55,0.19,8405008.0,6971153.0,6993604.0,10082234.0,10874488.0,11405082.0,746075,19414,1116119,22121,917881,23666,0.0054842370289638455,182.34076950334386,7456588.333333333,10787268.0,-0.5327419320510286,0.69123974052868,1432638.0,9121928.166666666,2406.0,6
129,Sarcosine,C3H7NO2,[M+H]+,11.2,12.0,15,0.2,90.055,90.0552,2.7,S07372,11.22,11.2,11.24,0.04,169318496.0,172016272.0,186569552.0,358244320.0,300557856.0,353729952.0,8515756,113419,13660977,190919,5661834,167371,0.001110234236949592,900.7108290476932,175968106.66666666,337510709.3333333,-0.9396193087664376,0.5213704389239884,14165138.0,256739408.0,443539.0,6
130,Succinic acid,C4H6O4,[M-H]-,11.3,13.3,15,0.2,117.0193,117.01799999999999,-11.4,S07376,12.48,12.42,12.49,0.08,4392034.0,5202090.0,4890784.0,4746066.0,4306395.0,4137576.0,292283,243417,280941,173409,348675,157831,0.22054124987697185,4.534299141579393,4828302.666666667,4396679.0,0.1351019098812266,1.0981703842074135,758278.0,4612490.833333334,23.0,6
131,Taurine,C2H7NO3S,[M-H]-,10.2,12.2,15,0.2,124.0074,124.006,-11.2,S07372,11.47,11.3,11.52,0.22,24667492.0,27244308.0,27884162.0,35960448.0,30907222.0,31512308.0,91562,2173,75900,1418,166872,1708,0.029682241781369197,33.69017769499052,26598654.0,32793326.0,-0.3020489903798582,0.8110996121588887,179816.5,29695990.0,1233.0,6
132,Thymidine,C10H14N2O5,[M-H]-,3.5,5.5,15,0.2,241.083,241.0835,2.1,S07370,3.51,3.51,3.7,0.2,12456.0,12456.0,12456.0,54587.0,31618.0,12456.0,1755,1876,0,0,0,1281,0.16872948163830462,5.926646548607556,12456.0,32887.0,-1.4006765599047863,0.3787514823486484,12456.0,22671.5,0.0,2
133,Uracil,C4H4N2O2,[M+H]+,5.4,7.4,15,0.2,113.0346,113.0343,-2.3,S07369,6.77,6.56,7.0,0.44,16478.5,16478.5,16478.5,16478.5,16478.5,16478.5,2544,1506,2183,2311,2455,1958,NA,NA,16478.5,16478.5,0.0,1.0,16478.5,16478.5,0.0,0
134,Ureidopropionic acid,C4H8N2O3,[M-H]-,10.4,12.4,15,0.2,131.0462,131.0449,-10.0,S07374,11.65,11.54,11.82,0.28,80993.0,79707.0,149412.0,897391.0,845766.0,897863.0,38495,2523,64270,1916,21145,2315,1.1210497569645494e-05,89202.10666720859,103370.66666666667,880340.0,-3.090233968599589,0.11742129934646463,75332.0,491855.3333333333,373651.0,6
135,Ureidosuccinic acid,C5H8N2O5,[M-H]-,12.8,14.8,15,0.2,175.03599999999997,175.035,-6.0,S07372,13.95,13.87,14.03,0.16,1066633.0,1924227.0,2862772.0,3650861.0,2490635.0,2198833.0,14284,0,24546,1349,22020,0,0.29128882714824544,3.433018731923661,1951210.6666666667,2780109.6666666665,-0.5107722438598882,0.7018466537710923,41099.5,2365660.1666666665,12.0,6
136,Uric acid,C5H4N4O3,[M+H]+,8.8,10.8,15,0.2,169.0356,0.0,0.0,NA,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
137,Uridine,C9H12N2O6,[M-H]-,5.5,7.5,15,0.2,243.0623,243.0613,-4.0,S07366,6.88,6.66,7.1,0.44,23114.0,37644.0,43220.0,26271.0,27337.0,20382.0,2265,1591,2047,1322,1473,1250,0.19174132175489553,5.215359896591868,34659.333333333336,24663.333333333332,0.4908761067023237,1.4052980132450332,14974.0,29661.333333333336,0.0,6
138,Uridine 5'-diphosphate,C9H14N2O12P2,[M+H]+,12.4,14.4,15,0.2,405.0095,405.0071,-5.9,S07376,13.6,13.55,13.83,0.28,66552.0,106802.0,100077.0,86239.0,63356.0,62119.0,2075,0,2180,0,5004,0,0.23457014100141357,4.263117188448865,91143.66666666667,70571.33333333333,0.36906014298726714,1.291511189623738,14629.5,80857.5,0.0,6
139,Uridine 5'-monophosphate,C9H13N2O9P,[M-H]-,11.2,13.2,15,0.2,323.0286,323.0275,-3.4,S07370,12.34,12.28,12.39,0.1,214435.0,237933.0,293629.0,236174.0,178236.0,183603.0,66498,13085,78034,18575,106136,30427,0.174157549609718,5.741927365428435,248665.66666666666,199337.66666666666,0.3189929817280076,1.2474595033887224,166377.5,224001.66666666666,2.0,6
140,Uridine diphosphate glucose,C15H24N2O17P2,[M-H]-,12.4,14.4,15,0.2,565.0478,565.047,-1.3,S07372,13.59,13.47,13.65,0.18,1433267.0,1669762.0,1692870.0,1711551.0,1452924.0,1245430.0,25017,0,30719,0,42827,0,0.4619483885056062,2.164743994962251,1598633.0,1469968.3333333333,0.1210536994222677,1.087528869669528,59281.5,1534300.6666666665,4.0,6
