Skeleton_Metabolite	Metabolite	Formula	Ion Type	RT Start (min)	RT End (min)	m/z Tolerance (ppm)	RT Tolerance (min)	mz	obs_mz	ppm	winner	RT	RT_min	RT_max	RT_range	detections	S09190	S09191	S09192	S09193	S09194	S09195	S09196	S09197	S09198	SQ530_Blank_0	SQ530_Blank_1	SQ530_Blank_2	SQ530_Blank_3	SQ530_Blank_4	SQ530_Blank_5	SQ530_ISTD_0	SQ530_ISTD_1	SQ530_ISTD_2
L-Lysine	84         L-Lysine	C6H14N2O2	[M+H]+	18.0	20.0	15.0	0.2	147.1128	147.1127	-0.7	S09195	18.55	18.55	18.69	0.14	18	70620704	81351992	71438784	100574904	78836432	110715776	83842856	51295340	94885744	20151094	7420492	44130880	12146500	34373684	9649552	12371473	21529826	17488232
L-Malic acid	85         L-Malic acid	C4H6O5	[M-H]-	12.2	14.2	15.0	0.2	133.0142	133.0131	-8.6	S09196	13.34	13.28	13.38	0.1	18	22371478	26684776	30691290	43317656	29832890	90153440	136096544	105104104	130430264	1732130	206432	5285082	994411	2799776	488194	485942	1758377	919223
L-Methionine	86         L-Methionine	C5H11NO2S	[M+H]+	6.8	8.8	15.0	0.2	150.0583	150.0583	-0.2	S09195	8.12	8.03	8.16	0.13	18	201256992	281221600	331845632	314410208	271451744	382040864	338588160	270895072	305705632	4517958	36216	6299810	122880	5721924	58014	78244	202142	91576
L-Phenylalanine	87         L-Phenylalanine	C9H11NO2	[M+H]+	5.6	7.6	15.0	0.2	166.0863	166.0861	-0.9	S09195	6.93	6.8	6.94	0.14	18	272450880	386117280	470446432	442046432	381494368	516390592	508071232	375790400	422157696	3706970	57579	5090682	197569	4931932	112056	115060	291777	144477
L-Proline	88         L-Proline	C5H9NO2	[M+H]+	7.9	9.9	15.0	0.2	116.0706	116.0708	1.7	S09195	9.25	9.18	9.27	0.09	18	273638752	358998560	382291136	376126912	335457248	474852576	459540288	353039648	410011360	11854106	892763	17985514	1499957	15644037	1024897	1187318	1801673	966204
L-Serine	89         L-Serine	C3H7NO3	[M+H]+	10.8	12.8	15.0	0.2	106.0499	106.0502	3.1	S09195	12.07	11.97	12.09	0.12	18	37319604	45215144	52462904	51521912	45146748	62344032	55826300	47417600	53519244	3877738	66170	5580902	163501	4647466	119776	347650	587271	459876
L-Threonine	90         L-Threonine	C4H9NO3	[M-H]-	9.5	11.5	15.0	0.2	118.051	118.0498	-9.9	S09195	10.9	10.76	10.9	0.14	18	15203128	20347308	22476232	22888044	19128272	26705572	25337638	20540124	24229506	1858667	31955	2800742	109844	2456566	76178	91059	269349	221552
L-Tryptophan	91         L-Tryptophan	C11H12N2O2	[M+H]+	6.8	8.8	15.0	0.2	205.0972	205.0969	-1.2	S09195	8.14	8.06	8.19	0.13	18	40559800	59680036	73770104	64866504	56888456	86171936	79623864	58870484	68428416	528363	7912	904490	12552	878407	14934	16591	28196	14841
L-Tyrosine	92         L-Tyrosine	C9H11NO3	[M+H]+	8.2	10.2	15.0	0.2	182.0812	182.0811	-0.4	S09195	9.5	9.4	9.52	0.12	18	132174744	189834352	220020112	206499872	184015376	248541648	234389120	174368160	204861184	5067298	41166	7160802	109349	6346870	50708	100886	230493	94139
L-Valine	93         L-Valine	C5H11NO2	[M+H]+	8.3	9.2	15.0	0.2	118.0863	118.0864	1.2	S09195	8.99	8.88	8.99	0.12	18	294512608	400630976	433429184	403563456	378056800	506062144	457125792	367388352	420291136	14432707	1014248	19390328	1544762	18414914	1130523	1343443	2033811	1438357
N6-Acetyl-L-lysine	94         N6-Acetyl-L-lysine	C8H16N2O3	[M+H]+	1.9	3.9	15.0	0.2	189.1234	189.122	-7.2	S09194	3.2	3.2	3.36	0.16	18	1053885	86912	153567	686503	3019418	1460698	2012349	94565	354962	19509	21253	18565	14770	13456	9360	6353	13342	7143
N-Acetylglutamic acid	95         N-Acetylglutamic acid	C7H11NO5	[M+H]+	10.3	12.3	15.0	0.2	190.071	190.0709	-0.5	S09195	11.6	11.48	11.8	0.32	18	696387	1093756	1162969	1444691	1130277	1447156	1103168	920111	867840	29810	6773	36028	9218	33607	10116	13731	21722	11875
N-Acetylglutamine	96         N-Acetylglutamine	C7H12N2O4	[M-H]-	6.8	8.8	15.0	0.2	187.0724	187.0718	-3.4	S09196	7.99	7.79	8.2	0.41	17	54066	68500	85165	109445	74306	92703	130613	75512	89500	1392	1544	3312	1619	1830	1642	0	1494	1565
N-Acetyl-L-alanine	97         N-Acetyl-L-alanine	C5H9NO3	[M+H]+	6.0	7.0	15.0	0.2	132.0655	132.0656	0.6	S09195	6.53	6.35	6.77	0.42	18	1501970	2193205	2503034	2841470	2210970	3591204	2938325	2011480	2306898	16842	15173	14850	15963	14809	14296	12411	13242	11387
N-Acetyl-L-methionine	98         N-Acetyl-L-methionine	C7H13NO3S	[M+H]+	3.0	5.0	15.0	0.2	192.0689	192.06900000000002	0.6	S09195	4.23	4.03	4.33	0.29	12	299511	499951	639150	583900	453027	1144491	728772	543478	595526	0	1911	0	1932	1587	0	0	0	0
N-Acetyl-L-phenylalanine	99         N-Acetyl-L-phenylalanine	C11H13NO3	[M+H]+	2.8	4.0	15.0	0.2	208.0968	208.0968	-0.1	S09195	3.53	3.52	3.56	0.04	18	47477	59764	86049	104203	101064	119727	76675	84439	97327	39768	47662	55488	50910	41552	55147	44217	46161	57530
N-Acetylornithine	100         N-Acetylornithine	C7H14N2O3	[M+H]+	8.6	10.6	15.0	0.2	175.1077	175.1078	0.5	S09195	10.0	9.88	10.07	0.18	18	44533	39952	51165	42020	33955	64760	51370	41191	42139	9003	7362	7850	8203	7052	7166	8048	8035	7215
N-Acetylserine	101         N-Acetylserine	C5H9NO4	[M-H]-	7.5	8.5	15.0	0.2	146.0459	146.0449	-6.7	S09195	8.16	8.02	8.35	0.33	18	8337286	11074774	12591269	13463451	11290738	15901635	14170906	10589457	13094227	16172	7912	30331	7848	24944	7648	8500	9765	6788
NAD	102         NAD	C21H28N7O14P2	[Cat]+	9.9	11.9	15.0	0.2	664.1164	664.1161	-0.5	S09195	11.1	10.89	11.14	0.25	18	741849	1283059	1267461	1772365	1098981	2003639	1818463	1204528	1554624	42562	1475	84593	2264	58539	1518	3211	10377	3825
NADH	103         NADH	C21H29N7O14P2	[M-H]-	9.5	11.5	15.0	0.2	664.1175	664.1152	-3.5	S09193	10.67	10.47	10.77	0.3	10	70993	82283	95091	142511	104551	0	126564	74169	60815	1860	0	0	0	2036	0	0	0	0
NADP	104         NADP	C21H29N7O17P3	[Cat]+	12.7	14.7	15.0	0.2	744.0827	744.0791	-4.9	S09196	14.14	13.91	14.34	0.42	10	0	0	0	4563	5195	8184	8863	7449	5587	5011	2555	7799	0	0	0	0	1405	0
NADPH	105         NADPH	C21H30N7O17P3	[M-H]-	13.0	15.0	15.0	0.2	744.0838	744.0816	-3.0	S09195	14.61	14.39	14.61	0.22	2	0	0	0	0	0	7708	0	0	0	0	1291	0	0	0	0	0	0	0
Niacinamide	106         Niacinamide	C6H6N2O	[M+H]+	3.3	5.3	15.0	0.2	123.0553	123.0554	0.9	S09196	4.68	4.61	4.71	0.09	18	147884784	194238640	221535120	205944832	184225696	239834320	243368176	183124288	199330528	549626	255772	794251	517830	837680	422089	338799	516752	432654
Nicotinic acid	107         Nicotinic acid	C6H5NO2	[M-H]-	5.5	7.5	15.0	0.2	122.0248	122.0239	-7.0	S09195	7.01	6.78	7.21	0.43	18	15449	17618	15182	22743	15332	27538	13856	13325	14936	12949	12623	15911	13453	10585	11893	10534	11489	10604
O-Phosphoethanolamine	108         O-Phosphoethanolamine	C2H8NO4P	[M+H]+	11.4	13.4	15.0	0.2	142.0264	142.0266	1.6	S09195	12.8	12.77	13.02	0.25	15	2804	8391	3486	6094	3847	16721	6801	4234	5206	1550	0	1670	0	1128	0	1741	1536	1202
Ornithine	109         Ornithine	C5H12N2O2	[M+H]+	17.0	19.0	15.0	0.2	133.0972	133.0973	1.1	S09195	17.11	17.09	17.25	0.16	18	9196648	11088351	9915114	22605320	9925327	36392880	11499996	6985896	12332889	3193325	769565	10055758	2217017	4347922	847010	1512291	4565932	1846201
Orotic acid	110         Orotic acid	C5H4N2O4	[M-H]-	6.7	8.7	15.0	0.2	155.0098	155.0088	-6.7	S09192	7.75	7.62	8.0	0.38	13	45901	51473	117510	72909	69498	116169	78979	55203	97010	2247	0	0	0	0	1770	1231	2112	0
Orotidylic acid	111         Orotidylic acid	C10H13N2O11P	[M+H]+	0.0	30.0	15.0	0.2	369.033	369.0378	13.1	S09193	3.37	3.23	3.41	0.18	3	7006	8493	0	15959	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxidized glutathione	112         Oxidized glutathione	C20H32N6O12S2	[M+H]+	13.5	15.5	15.0	0.2	613.1592	613.1592	-0.1	S09195	14.8	14.74	14.81	0.08	18	7905098	11234902	11413977	15669883	11801465	17583974	15548888	10825087	14404985	328710	40161	1455618	82425	975026	75434	76717	212259	139485
Oxoadipic acid	113         Oxoadipic acid	C6H8O5	[M-H]-	7.5	9.5	15.0	0.2	159.0299	159.0291	-5.0	S09198	7.85	7.64	8.09	0.45	15	4426	0	5787	0	0	5930	55752	50058	62886	2910	2338	3725	2646	2615	2552	3173	2512	2588
Oxoglutaric acid	114         Oxoglutaric acid	C5H6O5	[M-H]-	10.8	14.8	15.0	0.2	145.0142	145.0132	-7.2	S09195	12.91	12.8	12.93	0.13	18	4145427	4477356	5059704	171147760	159098528	190401920	127153976	84432136	106727296	2392402	52801	3511984	93496	3308501	61994	110940	193813	123302
Palmitic acid	115         Palmitic acid	C16H32O2	[M-H]-	1.6	3.6	15.0	0.2	255.233	255.2327	-1.0	S09196	2.94	2.89	2.94	0.05	18	10526122	13231931	11742567	8990748	15755418	22264104	27769432	25574588	13953207	3863664	2361185	2466808	2405712	2454183	2257388	2810438	1758623	1694287
Pantothenic acid	116         Pantothenic acid	C9H17NO5	[M+H]+	5.1	7.1	15.0	0.2	220.118	220.1179	-0.2	S09195	6.28	6.12	6.33	0.21	18	57482720	91449480	112044632	104913016	87508224	127753304	102560696	75176768	81051568	78001	5934	204787	8304	125209	5387	5675	9194	5921
Phenol	117         Phenol	C6H6O	[M-H]-	2.1	4.1	15.0	0.2	93.0346	93.0334	-12.8	S09195	3.5	3.44	3.53	0.09	18	605907	635635	636422	1015402	904495	1157450	948526	894001	960709	725097	776942	776578	812787	801116	776536	856869	799967	922571
Phosphocreatine	118         Phosphocreatine	C4H10N3O5P	[M-H]-	11.2	13.2	15.0	0.2	210.0285	210.0281	-2.1	S09195	12.45	12.36	12.49	0.13	17	286097	497357	516780	625545	394151	750660	538857	287075	550842	20461	0	40108	2409	29932	2032	2181	6505	7231
Phosphoenolpyruvic acid	119         Phosphoenolpyruvic acid	C3H5O6P	[M-H]-	13.6	15.6	15.0	0.2	166.9751	166.9744	-4.2	S09195	14.9	14.82	15.0	0.18	18	28627	56022	39921	105790	43459	333222	66464	35464	51931	2459	2001	29241	13962	17192	2432	3794	11415	8435
Phosphoribosyl pyrophosphate	120         Phosphoribosyl pyrophosphate	C5H13O14P3	[M-H]-	15.0	18.0	15.0	0.2	388.9445	388.9417	-7.3	S09196	17.34	17.34	17.34	0.0	1	0	0	0	0	0	0	1278	0	0	0	0	0	0	0	0	0	0	0
Phosphorylcholine	121         Phosphorylcholine	C5H14NO4P	[M+H]+	10.0	13.0	15.0	0.2	184.0733	184.0732	-0.7	S09195	11.76	11.71	11.78	0.07	18	1142699776	1407257088	1430478592	1553405440	1389457152	1634350976	1572333568	1296004608	1473108864	207599552	3935924	362234784	10589888	301817600	6988344	25793064	51983524	36775892
Phosphoserine	122         Phosphoserine	C3H8NO6P	[M+H]+	11.5	13.5	15.0	0.2	186.0162	186.0165	1.6	S09194	12.77	12.64	12.77	0.13	2	0	3230	0	0	4058	0	0	0	0	0	0	0	0	0	0	0	0	0
Pipecolic acid	123         Pipecolic acid	C6H11NO2	[M+H]+	7.5	9.5	15.0	0.2	130.0863	130.0865	1.9	S09197	8.84	8.76	9.04	0.28	18	89372	87860	139020	102764	105057	130594	165160	172338	155829	60892	47625	43214	39721	45096	41657	52608	44932	51034
Propionylcarnitine	124         Propionylcarnitine	C10H19NO4	[M+H]+	5.2	7.2	15.0	0.2	218.1387	218.1387	0.1	S09196	6.54	6.34	6.7	0.35	18	797635	1275955	1582940	1675712	1429742	2101163	3015406	2104158	2537068	8018	6863	10855	9198	6804	7185	7725	6328	7843
Pyruvic acid	125         Pyruvic acid	C3H4O3	[M-H]-	5.5	7.5	15.0	0.2	87.0088	87.0076	-13.4	S09195	6.16	6.04	6.23	0.19	18	254417	177077	309257	537984	519382	3138472	455341	528608	649926	44579	30232	69077	44934	55651	54572	51810	45208	41441
Ribose 1-phosphate	126         Ribose 1-phosphate	C5H11O8P	[M-H]-	11.0	12.4	15.0	0.2	229.0119	229.0111	-3.4	S09198	12.18	12.18	12.32	0.15	14	7476	9894	7424	11244	9333	10015	7798	10093	12829	1402	0	2217	0	1808	0	1914	1217	0
Saccharopine	127         Saccharopine	C11H20N2O6	[M-H]-	11.0	14.0	15.0	0.2	275.1249	275.125	0.5	S09196	12.67	12.64	12.87	0.23	10	1753	1950	6028	3149	6581	3619	16793	9724	14219	0	1233	0	0	0	0	0	0	0
S-Adenosylhomocysteine	128         S-Adenosylhomocysteine	C14H20N6O5S	[M-H]-	8.6	10.6	15.0	0.2	383.1143	383.1142	-0.3	S09196	9.99	9.86	9.99	0.12	9	7055	9355	10461	11415	8154	13629	16716	7720	9816	0	0	0	0	0	0	0	0	0
S-Adenosylmethionine	129         S-Adenosylmethionine	C15H22N6O5S	[M+H]+	10.7	12.7	15.0	0.2	399.1445	399.145	1.2	S09196	12.22	12.08	12.25	0.17	18	554128	987231	903897	1030049	885721	1360373	1596624	1128412	1313367	44027	2696	75334	6556	61118	7187	11575	14521	11204
Sarcosine	130         Sarcosine	C3H7NO2	[M+H]+	11.2	12.0	15.0	0.2	90.055	90.0555	6.0	S09195	11.6	11.54	11.64	0.1	18	4300904	5172722	5583712	6273128	5203600	6991328	6321376	4559336	5164908	799747	107009	996817	134019	902150	121336	155998	211349	155702
Succinic acid	131         Succinic acid	C4H6O4	[M-H]-	11.3	13.3	15.0	0.2	117.0193	117.0182	-9.7	S09193	12.53	12.44	12.56	0.11	18	1122269	1385384	1789396	10965860	8824452	10106919	8674890	5603230	7633037	357332	224773	566672	233418	518689	265516	298368	272966	275129
Taurine	132         Taurine	C2H7NO3S	[M-H]-	10.2	12.2	15.0	0.2	124.0074	124.0062	-9.6	S09195	11.5	11.35	11.51	0.16	18	16144191	20892426	23251224	24990640	21162420	28297166	26740744	20496016	22861624	117225	1756	177625	5247	132018	6167	3402	5949	2085
Thymidine	133         Thymidine	C10H14N2O5	[M-H]-	3.5	5.5	15.0	0.2	241.083	241.082	-4.1	S09196	4.65	4.45	4.87	0.42	18	6389	10769	7218	7280	7848	8603	13650	10193	9631	2186	2213	2514	3052	2483	2614	2495	2267	4882
Uracil	134         Uracil	C4H4N2O2	[M+H]+	5.4	7.4	15.0	0.2	113.0346	113.0348	2.2	S09196	6.77	6.61	6.85	0.25	18	34209	108668	27710	57690	59566	119078	230534	67396	31874	6827	5159	5852	6040	3492	7729	6306	7795	6311
Ureidopropionic acid	135         Ureidopropionic acid	C4H8N2O3	[M-H]-	10.4	12.4	15.0	0.2	131.0462	131.0454	-6.2	S09198	11.6	11.51	11.67	0.16	18	122232	155982	158605	202272	125042	408878	449946	375439	497404	20754	3370	24413	6324	18751	2056	3345	7319	3028
Ureidosuccinic acid	136         Ureidosuccinic acid	C5H8N2O5	[M-H]-	12.8	14.8	15.0	0.2	175.03599999999997	175.0355	-3.1	S09195	14.08	13.98	14.08	0.09	12	62706	163360	177173	168165	84389	205076	155782	83280	126486	984	0	2435	0	2335	0	0	0	0
Uric acid	137         Uric acid	C5H4N4O3	[M+H]+	8.8	10.8	15.0	0.2	169.0356	0.0	0.0		0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uridine	138         Uridine	C9H12N2O6	[M-H]-	5.5	7.5	15.0	0.2	243.0623	243.0619	-1.5	S09196	6.8	6.56	7.02	0.46	18	321690	1810280	405614	749337	613062	2186774	3472786	948926	373451	6319	3785	6741	5423	6405	2578	2927	2469	2985
Uridine 5'-diphosphate	139         Uridine 5'-diphosphate	C9H14N2O12P2	[M+H]+	12.4	14.4	15.0	0.2	405.0095	405.0077	-4.4	S09195	13.69	13.53	13.89	0.36	14	20919	34676	39149	45760	31829	63021	45525	33987	46334	1250	0	1809	0	1958	0	0	1589	1549
Uridine 5'-monophosphate	140         Uridine 5'-monophosphate	C9H13N2O9P	[M-H]-	11.2	13.2	15.0	0.2	323.0286	323.0281	-1.5	S09193	12.37	12.25	12.45	0.2	18	92105	145958	167906	239069	93800	156500	52931	44450	158269	18330	2919	25420	7351	27895	6338	6012	9596	7126
Uridine diphosphate glucose	141         Uridine diphosphate glucose	C15H24N2O17P2	[M-H]-	12.4	14.4	15.0	0.2	565.0478	565.0475	-0.4	S09195	13.71	13.49	13.72	0.23	13	293758	527328	569136	731860	524568	794808	661641	443422	575454	10489	0	25690	0	25111	0	1224	0	0
Uridine diphosphate-N-acetylglucosamine	142         Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	[M+H]+	11.2	13.2	15.0	0.2	608.0889	608.0868	-3.4	S09198	12.44	12.41	12.52	0.1	12	121648	179520	246628	290900	171733	296929	282007	235335	326077	4658	0	14176	0	7987	0	0	0	0
Uridine triphosphate	143         Uridine triphosphate	C9H15N2O15P3	[M-H]-	15.0	18.0	15.0	0.2	482.9613	482.9609	-0.7	S09198	15.63	15.46	15.85	0.39	17	8562	13644	7050	18554	14062	22249	22934	15567	24245	2349	0	7561	2151	6139	2156	1179	4579	4681
Valerylcarnitine	144         Valerylcarnitine	C12H23NO4	[M+H]+	3.6	5.7	15.0	0.2	246.17	246.1687	-5.2	S09195	4.87	4.69	5.12	0.43	18	21193	25155	26175	25749	18582	46899	36789	20732	32777	2659	2399	2532	3122	2527	2959	2694	2738	2188
Xanthine	145         Xanthine	C5H4N4O2	[M-H]-	7.5	9.4	15.0	0.2	151.0261	151.0252	-6.3	S09195	8.63	8.39	8.79	0.39	18	61450	66346	92926	159477	66972	6953216	82868	54178	67823	7567	2810	9027	5958	2765	5767	8124	6098	6206
Xanthosine	146         Xanthosine	C10H12N4O6	[M-H]-	6.7	8.7	15.0	0.2	283.0684	283.0685	0.3	S09195	8.02	7.86	8.02	0.16	2	0	0	0	0	0	34607	0	0	0	0	0	0	0	1287	0	0	0	0
Xanthylic acid	147         Xanthylic acid	C10H13N4O9P	[M-H]-	11.0	13.0	15.0	0.2	363.0347	363.0399	14.2	SQ530_ISTD_1	11.78	11.78	11.78	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2121	0
