Skeleton_Metabolite	Metabolite	Formula	Ion Type	RT Start (min)	RT End (min)	m/z Tolerance (ppm)	RT Tolerance (min)	mz	obs_mz	ppm	winner	RT	RT_min	RT_max	RT_range	detections	S09190	S09191	S09192	S09193	S09194	S09195	S09196	S09197	S09198	SQ530_Blank_0	SQ530_Blank_1	SQ530_Blank_2	SQ530_Blank_3	SQ530_Blank_4	SQ530_Blank_5	SQ530_ISTD_0	SQ530_ISTD_1	SQ530_ISTD_2
Adenylsuccinic acid	18         Adenylsuccinic acid	C14H18N5O11P	[M-H]-	14.5	16.5	15.0	0.2	462.0668	462.0646	-4.7	SQ530_ISTD_0	16.49	16.49	16.49	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1421	0	0
ADP	19         ADP	C10H15N5O10P2	[M-H]-	11.1	13.1	15.0	0.2	426.0221	426.0208	-3.2	S09195	12.56	12.48	12.61	0.13	18	44244	51424	29839	72885	53543	91215	66212	38021	64951	11179	6312	35935	16236	28159	14097	9908	22403	17160
Allantoin	20         Allantoin	C4H6N4O3	[M-H]-	9.3	11.3	15.0	0.2	157.0367	157.0361	-3.9	S09197	10.4	10.38	10.47	0.09	10	21376	28825	23860	21673	23964	23974	35266	37202	26125	0	1468	0	0	0	0	0	0	0
Aminoadipic acid	21         Aminoadipic acid	C6H11NO4	[M-H]-	5.9	7.9	15.0	0.2	160.0615	160.0607	-5.2	S09195	7.04	6.88	7.22	0.35	18	742392	1060873	1429260	1342694	1153650	1840811	1466279	1212977	1407958	11307	6267	8441	8499	11340	6416	9954	7446	7104
Argininosuccinic acid	22         Argininosuccinic acid	C10H18N4O6	[M-H]-	12.5	14.5	15.0	0.2	289.1154	289.1148	-1.9	S09196	13.75	13.69	13.86	0.16	11	7067	8504	9938	10726	8616	18863	56743	33117	48657	1308	0	1469	0	0	0	0	0	0
Beta-Alanine	23         Beta-Alanine	C3H7NO2	[M+H]+	9.8	10.5	15.0	0.2	90.055	90.0556	7.2	S09193	10.36	10.28	10.41	0.14	18	329600	325932	364121	474096	334952	347633	365492	305142	321970	150852	131281	163043	141324	150280	136784	149427	161741	151450
Betaine	24         Betaine	C5H11NO2	[M+H]+	7.0	8.2	15.0	0.2	118.0863	118.0864	1.2	S09195	7.9	7.74	8.1	0.36	18	26708842	32589060	35277420	35828344	31241926	39124040	38536012	32842210	34507180	1055044	767064	1072767	788531	959051	810498	775755	749553	755478
Butyrylcarnitine	25         Butyrylcarnitine	C11H21NO4	[M+H]+	4.2	6.2	15.0	0.2	232.1543	232.1543	-0.2	S09195	5.71	5.47	5.93	0.46	18	1112232	1834422	2242588	2344046	1751426	2933315	2856718	1796824	2315923	10011	5891	5658	2867	3635	2731	5614	2661	2688
Carbamoyl phosphate	26         Carbamoyl phosphate	CH4NO5P	[M-H]-	27.0	30.0	15.0	0.2	139.9754	139.9749	-3.8	S09194	27.31	27.09	27.5	0.41	18	3276	2136	2115	4356	5037	3852	4245	4498	2067	1895	1689	1803	1211	1662	2273	2015	1841	2272
Carnosine	27         Carnosine	C9H14N4O3	[M+H]+	10.6	12.6	15.0	0.2	227.1139	227.1122	-7.3	S09190	11.9	11.67	12.12	0.45	7	42135	0	0	0	0	0	0	0	0	3130	1724	0	3033	0	2862	2419	3661	0
CDP	28         CDP	C9H15N3O11P2	[M+H]+	13.0	15.0	15.0	0.2	404.0255	404.0258	0.8	S09198	14.38	14.31	14.55	0.23	13	2310	3309	1994	3821	3508	6467	4595	2558	6552	0	0	2643	0	2026	1617	0	2139	0
Choline	29         Choline	C5H14NO	[Cat]+	11.0	15.0	15.0	0.2	104.10700000000001	104.1074	3.9	S09195	14.04	14.04	14.22	0.18	18	115059616	124910208	131269152	137897744	125723368	163344592	146746464	107011584	134810864	17522408	3349662	22708362	4774376	21030314	4622318	6792034	8249005	7943984
cis-Aconitic acid	30         cis-Aconitic acid	C6H6O6	[M-H]-	14.1	16.1	15.0	0.2	173.0092	173.0083	-5.0	S09196	15.33	15.25	15.38	0.13	18	2621500	3199978	3386901	4383227	3075470	4408516	6663232	4442668	6280930	271641	42030	788123	82112	472306	65829	91033	165718	98195
Citric acid	31         Citric acid	C6H8O7	[M-H]-	14.2	16.2	15.0	0.2	191.0197	191.0191	-3.3	S09196	15.39	15.28	15.62	0.35	18	95491	192203	105378	709935	200784	1074635	1104618	409391	1022127	131285	72793	144096	89403	122115	63192	91566	86741	79125
Citrulline	32         Citrulline	C6H13N3O3	[M+H]+	10.9	12.9	15.0	0.2	176.10299999999995	176.1029	-0.4	S09195	12.21	12.1	12.24	0.14	18	751697	561590	473597	3529372	530744	15833396	232399	260649	225963	119952	70199	338515	119743	123071	81166	111939	89405	72409
Creatine	33         Creatine	C4H9N3O2	[M+H]+	10.0	11.5	15.0	0.2	132.0768	132.0767	-0.4	S09196	10.96	10.88	10.96	0.08	18	150419264	174162800	188712208	199487184	175832224	225026064	229429264	178608800	204384832	9468035	502326	13914363	609201	12082580	228243	1312917	1338440	656125
Creatinine	34         Creatinine	C4H7N3O	[M+H]+	5.2	7.2	15.0	0.2	114.0662	114.0665	2.7	S09190	6.54	6.52	6.62	0.1	18	6828964	3526737	4573870	4309227	3593546	6506322	4610216	3533402	4009428	1010921	474054	376894	383130	252297	132394	877591	417369	166029
Cyclic AMP	35         Cyclic AMP	C10H12N5O6P	[M-H]-	5.8	7.8	15.0	0.2	328.0452	328.0441	-3.5	S09195	7.04	6.89	7.04	0.15	9	10836	6684	16708	15508	12625	18128	17182	14512	13517	0	0	0	0	0	0	0	0	0
Cytidine	36         Cytidine	C9H13N3O5	[M+H]+	7.1	9.1	15.0	0.2	244.0928	244.0927	-0.4	S09195	8.49	8.41	8.72	0.31	18	103697	212378	121712	233866	149148	4807023	912246	237084	132736	14165	11081	13382	11720	13224	11925	13617	12749	12290
Cytidine monophosphate	37         Cytidine monophosphate	C9H14N3O8P	[M+H]+	11.8	13.8	15.0	0.2	324.0591	324.0567	-7.5	S09195	12.55	12.49	12.74	0.25	16	21553	27048	24921	32391	27118	45617	42436	27720	28402	1943	0	2265	1835	2709	1604	1577	1673	0
Cytidine triphosphate	38         Cytidine triphosphate	C9H16N3O14P3	[M-H]-	15.0	20.0	15.0	0.2	481.9772	481.9772	-0.1	S09195	16.55	16.41	16.79	0.38	11	4371	1900	1322	2400	1995	6149	4342	1484	3735	0	0	2196	0	1473	0	0	0	0
Cytosine	39         Cytosine	C4H5N3O	[M+H]+	9.0	11.0	15.0	0.2	112.0505	112.0509	3.2	S09195	9.35	9.1	9.59	0.49	18	69204	52715	52792	53831	72864	87590	60054	48417	67611	64615	39745	36416	44087	40978	34527	45434	47886	38995
D-2-Hydroxyglutaric acid	40         D-2-Hydroxyglutaric acid	C5H8O5	[M-H]-	11.6	13.6	15.0	0.2	147.0299	147.0289	-6.8	S09196	12.56	12.36	12.64	0.28	18	648087	886967	1105866	1302175	1041870	1588352	4405415	2849337	3546333	41984	28321	36769	28055	35711	25170	30900	31656	26024
D-Glucose	41         D-Glucose	C6H12O6	[M-H]-	9.0	11.0	15.0	0.2	179.0561	179.0553	-4.5	S09195	11.02	10.77	11.03	0.26	18	13571387	15191066	19322880	17496420	16404799	20517378	19872596	16799792	18797498	1161183	21438	1539049	41494	1383346	28551	36225	67835	34520
D-Glyceraldehyde 3-phosphate	42         D-Glyceraldehyde 3-phosphate	C3H7O6P	[M-H]-	13.0	14.0	15.0	0.2	168.9908	168.9903	-2.7	S09193	13.46	13.32	13.64	0.32	12	2602	4418	2839	10213	3007	3259	2036	4580	2197	1576	0	1266	0	1990	0	0	0	0
Dihydrofolic acid	43         Dihydrofolic acid	C19H21N7O6	[M+H]+	13.0	16.0	15.0	0.2	444.1626	444.1619	-1.6	S09196	13.36	13.14	13.36	0.21	2	0	0	0	0	0	0	2460	0	0	0	0	1557	0	0	0	0	0	0
Dihydroxyacetone phosphate	44         Dihydroxyacetone phosphate	C3H7O6P	[M-H]-	12.0	13.0	15.0	0.2	168.9908	168.99	-4.4	S09195	12.6	12.49	12.66	0.18	17	79909	151295	168670	226576	148612	271372	165205	90656	145496	5751	0	16291	1142	10229	1389	1734	2501	1847
