Metabolite	Formula	Ion Type	RT Start (min)	RT End (min)	m/z Tolerance (ppm)	RT Tolerance (min)	mz	obs_mz	ppm	winner	RT	RT_min	RT_max	RT_range	detections	S09012	S09013	S09014	S09015	S09016	S09017	S09018	S09019	S09020	S09021	SQ515_Blank_0	SQ515_Blank_1	SQ515_Blank_2	SQ515_Blank_3	SQ515_Blank_4	SQ515_Blank_5	SQ515_ISTD_0	SQ515_ISTD_1	SQ515_ISTD_2
N-Acetylglutamic acid	C7H11NO5	[M+H]+	10.3	12.3	15.0	0.2	190.0710	190.0707	-1.6	S09021	11.48	11.23	11.68	0.45	19	3105611	2513145	3013924	2908832	3575236	2894639	3650548	3249678	4469290	4493754	9166	8737	39468	8802	40995	8094	8826	12417	11155
N-Acetylglutamine	C7H12N2O4	[M-H]-	6.8	8.8	15.0	0.2	187.0724	187.0712	-6.6	S09021	7.90	7.67	8.12	0.45	19	51326	24300	37802	31924	35622	34891	48173	34399	30237	65248	2235	2930	2874	1759	1442	1350	1482	1684	1856
N-Acetyl-L-alanine	C5H9NO3	[M+H]+	6.0	7.0	15.0	0.2	132.0655	132.0654	-0.9	S09012	6.54	6.31	6.77	0.46	19	1069945	532368	809953	632532	562569	944859	658103	606925	690367	853902	27167	42150	47991	45013	42738	56091	38592	54844	48880
N-Acetyl-L-methionine	C7H13NO3S	[M+H]+	3.0	5.0	15.0	0.2	192.0689	192.0686	-1.5	S09020	4.17	4.05	4.41	0.36	12	214699	123233	178366	90447	140647	168860	155440	110456	259576	143456	0	0	0	0	1973	0	0	0	2135
N-Acetyl-L-phenylalanine	C11H13NO3	[M+H]+	2.8	4.0	15.0	0.2	208.0968	208.0972	1.8	SQ515_Blank_5	3.60	3.45	3.63	0.18	19	77809	76328	85034	70930	61330	60130	81821	69685	109834	93066	86134	96755	84712	83023	92090	109945	70352	90529	81591
N-Acetylornithine	C7H14N2O3	[M+H]+	8.6	10.6	15.0	0.2	175.1077	175.1076	-0.7	S09012	10.51	10.29	10.56	0.27	19	26198	9989	8774	5737	6223	4221	3466	4113	5284	4529	8208	7245	6453	3285	5114	6734	7570	3727	3774
N-Acetylserine	C5H9NO4	[M-H]-	7.5	8.5	15.0	0.2	146.0459	146.0447	-8.1	S09021	8.11	8.02	8.34	0.32	19	1351488	843711	1300995	1105198	861376	1180084	1135828	969332	1099824	1803763	11461	10445	11949	6701	7383	7878	12498	12584	9897
NAD	C21H28N7O14P2	[Cat]+	9.9	11.9	15.0	0.2	664.1164	664.1133	-4.7	S09021	10.98	10.83	11.04	0.21	13	332465	104861	303718	283896	277277	353916	553066	401799	474100	986904	0	0	21156	0	8928	0	0	5466	0
NADH	C21H29N7O14P2	[M-H]-	9.5	11.5	15.0	0.2	664.1175	664.1162	-2.0	S09021	10.57	10.44	10.65	0.21	12	113718	48905	59767	75015	70565	181852	276941	199048	119975	345400	0	0	2763	0	2967	0	0	0	0
NADP	C21H29N7O17P3	[Cat]+	12.7	14.7	15.0	0.2	744.0827	744.0787	-5.4	S09012	13.87	13.69	14.02	0.33	9	16458	0	2419	2012	6936	14568	12406	0	8267	14858	0	0	0	0	0	0	2561	0	0
NADPH	C21H30N7O17P3	[M-H]-	13.0	15.0	15.0	0.2	744.0838	744.0809	-3.9	S09020	14.44	14.35	14.50	0.15	6	1760	0	1603	2075	0	0	0	0	4032	2260	0	0	0	0	0	1112	0	0	0
Niacinamide	C6H6N2O	[M+H]+	3.3	5.3	15.0	0.2	123.0553	123.0551	-1.5	S09014	4.70	4.55	4.80	0.25	19	247812816	220779760	260786192	206736032	240250480	173422032	191712432	138056592	207628256	160859616	261024	190025	571822	315128	618879	318544	171827	321589	368104
Nicotinic acid	C6H5NO2	[M-H]-	5.5	7.5	15.0	0.2	122.0248	122.0239	-7.0	SQ515_ISTD_0	7.25	7.01	7.47	0.46	19	19208	29577	22785	19258	23655	19805	13538	16709	21606	21770	21667	26852	21372	16411	14421	12548	31059	17134	14687
O-Phosphoethanolamine	C2H8NO4P	[M+H]+	11.4	13.4	15.0	0.2	142.0264	142.0262	-1.2	S09012	12.59	12.59	12.78	0.19	19	9571842	4161433	6102490	4481172	5542270	7601766	5999430	2988106	5845129	7309434	158857	17582	642577	76202	803313	104534	46744	218277	279289
Ornithine	C5H12N2O2	[M+H]+	17.0	19.0	15.0	0.2	133.0972	133.0970	-1.2	S09014	17.01	17.00	17.05	0.04	19	2939192	2531106	3488863	2366132	2845669	3464116	3261784	3032206	2593053	2734681	1213780	219615	1609912	503536	1224771	332482	571147	965452	644872
Orotic acid	C5H4N2O4	[M-H]-	6.7	8.7	15.0	0.2	155.0098	155.0090	-5.4	S09012	7.63	7.42	7.85	0.44	17	37998	18410	23530	17017	18568	15358	13796	4230	15315	5489	2697	2135	1285	2156	1807	0	2159	0	1517
Orotidylic acid	C10H13N2O11P	[M+H]+	0.0	30.0	15.0	0.2	369.0330	369.0378	13.1	SQ515_Blank_5	3.47	3.47	3.47	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6447	0	0	0
Oxidized glutathione	C20H32N6O12S2	[M+H]+	13.5	15.5	15.0	0.2	613.1592	613.1583	-1.5	S09021	14.53	14.53	14.66	0.13	19	1048096	889339	1047499	887499	1198730	1269156	2762693	1164026	1305118	3401489	18364	6994	60825	17929	62931	17753	9737	26808	27437
Oxoadipic acid	C6H8O5	[M-H]-	7.5	9.5	15.0	0.2	159.0299	159.0287	-7.5	S09021	9.08	8.84	9.32	0.48	19	8212	3293	6656	5403	6558	7220	7967	6868	7727	8462	5784	2778	5838	3070	5502	2752	6516	2625	2867
Oxoglutaric acid	C5H6O5	[M-H]-	10.8	14.8	15.0	0.2	145.0142	145.0131	-7.9	S09021	12.87	12.62	12.95	0.33	19	894732	299939	290742	302583	197363	359690	724831	266337	386667	1085273	35855	32758	35940	39357	35907	32643	30263	30400	34097
Palmitic acid	C16H32O2	[M-H]-	1.6	3.6	15.0	0.2	255.2330	255.2322	-3.0	S09021	2.95	2.93	3.02	0.09	19	21525510	17983484	17141634	9683859	13815703	30083154	23663318	25235216	16240514	53318348	15604261	16932926	13936874	14736399	14794286	14702808	14148474	12076899	11290231
Pantothenic acid	C9H17NO5	[M+H]+	5.1	7.1	15.0	0.2	220.1180	220.1176	-1.6	S09021	6.25	6.03	6.47	0.44	19	40755160	41103604	67598480	33861844	52682724	48944844	74228832	54108588	56941324	88123976	8829	6763	51029	6931	43324	8240	4422	6688	5923
Phenol	C6H6O	[M-H]-	2.1	4.1	15.0	0.2	93.0346	93.0332	-14.9	SQ515_Blank_3	3.53	3.49	3.60	0.11	19	407028	543631	663393	509162	473823	633208	833074	806072	542345	839076	606766	834598	898679	1000887	905452	904991	639429	881156	940317
Phosphocreatine	C4H10N3O5P	[M-H]-	11.2	13.2	15.0	0.2	210.0285	210.0278	-3.5	S09021	12.33	12.19	12.57	0.38	15	171384	192412	39161	44989	76876	71412	248103	113422	231671	260105	0	0	8602	0	5369	0	1495	1460	1735
Phosphoenolpyruvic acid	C3H5O6P	[M-H]-	13.6	15.6	15.0	0.2	166.9751	166.9741	-6.0	S09017	14.86	14.78	14.89	0.11	18	326562	70805	91822	85529	102201	337100	335034	89922	169376	239931	3222	0	26153	9426	26188	6124	2692	11566	6278
Phosphoribosyl pyrophosphate	C5H13O14P3	[M-H]-	15.0	18.0	15.0	0.2	388.9445	388.9389	-14.5	S09014	17.26	17.26	17.26	0.00	1	0	0	1187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phosphorylcholine	C5H14NO4P	[M+H]+	10.0	13.0	15.0	0.2	184.0733	184.0728	-2.8	S09012	11.55	11.52	11.69	0.17	19	496861120	294271712	443375104	326147744	359408736	331658912	401768704	288157792	323633728	388364256	4045299	50062	19850316	370296	25298714	428133	225951	2428960	2695280
Phosphoserine	C3H8NO6P	[M+H]+	11.5	13.5	15.0	0.2	186.0162	186.0162	-0.0	S09019	11.71	11.71	11.83	0.12	2	0	0	0	0	0	0	0	32127	0	0	0	0	0	0	0	0	1505	0	0
Pipecolic acid	C6H11NO2	[M+H]+	7.5	9.5	15.0	0.2	130.0863	130.0861	-1.2	S09012	8.67	8.44	8.85	0.41	19	4093116	1869388	1809879	2149684	995993	2117936	2207359	1947376	1833820	3246346	71208	56907	82898	59826	96949	53553	71695	60138	59888
Propionylcarnitine	C10H19NO4	[M+H]+	5.2	7.2	15.0	0.2	218.1387	218.1383	-1.8	S09012	6.33	6.14	6.56	0.43	19	16441325	6338510	12890890	11568169	5427207	7749154	7614718	7518942	6725492	12132542	13110	19134	23511	10238	28597	9106	11893	11034	7911
Pyruvic acid	C3H4O3	[M-H]-	5.5	7.5	15.0	0.2	87.0088	87.0075	-14.6	S09018	6.18	5.98	6.33	0.35	19	589807	150463	195266	86852	55639	70421	1052524	74604	59411	982488	51112	32682	47284	32047	32024	39200	44371	36423	30153
Ribose 1-phosphate	C5H11O8P	[M-H]-	11.0	12.4	15.0	0.2	229.0119	229.0112	-3.0	S09014	12.08	11.91	12.25	0.34	19	146356	141948	175099	70891	112437	119818	75980	61759	84450	96180	2698	1537	8958	2329	11465	1685	1288	5483	6758
Saccharopine	C11H20N2O6	[M-H]-	11.0	14.0	15.0	0.2	275.1249	275.1244	-1.7	S09012	12.49	12.25	12.61	0.35	14	170362	62515	112456	98639	64945	48588	70747	47645	39007	120107	0	0	5497	0	9120	0	1389	0	1584
S-Adenosylhomocysteine	C14H20N6O5S	[M-H]-	8.6	10.6	15.0	0.2	383.1143	383.1133	-2.6	S09012	9.71	9.52	9.94	0.42	14	45403	25289	42345	27893	30130	35797	27754	18931	25434	34595	2078	0	1775	0	1572	1275	0	0	0
S-Adenosylmethionine	C15H22N6O5S	[M+H]+	10.7	12.7	15.0	0.2	399.1445	399.1425	-5.1	S09021	12.10	11.95	12.22	0.27	18	564745	266119	444809	305259	407907	364274	406216	133916	277169	566429	14852	2271	21601	0	26643	2848	3790	9194	9536
Sarcosine	C3H7NO2	[M+H]+	11.2	12.0	15.0	0.2	90.0550	90.0553	3.8	S09021	11.21	11.20	11.44	0.23	19	4008691	2933930	6220392	5331256	10603480	9425472	5030046	14554726	7710022	19205220	175372	112518	651265	111745	838312	115227	121910	130201	129948
Succinic acid	C4H6O4	[M-H]-	11.3	13.3	15.0	0.2	117.0193	117.0180	-11.4	S09012	12.32	12.30	12.46	0.16	19	3747668	2766895	3132506	3009917	3409822	3065370	2901708	2500445	2453209	3484746	158521	149194	244610	219139	252123	190529	99039	135555	149722
Taurine	C2H7NO3S	[M-H]-	10.2	12.2	15.0	0.2	124.0074	124.0061	-10.4	S09021	11.42	11.24	11.42	0.17	19	4448018	3101364	2640235	2842524	1856304	4162665	4358871	3183989	4273864	4475948	13239	2127	26705	2472	30895	2399	1869	2118	2499
Thymidine	C10H14N2O5	[M-H]-	3.5	5.5	15.0	0.2	241.0830	241.0830	0.0	S09013	4.78	4.62	4.97	0.35	19	6597	8106	3778	2523	3464	3254	8070	2779	3860	7241	1908	2924	2898	3473	2114	2506	6764	3374	2324
Uracil	C4H4N2O2	[M+H]+	5.4	7.4	15.0	0.2	113.0346	113.0348	2.2	S09012	6.73	6.48	6.95	0.47	19	86517	52681	78546	47790	69022	51385	44178	41233	39470	51293	8798	4307	6556	9132	7672	7432	4342	4478	6690
Ureidopropionic acid	C4H8N2O3	[M-H]-	10.4	12.4	15.0	0.2	131.0462	131.0450	-9.3	S09021	11.53	11.34	11.71	0.37	19	1101983	1077611	1117847	1111917	1171032	673023	1301302	1247519	838526	1780703	12490	2110	49308	1658	43479	2148	2426	2626	6150
Ureidosuccinic acid	C5H8N2O5	[M-H]-	12.8	14.8	15.0	0.2	175.0360	175.0348	-7.1	S09012	13.84	13.59	13.94	0.35	10	5848	2127	1485	2019	1743	2027	1892	0	1466	1727	0	0	0	0	0	1234	0	0	0
Uric acid	C5H4N4O3	[M+H]+	8.8	10.8	15.0	0.2	169.0356	169.0363	4.0	SQ515_ISTD_0	10.66	10.43	10.66	0.23	4	0	0	0	0	0	0	2813	0	0	0	0	0	0	0	0	0	5052	2976	4417
Uridine	C9H12N2O6	[M-H]-	5.5	7.5	15.0	0.2	243.0623	243.0617	-2.3	S09012	6.69	6.47	6.86	0.39	19	853139	515550	688239	366514	368253	401854	360705	271887	404909	417224	2609	6104	7192	4989	7105	5419	1802	4945	5374
Uridine 5'-diphosphate	C9H14N2O12P2	[M+H]+	12.4	14.4	15.0	0.2	405.0095	405.0070	-6.1	S09021	13.46	13.43	13.61	0.18	11	27297	7925	20307	14553	13708	27105	22059	13271	17925	33405	0	0	1696	0	0	0	0	0	0
Uridine 5'-monophosphate	C9H13N2O9P	[M-H]-	11.2	13.2	15.0	0.2	323.0286	323.0281	-1.5	S09012	12.14	12.14	12.29	0.15	19	3678906	1580941	2944668	2053050	2036155	2595074	2840270	1975932	2164303	3260282	14713	2173	107262	6459	72746	6621	2656	12482	12986
Uridine diphosphate glucose	C15H24N2O17P2	[M-H]-	12.4	14.4	15.0	0.2	565.0478	565.0463	-2.6	S09021	13.51	13.40	13.53	0.13	12	358822	87030	236918	196872	100636	258216	261095	170360	204870	434484	0	0	5975	0	9035	0	0	0	0
Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	[M+H]+	11.2	13.2	15.0	0.2	608.0889	608.0853	-5.8	S09021	12.36	12.25	12.42	0.17	12	182302	99071	188100	109293	133963	175193	175148	124197	138365	242253	0	0	3623	0	2521	0	0	0	0
Uridine triphosphate	C9H15N2O15P3	[M-H]-	15.0	18.0	15.0	0.2	482.9613	482.9590	-4.7	S09012	16.66	16.52	16.84	0.32	6	5932	0	1502	1147	0	0	0	1158	0	1234	0	0	0	1245	0	0	0	0	0
Valerylcarnitine	C12H23NO4	[M+H]+	3.6	5.7	15.0	0.2	246.1700	246.1693	-2.8	S09021	5.15	4.92	5.28	0.36	19	9096862	4545344	8860404	8999769	3862454	6096324	7661336	6626929	4512698	11289602	3362	4610	9396	3659	9743	2999	4625	4315	5167
Xanthine	C5H4N4O2	[M-H]-	7.5	9.4	15.0	0.2	151.0261	151.0250	-7.6	S09012	8.51	8.36	8.64	0.28	19	2404869	1510927	2072633	1510266	1366762	1454684	1444123	1565952	1496710	1888183	10120	6224	10861	6001	13298	6764	6215	6953	6533
Xanthosine	C10H12N4O6	[M-H]-	6.7	8.7	15.0	0.2	283.0684	0.0000	0.0		0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xanthylic acid	C10H13N4O9P	[M-H]-	11.0	13.0	15.0	0.2	363.0347	363.0312	-9.8	S09020	11.15	11.15	11.15	0.00	1	0	0	0	0	0	0	0	0	4122	0	0	0	0	0	0	0	0	0	0
