Metabolite	Formula	Ion Type	RT Start (min)	RT End (min)	m/z Tolerance (ppm)	RT Tolerance (min)	mz	obs_mz	ppm	winner	RT	RT_min	RT_max	RT_range	detections	S09012	S09013	S09014	S09015	S09016	S09017	S09018	S09019	S09020	S09021	SQ515_Blank_0	SQ515_Blank_1	SQ515_Blank_2	SQ515_Blank_3	SQ515_Blank_4	SQ515_Blank_5	SQ515_ISTD_0	SQ515_ISTD_1	SQ515_ISTD_2
Argininosuccinic acid	C10H18N4O6	[M-H]-	12.5	14.5	15.0	0.2	289.1154	289.1145	-3.0	S09014	13.58	13.48	13.68	0.20	15	55664	30255	60472	37909	33654	36555	48671	34063	23609	57713	1770	0	6013	0	6397	0	0	1749	1188
Beta-Alanine	C3H7NO2	[M+H]+	9.8	10.5	15.0	0.2	90.0550	90.0553	3.8	S09019	10.32	10.22	10.38	0.16	19	414036	450547	421774	430033	421236	380818	382010	583095	392462	472978	136500	137995	141624	127663	156616	142666	151677	140257	136463
Betaine	C5H11NO2	[M+H]+	7.0	8.2	15.0	0.2	118.0863	118.0862	-0.5	S09012	7.73	7.64	7.94	0.30	19	223060272	88141584	171005440	99899944	102706848	107282848	108511144	69021352	103747536	138729712	1045183	1024161	1608062	1132233	1792726	1136278	874003	1200152	1149757
Butyrylcarnitine	C11H21NO4	[M+H]+	4.2	6.2	15.0	0.2	232.1543	232.1538	-2.3	S09021	5.75	5.52	6.00	0.48	19	7158102	3218878	6425460	5366520	3998587	5220274	7195314	6968354	4509411	11782896	5305	10284	15227	5099	15589	5775	13305	5257	5249
Carbamoyl phosphate	CH4NO5P	[M-H]-	27.0	30.0	15.0	0.2	139.9754	139.9746	-6.0	S09012	27.11	27.01	27.35	0.34	19	4931	1993	2078	4622	2339	1777	2017	1619	1654	1855	1833	1900	1126	1102	1773	1233	1217	1447	1621
Carnosine	C9H14N4O3	[M+H]+	10.6	12.6	15.0	0.2	227.1139	227.1135	-1.6	S09014	11.74	11.50	11.97	0.47	19	103690	27432	105473	50852	67671	94937	80034	70991	78099	88424	3548	2428	4514	2474	3599	2306	2956	2943	2872
CDP	C9H15N3O11P2	[M+H]+	13.0	15.0	15.0	0.2	404.0255	404.0228	-6.6	S09021	14.26	14.21	14.45	0.24	12	6255	0	0	0	2899	6075	2662	0	4907	6445	2982	0	0	1749	1572	0	2714	1745	1868
Choline	C5H14NO	[Cat]+	11.0	15.0	15.0	0.2	104.1070	104.1071	1.1	S09014	14.09	14.05	14.15	0.10	19	204965936	186070256	253328960	144518528	223703072	207709792	205931312	169494000	162889312	186929216	38839616	1236379	36822472	1989385	31791284	1751024	3995749	7076102	5665830
cis-Aconitic acid	C6H6O6	[M-H]-	14.1	16.1	15.0	0.2	173.0092	173.0081	-6.1	S09020	15.19	15.06	15.20	0.14	19	478665	343659	338640	421162	407762	856827	705535	474679	927240	732872	45608	33061	55523	19612	46548	20694	29352	21108	17520
Citric acid	C6H8O7	[M-H]-	14.2	16.2	15.0	0.2	191.0197	191.0188	-4.9	SQ515_Blank_0	15.19	15.12	15.21	0.09	19	149930	56607	110539	66514	71947	111305	75531	131864	106441	76856	266544	127316	86898	76462	55965	49118	164349	90441	71702
Citrulline	C6H13N3O3	[M+H]+	10.9	12.9	15.0	0.2	176.1030	176.1026	-2.1	S09012	11.98	11.98	12.12	0.14	19	3872684	2117396	2150706	2312403	1642891	2003598	2194532	1715641	1381163	3419078	24783	25749	78138	21808	102873	20538	21514	31062	26883
Creatine	C4H9N3O2	[M+H]+	10.0	11.5	15.0	0.2	132.0768	132.0765	-1.9	S09021	10.91	10.72	10.91	0.19	19	1962332800	1936245248	1854166528	1871527552	1839342080	1873253888	1938502784	1814357120	1897494016	1977540480	108591832	541428	383174816	1779391	364024608	2628707	1484448	24735750	23549214
Creatinine	C4H7N3O	[M+H]+	5.2	7.2	15.0	0.2	114.0662	114.0664	1.9	S09021	6.61	6.39	6.65	0.26	19	20241080	15178901	14986530	15107259	16036084	13510684	16440813	14328790	13123609	25021950	878794	956437	1085816	1082537	1134653	1022709	316074	436344	445958
Cyclic AMP	C10H12N5O6P	[M-H]-	5.8	7.8	15.0	0.2	328.0452	328.0454	0.5	S09021	6.87	6.87	7.05	0.18	10	12383	9782	11374	14173	11620	9744	11127	11929	9721	14551	0	0	0	0	0	0	0	0	0
Cytidine	C9H13N3O5	[M+H]+	7.1	9.1	15.0	0.2	244.0928	244.0922	-2.5	S09012	8.32	8.12	8.52	0.40	19	2632104	1993106	2630462	1712451	2291507	1563026	1375270	1292969	975537	1401450	16650	9588	19464	12625	17748	11668	12819	15363	12504
Cytidine monophosphate	C9H14N3O8P	[M+H]+	11.8	13.8	15.0	0.2	324.0591	324.0587	-1.3	S09021	12.90	12.69	12.98	0.29	19	148598	57686	124514	70595	75985	175425	171891	95046	124570	194667	2996	2233	12517	1856	10874	1897	2794	3201	2006
Cytidine triphosphate	C9H16N3O14P3	[M-H]-	15.0	20.0	15.0	0.2	481.9772	481.9740	-6.7	S09015	17.58	17.58	17.70	0.12	2	2158	0	0	2169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cytosine	C4H5N3O	[M+H]+	9.0	11.0	15.0	0.2	112.0505	112.0508	2.3	S09016	9.25	9.03	9.47	0.44	19	54996	48304	59432	39945	81262	74685	60739	56324	46493	45274	46424	36317	44352	34489	39244	30711	48182	34578	42441
D-2-Hydroxyglutaric acid	C5H8O5	[M-H]-	11.6	13.6	15.0	0.2	147.0299	147.0288	-7.5	S09021	12.46	12.22	12.50	0.28	19	2692460	1928353	3523210	1466941	2836508	2721178	3351240	2427516	3414512	3978073	700452	328257	169817	103751	98194	65760	456315	101436	59504
D-Glucose	C6H12O6	[M-H]-	9.0	11.0	15.0	0.2	179.0561	179.0552	-5.1	S09017	11.00	10.79	11.03	0.23	19	145289	239829	80818	162420	84317	504464	352358	155784	233345	165605	9926	13323	27293	12168	25309	16518	12299	11518	17499
D-Glyceraldehyde 3-phosphate	C3H7O6P	[M-H]-	13.0	14.0	15.0	0.2	168.9908	168.9892	-9.2	S09012	13.23	13.23	13.46	0.23	14	34658	19124	20037	20263	22088	26803	33855	10033	27875	24851	0	0	2969	1663	2191	0	0	0	1332
Dihydrofolic acid	C19H21N7O6	[M+H]+	13.0	16.0	15.0	0.2	444.1626	444.1683	12.8	S09021	14.49	14.49	14.49	0.00	1	0	0	0	0	0	0	0	0	0	3507	0	0	0	0	0	0	0	0	0
Dihydroxyacetone phosphate	C3H7O6P	[M-H]-	12.0	13.0	15.0	0.2	168.9908	168.9897	-6.2	S09018	12.38	12.37	12.48	0.11	16	527820	689739	289435	466429	600369	347554	798076	109748	436450	505000	1568	0	6293	1317	12618	1311	0	0	2125
D-Ribose 5-phosphate	C5H11O8P	[M-H]-	12.4	13.8	15.0	0.2	229.0119	229.0111	-3.4	S09012	12.62	12.52	12.85	0.33	16	263339	154286	72807	174706	164393	100038	123898	43511	43241	84087	1229	0	2710	0	13523	1638	0	1637	2203
D-Sedoheptulose 7-phosphate	C7H15O10P	[M-H]-	12.2	14.2	15.0	0.2	289.0330	289.0315	-5.2	S09012	13.17	13.17	13.37	0.20	17	287193	144976	126456	175249	103317	153286	152324	90328	48323	165733	2157	0	12727	1929	15336	1273	0	2018	4219
dTDP	C10H16N2O11P2	[M-H]-	11.0	13.0	15.0	0.2	401.0157	401.0157	0.1	S09012	11.90	11.90	11.90	0.00	1	4441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAD	C27H33N9O15P2	[M+H]+	7.6	9.6	15.0	0.2	786.1644	786.1588	-7.1	S09014	8.81	8.56	8.81	0.24	10	9700	12121	23354	7682	9470	14141	14497	9932	13278	22240	0	0	0	0	0	0	0	0	0
Folic acid	C19H19N7O6	[M+H]+	13.0	16.0	15.0	0.2	442.1470	442.1433	-8.3	S09021	14.11	13.96	14.14	0.19	9	9700	12123	11754	7124	0	11714	12068	15851	9866	17020	0	0	0	0	0	0	0	0	0
"Fructose 1,6-bisphosphate"	C6H14O12P2	[M-H]-	14.1	16.1	15.0	0.2	338.9888	338.9879	-2.6	S09012	16.01	15.94	16.09	0.15	8	13698	1417	0	1489	1667	6186	1128	0	0	2271	0	0	0	0	0	1433	0	0	0
Fructose 6-phosphate	C6H13O9P	[M-H]-	12.6	13.5	15.0	0.2	259.0224	259.0220	-1.7	S09012	12.86	12.81	13.00	0.19	19	3098065	1724968	1016245	1745132	1950590	1098146	1200906	899624	620944	957867	8036	1686	59726	9513	122379	16099	2811	17786	31622
Fumaric acid	C4H4O4	[M-H]-	12.2	14.2	15.0	0.2	115.0037	115.0023	-12.0	S09012	13.13	12.97	13.37	0.40	19	3191776	1752197	2664431	1688685	2199760	2262066	2411114	1296533	2081661	2743448	15788	10744	24488	12792	37978	12662	12874	11248	10194
Glucose 6-phosphate	C6H13O9P	[M-H]-	13.6	14.4	15.0	0.2	259.0224	259.0219	-2.1	S09012	13.80	13.77	13.89	0.12	19	2926662	1989860	1002454	2209347	1436027	1476207	1666412	1263470	611539	1346985	10613	1553	109689	11553	229293	25644	6392	33039	53795
Glutathione	C10H17N3O6S	[M+H]+	10.0	13.0	15.0	0.2	308.0911	308.0898	-4.2	S09012	11.31	11.31	11.52	0.21	19	14580485	4139061	9051809	6284848	6998768	7643094	2170299	2411366	5074030	4163745	13586	11019	16941	8999	48796	11310	14610	11356	17083
Glycerol 3-phosphate	C3H9O6P	[M-H]-	11.5	13.0	15.0	0.2	171.0064	171.0054	-5.9	S09021	12.09	11.88	12.28	0.40	19	4868144	2285858	2423413	3204322	2360226	2986934	3066049	2216214	2336758	4890936	32494	18560	210960	28118	257603	30552	21233	41387	54295
Glycine	C2H5NO2	[M+H]+	10.7	12.7	15.0	0.2	76.0393	76.0398	6.5	S09016	11.82	11.74	11.89	0.15	19	13133504	17085560	21211948	10882535	31916432	13159326	19516536	17672006	12573935	22928096	603684	43390	1995786	60329	1206316	56264	54510	196099	148318
Guanidoacetic acid	C3H7N3O2	[M+H]+	10.7	12.7	15.0	0.2	118.0611	118.0612	0.8	S09018	11.83	11.79	11.91	0.12	19	176095488	102098240	216591648	140039152	148686672	154338672	224574160	160044896	138481168	188943776	7131312	9476	17807348	36042	16388111	53905	27157	1166492	1030791
Guanine	C5H5N5O	[M+H]+	7.7	9.7	15.0	0.2	152.0567	152.0565	-1.2	S09019	8.71	8.60	8.76	0.16	19	269052	344830	530903	391313	273313	264989	414825	625228	228982	433069	35390	42318	53883	36783	38774	39341	27308	20500	22530
Guanosine	C10H13N5O5	[M+H]+	7.7	9.7	15.0	0.2	284.0989	284.0964	-9.0	S09012	8.93	8.69	9.14	0.45	19	152780	129946	129083	115073	126517	119727	121797	138902	78601	133502	6717	11335	13990	9650	12141	8317	3986	11190	7312
Guanosine diphosphate	C10H15N5O11P2	[M-H]-	13.8	15.8	15.0	0.2	442.0171	442.0155	-3.5	S09012	15.47	15.34	15.68	0.34	19	22655	8835	9277	9830	8810	18314	13366	5589	10024	13739	5802	1714	5071	1352	6850	1952	1638	2327	1807
Guanosine monophosphate	C10H14N5O8P	[M+H]+	12.6	14.6	15.0	0.2	364.0653	364.0643	-2.7	S09021	13.68	13.58	13.78	0.20	19	1150304	515618	1137940	487533	716599	1270704	1242262	641865	792911	1516994	14027	1987	53894	8045	40935	5926	10902	23775	13722
Guanosine triphosphate	C10H16N5O14P3	[M-H]-	15.0	17.0	15.0	0.2	521.9834	521.9907	14.0	SQ515_Blank_1	15.40	15.40	15.40	0.00	1	0	0	0	0	0	0	0	0	0	0	0	1302	0	0	0	0	0	0	0
Homocysteine	C4H9NO2S	[M-H]-	7.3	9.3	15.0	0.2	134.0281	134.0291	7.3	S09018	7.27	7.27	7.40	0.14	3	0	0	0	7534	5458	0	9994	0	0	0	0	0	0	0	0	0	0	0	0
Hypotaurine	C2H7NO2S	[M+H]+	10.0	12.0	15.0	0.2	110.0270	110.0271	0.7	S09021	11.24	11.07	11.31	0.24	18	98001816	92122992	109468184	69533680	86550680	90475632	107910096	68801672	111419760	113833184	1582489	0	5110027	3220	5272492	10594	4377	76998	70125
Hypoxanthine	C5H4N4O	[M+H]+	5.8	7.8	15.0	0.2	137.0458	137.0455	-2.1	S09012	6.97	6.82	7.15	0.33	19	125243264	94316072	115546904	81292776	87348016	62650092	48355704	51809944	48610020	53891400	115018	21922	377015	30610	659562	28852	20190	25036	34071
Inosine	C10H12N4O5	[M+H]+	6.4	8.4	15.0	0.2	269.0880	269.0870	-3.9	S09012	7.62	7.47	7.86	0.39	19	24943930	20094640	19165296	18928452	21987628	11233310	7798592	10875168	2569271	8022345	12466	3427	50797	4720	72107	8280	3441	3608	2829
Inosinic acid	C10H13N4O8P	[M+H]+	11.4	13.4	15.0	0.2	349.0544	349.0522	-6.2	S09012	12.44	12.42	12.63	0.21	15	131317	73878	75663	72075	41394	59285	42476	46574	50393	85212	2223	0	2915	0	8975	0	0	1915	2811
L-Acetylcarnitine	C9H17NO4	[M+H]+	6.3	8.3	15.0	0.2	204.1230	204.1225	-2.6	S09021	7.56	7.38	7.72	0.34	19	259377184	151924128	249536992	157095280	215829152	205886976	246666448	201672208	220091168	318049152	75732	13521	1539176	12724	1272966	11677	19350	22574	16450
L-Alanine	C3H7NO2	[M+H]+	10.6	11.2	15.0	0.2	90.0550	90.0553	3.8	S09018	10.99	10.84	11.05	0.21	19	93827752	105059064	131162432	95589160	117989056	94099600	132673400	119402360	104390192	130889560	4433774	176190	18016702	261128	13833393	274793	240905	982770	842690
L-Arginine	C6H14N4O2	[M+H]+	18.5	21.0	15.0	0.2	175.1190	175.1186	-2.0	S09014	19.33	19.27	19.39	0.12	19	62085320	65991216	69130616	65935696	61977064	65499740	65878076	68958520	39607868	61877724	31762728	16297964	51892196	34124316	48241284	32023648	23574050	41269684	40599616
L-Asparagine	C4H8N2O3	[M+H]+	10.3	12.3	15.0	0.2	133.0608	133.0606	-1.3	S09021	11.54	11.35	11.57	0.22	19	2481226	3088566	2934636	3394206	3086331	1838965	3518323	3589738	2286550	4843146	29055	10253	184224	7709	175014	8488	9156	13097	11558
L-Aspartic acid	C4H7NO4	[M-H]-	10.8	12.8	15.0	0.2	132.0302	132.0289	-10.1	S09014	11.90	11.73	11.98	0.24	19	3233755	3893784	7493560	3566734	5097544	3563851	4704470	4697057	3511437	3996469	43058	16593	208934	25224	132895	19066	20051	33618	31084
L-Carnitine	C7H16NO3	[Cat]+	8.3	10.3	15.0	0.2	162.1125	162.1120	-2.9	S09021	9.60	9.45	9.73	0.28	19	339173376	194791504	282707584	235698288	198216512	270174272	281413600	260174112	245563632	374850176	1334340	47013	8587527	57936	7885801	73147	37953	119338	131070
L-Cystathionine	C7H14N2O4S	[M+H]+	12.2	14.2	15.0	0.2	223.0747	223.0743	-1.8	S09012	13.22	13.18	13.45	0.26	15	449931	49300	81868	97284	36697	46076	94466	45824	29579	73533	0	0	5345	0	9741	0	2121	2845	1753
