Metabolite,Before dialysis 1_1,Before dialysis 1_2,Before dialysis 2_1,Before dialysis 2_2,After dialysis 1_1,After dialysis 1_2,After dialysis 2_1,After dialysis 2_2
89         L-Serine,35917232,30778270,37788760,33573504,0,3524055,4374758,4400282
90         L-Threonine,4062626,3308030,3867300,3775303,96331,205893,183840,194681
91         L-Tryptophan,35115000,26154722,35314664,29775320,23699374,20880444,22296776,23480826
92         L-Tyrosine,50511276,39092684,52164680,42700180,6233210,6944206,7141409,8059538
93         L-Valine,306109088,253423712,309408736,274086624,26518938,30387246,32501128,35426936
94         N6-Acetyl-L-lysine,0,0,1177675,780570,954592,0,0,0
95         N-Acetylglutamic acid,118829,94247,107753,109343,33297,34260,42434,31785
96         N-Acetylglutamine,0,46309,0,28471,0,0,0,0
97         N-Acetyl-L-alanine,3661468,3257826,3348944,3681845,379834,397410,394498,396458
98         N-Acetyl-L-methionine,188482,133564,204238,139189,31186,26872,25117,28363
99         N-Acetyl-L-phenylalanine,1282139,942616,1140809,903504,207123,267854,229468,297559
100         N-Acetylornithine,148294816,121706264,154341792,131237568,15233900,18962214,20979818,19460086
101         N-Acetylserine,5694984,4354078,5485296,4722640,153963,156052,158147,184562
102         NAD,0,17183,0,0,0,0,0,0
103         NADH,0,0,0,0,0,0,0,0
104         NADP,0,0,0,0,0,0,0,0
105         NADPH,0,0,0,0,0,0,0,0
106         Niacinamide,130635144,109983136,137625920,114246872,2910494,2701912,2898968,3038739
107         Nicotinic acid,0,0,99151,0,0,0,0,0
108         O-Phosphoethanolamine,0,0,0,0,0,0,0,0
109         Ornithine,24243494,15355125,20550540,20376988,0,0,0,0
110         Orotic acid,47700,43290,44397,41892,0,0,0,0
111         Orotidylic acid,0,0,24359,0,0,0,0,0
112         Oxidized glutathione,0,0,0,0,0,0,0,0
113         Oxoadipic acid,0,0,0,0,0,0,0,0
114         Oxoglutaric acid,3599337,2448706,3435008,2718548,401668,337929,397283,605709
115         Palmitic acid,44431656,40927460,53085688,46591184,61709932,46772312,46697152,64693796
116         Pantothenic acid,217017872,179061824,226230688,190448960,54919396,52222088,49545076,53638988
117         Phenol,0,0,0,0,0,0,0,0
118         Phosphocreatine,0,0,0,0,0,0,0,0
119         Phosphoenolpyruvic acid,0,0,0,0,0,0,0,0
120         Phosphoribosyl pyrophosphate,0,0,0,0,0,0,0,0
121         Phosphorylcholine,623409,303110,408497,323429,135108,114234,78272,142535
122         Phosphoserine,0,0,0,0,0,0,0,0
123         Pipecolic acid,30772066,23020156,28567666,27003710,1321740,1663556,1845967,1779897
124         Propionylcarnitine,48614280,33452022,48595332,36821252,5013042,5021232,5259682,5529336
