Metabolite,RT Start (min),Before dialysis 1_1,Before dialysis 1_2,Before dialysis 2_1,Before dialysis 2_2,After dialysis 1_1,After dialysis 1_2,After dialysis 2_1,After dialysis 2_2,Blank_0,Blank_1,Blank_2,Blank_3,Blank_4,Blank_5,SQ567_ISTD_0,SQ567_ISTD_1,SQ567_ISTD_2
48         FAD,7.6,0,0,0,0,4521,0,0,6464,0,0,0,0,0,0,0,0,0
49         Folic acid,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50         Fructose 1,6-bisphosphate",14.1,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0
51         Fructose 6-phosphate,12.6,26920,14637,23729,17023,12209,13349,22757,18854,3132,0,3619,0,2388,0,1914,0,0
52         Fumaric acid,12.2,7397215,5528028,7005761,6111049,238358,397689,623804,481916,85613,11859,47687,15355,28383,13112,11705,29724,15192
53         Glucose 6-phosphate,13.6,43586,20892,33791,30928,20107,19241,20272,22061,2868,0,8781,0,4718,0,0,1913,1339
54         Glutathione,10.0,31421,24154,29644,0,19020,24875,9979,32853,2367,5578,12307,7580,15120,8348,2516,8126,12451
55         Glycerol 3-phosphate,11.5,180543,110626,145451,143252,31089,45209,59840,61038,77534,1201,8533,1126,5071,0,7007,1844,1156
56         Glycine,10.7,22979668,21048244,23519990,21917264,505873,2183883,2457128,2497179,1850955,18073,230777,20355,47131,17937,17983,25888,16251
57         Guanidoacetic acid,10.7,20912458,18455360,21516784,19714150,383395,1788097,1900482,2005029,1160005,8584,85474,9374,17822,8465,6485,6183,5216
58         Guanine,7.7,110568,40504,64064,45658,2897,78170,64728,12604,38815,3981,0,2385,1881,2236,12731,0,1838
59         Guanosine,7.7,0,0,0,0,0,0,0,0,31896,1291,0,0,0,0,2771,0,0
60         Guanosine diphosphate,13.8,0,0,0,0,0,0,2950,0,0,0,0,0,0,0,0,2061,0
61         Guanosine monophosphate,12.6,0,0,0,0,0,0,0,1123,8457,0,0,0,0,0,1414,0,1052
62         Guanosine triphosphate,15.0,0,0,0,0,0,0,0,0,0,0,1964,0,0,0,0,0,0
63         Homocysteine,7.3,131447,94934,124048,99257,8434,6740,9639,8986,0,0,0,0,0,0,0,0,0
64         Hypotaurine,10.0,1677505,1543790,1937472,1895973,47490,121340,120376,142670,26658,0,3513,0,0,0,0,1380,0
65         Hypoxanthine,5.8,292521088,260497904,294261792,274557696,11670470,14285507,14762492,17059372,1994354,37113,127399,17134,72001,17809,27457,13010,17911
66         Inosine,6.4,238052,193936,234481,203028,5186,14886,6622,14597,4353,1491,0,0,0,0,0,0,0
67         Inosinic acid,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68         L-Acetylcarnitine,6.3,115497200,86557000,118936520,96674080,9607087,10107523,10718598,11543983,33608,7144,51137,6603,30434,8109,8973,7312,6116
69         L-Alanine,10.6,166562416,147670960,166316160,152463216,11527785,24690198,27270406,28413506,8815381,75710,1887541,74586,700459,55206,48029,88738,50321
70         L-Arginine,18.5,19104958,14269178,17864554,18164972,5997068,10053198,10376518,9772261,17483712,2228441,6837401,2761309,4177740,2278900,8685235,4123558,2896667
71         L-Asparagine,10.3,4338355,3142275,4013066,3765274,90567,245121,309706,307966,17461,2708,13478,2110,7997,2343,6437,5016,2608
72         L-Aspartic acid,10.8,13209552,10550244,13222512,11236272,547837,999722,1164335,1247020,64645,2427,49371,5735,15740,5326,2913,9663,5636
73         L-Carnitine,8.3,335746976,265286032,336823456,290538272,20960710,27360636,29599402,32378852,3492554,50897,985319,37349,542172,37603,25119,17567,11381
74         L-Cystathionine,12.2,1848213,631105,1176666,909924,99316,205480,232983,289602,60208,1913,16219,1425,8125,1229,2155,1879,1579
75         L-Cysteine,13.0,14036,11907,7156,10839,43953,27398,23559,49990,2339,1547,12275,2611,12515,2489,2343,5242,7298
76         L-Cystine,11.7,163068,130186,92632,103163,154773,136676,167628,218498,79024,21634,158243,65554,201135,47264,17563,95710,103188
77         L-Glutamic acid,10.0,240878544,193681200,230641072,205825984,34168508,42556112,50268896,51969196,3709638,123844,3522428,70392,1616106,78425,961356,168632,92178
78         L-Glutamine,10.1,562710400,467413856,573554624,512134976,59641256,95418616,107622800,108998720,22057284,37951,8998240,131552,4154360,111612,25498,412543,155683
79         L-Histidine,9.9,117455392,99392072,117450080,106632160,16634672,27641110,31668638,31203492,19790684,250435,5305830,283705,2288426,193629,256511,579585,265142
80         L-Isoleucine,6.0,201582288,159261392,210699152,161911056,29590378,30339730,31459448,35242372,4213472,163646,745950,82502,507437,96855,153913,78355,80582
81         L-Kynurenine,6.0,2277219,1650304,2492018,1802515,4697968,3990146,4193753,4719182,16498,2426,27663,2691,22177,1980,4192,3424,2366
82         L-Lactic acid,6.2,1133503232,943142464,1176138880,1009230272,34281528,36092692,37349224,40048740,860050,735700,1203930,840896,833675,683046,710636,747439,664702
83         L-Leucine,7.5,205144528,159839664,206915968,172001136,28347634,31520728,32434184,33588448,4204922,178049,644664,85897,502541,80659,170095,82201,129941
84         L-Lysine,18.0,25753836,14632469,21553092,22536300,6598486,12078088,11720812,12746246,15438701,391922,3819403,648784,1394069,530327,4739724,1367219,825760
85         L-Malic acid,12.2,114020128,87612336,103835120,100563848,11160340,15399683,19893884,18255718,6033976,117630,3365680,359391,1527718,160352,57953,1407365,386942
86         L-Methionine,6.8,60329688,48089616,60337672,54056068,4897543,5451610,5413209,6297262,357400,27625,68115,6509,33116,5105,31828,4850,4364
87         L-Phenylalanine,5.6,211600800,176315120,221629232,192711312,23188768,22925712,24234962,26160704,285542,47671,254569,21213,156739,16957,51696,27007,32626
88         L-Proline,7.9,611968576,523619776,614130432,532398784,53174788,70695608,74355704,81672480,18702126,404180,3074420,381930,1684989,352281,147070,230791,197441
89         L-Serine,10.8,35917232,30778270,37788760,33573504,1414320,3524055,4374758,4400282,2651498,17594,383533,21870,75157,14947,27465,21403,9566
90         L-Threonine,9.5,4062626,3308030,3867300,3775303,96331,205893,183840,194681,34603,2804,23732,4913,11172,3205,2836,5501,1866
91         L-Tryptophan,6.8,35115000,26154722,35314664,29775320,23699374,20880444,22296776,23480826,392722,7316,387433,2388,230765,2186,2754,5138,4016
92         L-Tyrosine,8.2,50511276,39092684,52164680,42700180,6233210,6944206,7141409,8059538,508376,9432,119947,8564,79864,6008,10380,8225,8532
93         L-Valine,8.3,306109088,253423712,309408736,274086624,26518938,30387246,32501128,35426936,9632568,113029,1143420,98242,672887,93791,168055,82733,53381
94         N6-Acetyl-L-lysine,1.9,84110,59264,1177675,780570,954592,208252,47624,67826,78730,129994,111718,113504,49758,93892,29108,64719,43494
95         N-Acetylglutamic acid,10.3,118829,94247,107753,109343,33297,34260,42434,31785,15489,2310,2270,1652,1626,1477,2721,1626,1721
96         N-Acetylglutamine,6.8,0,46309,0,28471,1925,3091,4297,2406,3040,0,2437,1699,2232,1678,1909,1799,2099
97         N-Acetyl-L-alanine,6.0,3661468,3257826,3348944,3681845,379834,397410,394498,396458,21175,12504,15770,10483,11291,9853,20606,11798,12011
98         N-Acetyl-L-methionine,3.0,188482,133564,204238,139189,31186,26872,25117,28363,0,0,0,0,0,1456,0,0,0
99         N-Acetyl-L-phenylalanine,2.8,1282139,942616,1140809,903504,207123,267854,229468,297559,19282,27640,26440,34623,15767,33839,17511,28429,17547
100         N-Acetylornithine,8.6,148294816,121706264,154341792,131237568,15233900,18962214,20979818,19460086,1780904,4492,414348,2450,197069,2265,2661,8884,2449
101         N-Acetylserine,7.5,5694984,4354078,5485296,4722640,153963,156052,158147,184562,30799,2427,4741,2251,2467,1968,16314,2090,1342
102         NAD,9.9,0,17183,0,0,0,0,0,8551,0,0,0,1468,0,0,1310,0,0
103         NADH,9.5,0,0,0,0,6121,8843,0,0,0,0,0,0,1398,0,0,0,0
104         NADP,12.7,13510,1545,6587,0,0,1970,5924,0,3572,0,4562,0,2628,1418,6470,2504,2475
105         NADPH,13.0,0,0,0,0,0,2277,2412,0,0,0,0,0,0,0,0,0,0
106         Niacinamide,3.3,130635144,109983136,137625920,114246872,2910494,2701912,2898968,3038739,152538,128444,111468,110168,61335,84948,120436,124847,81219
107         Nicotinic acid,5.5,82670,41354,99151,41103,19144,21350,31503,24852,57499,33640,20476,18469,17504,18143,55681,21151,15137
108         O-Phosphoethanolamine,11.4,0,0,0,0,0,0,0,0,3582,0,0,0,0,0,0,0,0
109         Ornithine,17.0,24243494,15355125,20550540,20376988,4714820,10853579,9842056,9877207,17538174,918305,5606915,1242942,2673236,916615,5667496,2388940,1538972
110         Orotic acid,6.7,47700,43290,44397,41892,2375,2131,0,2719,1824,1428,1279,0,0,0,0,0,0
111         Orotidylic acid,0.0,0,0,24359,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112         Oxidized glutathione,13.5,0,1511,0,0,5006,0,0,0,0,0,2345,1093,0,0,0,0,0
113         Oxoadipic acid,7.5,6221,0,6796,0,2062,1887,2766,1943,10769,2055,2068,2191,1680,4796,6738,2275,2007
