,Skeleton_Metabolite,Metabolite,Formula,Ion Type,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,Before dialysis 1_1,Before dialysis 1_2,Before dialysis 2_1,Before dialysis 2_2,After dialysis 1_1,After dialysis 1_2,After dialysis 2_1,After dialysis 2_2,Blank_0,Blank_1,Blank_2,Blank_3,Blank_4,Blank_5,ttest_pval,1/pvalue,Control_Mean,Treatment_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
61,Guanosine triphosphate,62         Guanosine triphosphate,C10H16N5O14P3,[M-H]-,15.0,17.0,15.0,0.2,521.9834,521.9783,-9.8,SQ567_Blank_2,16.37,16.37,16.37,0.0,10982.0,10982.0,10982.0,10982.0,10982.0,10982.0,10982.0,10982.0,0,0,1964,0,0,0,NA,NA,10982.0,10982.0,0.0,1.0,10982.0,10982.0,0.0,0
62,Homocysteine,63         Homocysteine,C4H9NO2S,[M-H]-,7.3,9.3,15.0,0.2,134.0281,134.0274,-5.4,S10228,8.47,8.38,8.47,0.09,131447.0,94934.0,124048.0,99257.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,2.7940361142543764e-05,35790.51805731089,112421.5,10000.0,3.4908460644069095,11.24215,10000.0,61210.75,24629.0,4
63,Hypotaurine,64         Hypotaurine,C2H7NO2S,[M+H]+,10.0,12.0,15.0,0.2,110.027,110.0272,1.6,S10230,11.23,11.02,11.28,0.26,1677505.0,1543790.0,1937472.0,1895973.0,47490.0,121340.0,120376.0,142670.0,26658,0,3513,0,0,0,2.3114340373909795e-06,432631.85703051486,1763685.0,107969.0,4.029903862627986,16.33510544693384,25085.5,935827.0,6613571.0,8
64,Hypoxanthine,65         Hypoxanthine,C5H4N4O,[M+H]+,5.8,7.8,15.0,0.2,137.0458,137.0455,-2.1,S10230,7.0,6.76,7.09,0.33,292521088.0,260497904.0,294261792.0,274557696.0,11670470.0,14285507.0,14762492.0,17059372.0,1994354,37113,127399,17134,72001,17809,5.234486296381002e-08,19104071.409860715,280459620.0,14444460.25,4.279204869065485,19.41641398473162,1142905.0,147452040.125,54694762616.0,8
65,Inosine,66         Inosine,C10H12N4O5,[M+H]+,6.4,8.4,15.0,0.2,269.088,269.0889,3.2,S10228,7.68,7.56,7.86,0.31,238052.0,193936.0,234481.0,203028.0,12922.0,14886.0,12922.0,14597.0,4353,1491,0,0,0,0,1.6956060291493184e-06,589759.6392138908,217374.25,13831.75,3.974125446197462,15.71559997831077,12922.0,115603.0,1071458.0,6
66,Inosinic acid,67         Inosinic acid,C10H13N4O8P,[M+H]+,11.4,13.4,15.0,0.2,349.0544,0.0,0.0,NA,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
67,L-Acetylcarnitine,68         L-Acetylcarnitine,C9H17NO4,[M+H]+,6.3,8.3,15.0,0.2,204.123,204.1227,-1.6,S10230,7.66,7.44,7.78,0.33,115497200.0,86557000.0,118936520.0,96674080.0,9607087.0,10107523.0,10718598.0,11543983.0,33608,7144,51137,6603,30434,8109,1.8710068736804977e-05,53447.15800177038,104416200.0,10494297.75,3.3146680272869284,9.949803453975756,78517.5,57455248.875,30554053.0,8
68,L-Alanine,69         L-Alanine,C3H7NO2,[M+H]+,10.6,11.2,15.0,0.2,90.055,90.0553,3.8,S10228,11.05,10.81,11.05,0.24,166562416.0,147670960.0,166316160.0,152463216.0,11527785.0,24690198.0,27270406.0,28413506.0,8815381,75710,1887541,74586,700459,55206,6.064954671113649e-07,1648816.9396596325,158253188.0,22975473.75,2.7840680479051367,6.8879183829669675,5814441.5,90614330.875,1029099390.0,8
69,L-Arginine,70         L-Arginine,C6H14N4O2,[M+H]+,18.5,21.0,15.0,0.2,175.11900000000003,175.1187,-1.4,S10228,20.27,20.23,20.47,0.25,19104958.0,17893751.5,17893751.5,18164972.0,17893751.5,17893751.5,17893751.5,17893751.5,17483712,2228441,6837401,2761309,4177740,2278900,0.2446930827881697,4.086752222847664,18264358.25,17893751.5,0.02957517682740601,1.020711517649052,17893751.5,18079054.875,75.0,2
70,L-Asparagine,71         L-Asparagine,C4H8N2O3,[M+H]+,10.3,12.3,15.0,0.2,133.0608,133.0606,-1.3,S10228,11.52,11.29,11.54,0.25,4338355.0,3142275.0,4013066.0,3765274.0,90567.0,245121.0,309706.0,307966.0,17461,2708,13478,2110,7997,2343,8.81474462767574e-06,113446.2814566732,3814742.5,238340.0,4.000492675760975,16.0054648821012,33048.5,2026541.25,3679714.0,8
71,L-Aspartic acid,72         L-Aspartic acid,C4H7NO4,[M-H]-,10.8,12.8,15.0,0.2,132.0302,132.0291,-8.6,S10230,11.69,11.44,11.8,0.35,13209552.0,10550244.0,13222512.0,11236272.0,547837.0,999722.0,1164335.0,1247020.0,64645,2427,49371,5735,15740,5326,4.153205479744433e-06,240777.87744360167,12054645.0,989728.5,3.606412532339131,12.179749294882384,81622.0,6522186.75,19127057.0,8
72,L-Carnitine,73         L-Carnitine,C7H16NO3,[Cat]+,8.3,10.3,15.0,0.2,162.1125,162.1122,-1.7,S10230,9.69,9.45,9.72,0.26,335746976.0,265286032.0,336823456.0,290538272.0,20960710.0,27360636.0,29599402.0,32378852.0,3492554,50897,985319,37349,542172,37603,4.211735767097326e-06,237431.7989775477,307098684.0,27574900.0,3.477274770968081,11.136892028620231,2582947.0,167336792.0,442480699.0,8
73,L-Cystathionine,74         L-Cystathionine,C7H14N2O4S,[M+H]+,12.2,14.2,15.0,0.2,223.0747,223.0743,-1.8,S10228,13.26,13.01,13.36,0.35,1848213.0,631105.0,1176666.0,909924.0,99316.0,205480.0,232983.0,289602.0,60208,1913,16219,1425,8125,1229,0.012138499287842408,82.38250678991042,1141477.0,206845.25,2.464278057535359,5.518507193179442,54559.5,674161.125,306.0,8
74,L-Cysteine,75         L-Cysteine,C3H7NO2S,[M+H]+,13.0,17.0,15.0,0.2,122.027,122.0273,2.2,S10235,13.26,13.01,13.47,0.46,26888.0,26888.0,26888.0,26888.0,43953.0,27398.0,26888.0,49990.0,2339,1547,12275,2611,12515,2489,0.1331471357200136,7.510488262419964,26888.0,37057.25,-0.4627933759010514,0.7255800147069736,26888.0,31972.625,0.0,3
75,L-Cystine,76         L-Cystine,C6H12N2O4S2,[M-H]-,11.7,13.7,15.0,0.2,239.0166,239.0155,-4.5,S10235,12.67,12.45,12.72,0.27,296427.0,296427.0,296427.0,296427.0,296427.0,296427.0,296427.0,296427.0,79024,21634,158243,65554,201135,47264,NA,NA,296427.0,296427.0,0.0,1.0,296427.0,296427.0,0.0,0
76,L-Glutamic acid,77         L-Glutamic acid,C5H9NO4,[M+H]+,10.0,13.0,15.0,0.2,148.0604,148.0601,-2.3,S10228,11.5,11.33,11.61,0.27,240878544.0,193681200.0,230641072.0,205825984.0,34168508.0,42556112.0,50268896.0,51969196.0,3709638,123844,3522428,70392,1616106,78425,5.79259881608204e-06,172634.08562382945,217756700.0,44740678.0,2.2830580844894492,4.867085384803511,4570416.5,131248689.0,110278408.0,8
77,L-Glutamine,78         L-Glutamine,C5H10N2O3,[M+H]+,10.1,12.1,15.0,0.2,147.0764,147.0761,-2.2,S10230,11.27,11.04,11.42,0.38,562710400.0,467413856.0,573554624.0,512134976.0,59641256.0,95418616.0,107622800.0,108998720.0,22057284,37951,8998240,131552,4154360,111612,3.6319632953484974e-06,275333.1789670653,528953464.0,92920348.0,2.509074340859637,5.692547169539227,17755499.5,310936906.0,487346061.0,8
78,L-Histidine,79         L-Histidine,C6H9N3O2,[M+H]+,9.9,11.9,15.0,0.2,156.0768,156.0764,-2.3,S10228,10.8,10.56,10.86,0.3,117455392.0,99392072.0,117450080.0,106632160.0,16634672.0,27641110.0,31668638.0,31203492.0,19790684,250435,5305830,283705,2288426,193629,6.001515221157645e-06,166624.5878165261,110232426.0,26786978.0,2.040944933526103,4.115149756721344,14066354.5,68509702.0,46976084.0,8
79,L-Isoleucine,80         L-Isoleucine,C6H13NO2,[M+H]+,6.0,7.5,15.0,0.2,132.1019,132.1018,-0.8,S10230,7.44,7.32,7.45,0.13,201582288.0,159261392.0,210699152.0,161911056.0,29590378.0,30339730.0,31459448.0,35242372.0,4213472,163646,745950,82502,507437,96855,2.784054056472582e-05,35918.842799590166,183363472.0,31657982.0,2.5340650663384596,5.792013906634984,2914931.0,107510727.0,22366794.0,8
80,L-Kynurenine,81         L-Kynurenine,C10H12N2O3,[M+H]+,6.0,8.0,15.0,0.2,209.0921,209.0917,-1.8,S10235,7.44,7.21,7.62,0.41,2277219.0,1650304.0,2492018.0,1802515.0,4697968.0,3990146.0,4193753.0,4719182.0,16498,2426,27663,2691,22177,1980,0.00012634168268165383,7915.044178410414,2055514.0,4400262.25,-1.0980903110338476,0.4671344304535485,46717.5,3227888.125,54693.0,8
81,L-Lactic acid,82         L-Lactic acid,C3H6O3,[M-H]-,6.2,8.2,15.0,0.2,89.0244,89.0231,-14.8,S10230,7.17,6.93,7.38,0.46,1133503232.0,943142464.0,1176138880.0,1009230272.0,34281528.0,36092692.0,37349224.0,40048740.0,860050,735700,1203930,840896,833675,683046,1.3571737402465202e-06,736825.3380870438,1065503712.0,36943046.0,4.8500889857411735,28.841793716739005,2588648.5,551223379.0,11714248896.0,8
82,L-Leucine,83         L-Leucine,C6H13NO2,[M+H]+,7.5,9.0,15.0,0.2,132.1019,132.1018,-0.8,S10230,7.48,7.45,7.73,0.28,205144528.0,159839664.0,206915968.0,172001136.0,28347634.0,31520728.0,32434184.0,33588448.0,4204922,178049,644664,85897,502541,80659,1.2858994304303498e-05,77766.57927792468,185975324.0,31472748.5,2.562936131978914,5.909090653458499,2858366.0,108724036.25,49961931.0,8
83,L-Lysine,84         L-Lysine,C6H14N2O2,[M+H]+,18.0,20.0,15.0,0.2,147.1128,147.1125,-2.1,S10228,19.17,19.17,19.33,0.16,25753836.0,14632469.0,21553092.0,22536300.0,11121603.0,12078088.0,11720812.0,12746246.0,15438701,391922,3819403,648784,1394069,530327,0.008072724515090805,123.87391618909365,21118924.25,11916687.25,0.825553115866157,1.7722143584828913,11121603.0,16517805.75,3626.0,7
84,L-Malic acid,85         L-Malic acid,C4H6O5,[M-H]-,12.2,14.2,15.0,0.2,133.0142,133.013,-9.4,S10228,12.93,12.68,12.94,0.26,114020128.0,87612336.0,103835120.0,100563848.0,11160340.0,15399683.0,19893884.0,18255718.0,6033976,117630,3365680,359391,1527718,160352,6.025030681289579e-06,165974.25853870725,101507858.0,16177406.25,2.6495391929230054,6.2746682893000845,5792373.5,58842632.125,61280683.0,8
85,L-Methionine,86         L-Methionine,C5H11NO2S,[M+H]+,6.8,8.8,15.0,0.2,150.0583,150.058,-2.2,S10230,8.1,7.86,8.13,0.27,60329688.0,48089616.0,60337672.0,54056068.0,4897543.0,5451610.0,5413209.0,6297262.0,357400,27625,68115,6509,33116,5105,2.6481094044932535e-06,377627.90249648376,55703261.0,5514906.0,3.336353587987452,10.100491468032274,258935.0,30609083.5,116750005.0,8
86,L-Phenylalanine,87         L-Phenylalanine,C9H11NO2,[M+H]+,5.6,7.6,15.0,0.2,166.0863,166.08599999999996,-1.5,S10230,6.95,6.7,7.16,0.46,211600800.0,176315120.0,221629232.0,192711312.0,23188768.0,22925712.0,24234962.0,26160704.0,285542,47671,254569,21213,156739,16957,2.243684305810085e-06,445695.5006595497,200564116.0,24127536.5,3.055310984415939,8.31266449436311,401345.5,112345826.25,416231980.0,8
87,L-Proline,88         L-Proline,C5H9NO2,[M+H]+,7.9,9.9,15.0,0.2,116.0706,116.0707,0.8,S10230,9.23,8.98,9.24,0.26,611968576.0,523619776.0,614130432.0,532398784.0,53174788.0,70695608.0,74355704.0,81672480.0,18702126,404180,3074420,381930,1684989,352281,1.0940918548956377e-06,914000.0407876057,570529392.0,69974645.0,3.0273970440898244,8.153373153947404,12309963.0,320252018.5,2386576775.0,8
88,L-Serine,89         L-Serine,C3H7NO3,[M+H]+,10.8,12.8,15.0,0.2,106.0499,106.0501,2.2,S10230,11.87,11.63,11.95,0.32,35917232.0,30778270.0,37788760.0,33573504.0,1592299.5,3524055.0,4374758.0,4400282.0,2651498,17594,383533,21870,75157,14947,1.4667557108772527e-06,681776.7898117878,34514441.5,3472848.625,3.313008706496722,9.938366230978467,1592299.5,18993645.0625,128696142.0,7
89,L-Threonine,90         L-Threonine,C4H9NO3,[M-H]-,9.5,11.5,15.0,0.2,118.051,118.0498,-9.9,S10228,10.79,10.56,10.88,0.33,4062626.0,3308030.0,3867300.0,3775303.0,96331.0,205893.0,183840.0,194681.0,34603,2804,23732,4913,11172,3205,5.584524761860065e-07,1790662.6662837556,3753314.75,170186.25,4.462978892582389,22.054159780828357,50214.5,1961750.5,77472589.0,8
90,L-Tryptophan,91         L-Tryptophan,C11H12N2O2,[M+H]+,6.8,8.8,15.0,0.2,205.0972,205.0967,-2.2,S10230,8.14,7.91,8.37,0.46,35115000.0,26154722.0,35314664.0,29775320.0,23699374.0,20880444.0,22296776.0,23480826.0,392722,7316,387433,2388,230765,2186,0.008055385897147698,124.14054556394204,31589926.5,22589355.0,0.4838215027279922,1.3984430498347562,521405.0,27089640.75,4703.0,8
91,L-Tyrosine,92         L-Tyrosine,C9H11NO3,[M+H]+,8.2,10.2,15.0,0.2,182.0812,182.0809,-1.5,S10230,9.46,9.22,9.46,0.25,50511276.0,39092684.0,52164680.0,42700180.0,6233210.0,6944206.0,7141409.0,8059538.0,508376,9432,119947,8564,79864,6008,1.6692364071957944e-05,59907.63175839983,46117205.0,7094590.75,2.7005137087831503,6.5003333701806545,376095.5,26605897.875,10360858.0,8
92,L-Valine,93         L-Valine,C5H11NO2,[M+H]+,8.3,9.2,15.0,0.2,118.0863,118.0863,0.4,S10230,8.92,8.67,9.05,0.38,306109088.0,253423712.0,309408736.0,274086624.0,26518938.0,30387246.0,32501128.0,35426936.0,9632568,113029,1143420,98242,672887,93791,1.4577466889083497e-06,685990.2393253669,285757040.0,31208562.0,3.194775252865758,9.156366768837346,5886968.5,158482801.0,995458720.0,8
93,N6-Acetyl-L-lysine,94         N6-Acetyl-L-lysine,C8H16N2O3,[M+H]+,1.9,3.9,15.0,0.2,189.1234,189.1217,-8.8,S10230,3.19,3.17,3.4,0.24,298798.0,298798.0,1177675.0,780570.0,954592.0,298798.0,298798.0,298798.0,78730,129994,111718,113504,49758,93892,0.5357819940599816,1.8664307705123224,638960.25,462746.5,0.46550410500609085,1.380799746729581,298798.0,550853.375,1.0,3
94,N-Acetylglutamic acid,95         N-Acetylglutamic acid,C7H11NO5,[M+H]+,10.3,12.3,15.0,0.2,190.071,190.0706,-2.1,S10228,11.19,11.02,11.39,0.37,118829.0,94247.0,107753.0,109343.0,33297.0,34260.0,42434.0,31785.0,15489,2310,2270,1652,1626,1477,1.3434594618316329e-05,74434.69850862709,107543.0,35444.0,1.6013002902317917,3.0341665726216003,22412.0,71493.5,16147.0,8
95,N-Acetylglutamine,96         N-Acetylglutamine,C7H12N2O4,[M-H]-,6.8,8.8,15.0,0.2,187.0724,187.0718,-3.4,S10229,7.04,6.85,7.28,0.42,15543.0,46309.0,15543.0,28471.0,15543.0,15543.0,15543.0,15543.0,3040,0,2437,1699,2232,1678,0.18428073189966115,5.42650330119423,26466.5,15543.0,0.7679024322153187,1.7027922537476678,15543.0,21004.75,0.0,2
96,N-Acetyl-L-alanine,97         N-Acetyl-L-alanine,C5H9NO3,[M+H]+,6.0,7.0,15.0,0.2,132.0655,132.0654,-0.9,S10231,6.86,6.61,6.92,0.31,3661468.0,3257826.0,3348944.0,3681845.0,379834.0,397410.0,394498.0,396458.0,21175,12504,15770,10483,11291,9853,1.2000661922089e-07,8332873.690569947,3487520.75,392050.0,3.1530922357503055,8.8956019640352,50538.0,1939785.375,143788390.0,8
97,N-Acetyl-L-methionine,98         N-Acetyl-L-methionine,C7H13NO3S,[M+H]+,3.0,5.0,15.0,0.2,192.0689,192.069,0.6,S10230,4.2,3.96,4.2,0.25,188482.0,133564.0,204238.0,139189.0,31186.0,26872.0,25117.0,28363.0,0,0,0,0,0,1456,0.0002298704198914293,4350.2769972418055,166368.25,27884.5,2.576844826168827,5.966334343452456,10728.0,97126.375,2521.0,8
98,N-Acetyl-L-phenylalanine,99         N-Acetyl-L-phenylalanine,C11H13NO3,[M+H]+,2.8,4.0,15.0,0.2,208.0968,208.0965,-1.5,S10228,3.55,3.32,3.61,0.29,1282139.0,942616.0,1140809.0,903504.0,207123.0,267854.0,229468.0,297559.0,19282,27640,26440,34623,15767,33839,0.00010510219207016424,9514.5494142731,1067267.0,250501.0,2.0910328750040788,4.260529898084239,88795.5,658884.0,26709.0,8
99,N-Acetylornithine,100         N-Acetylornithine,C7H14N2O3,[M+H]+,8.6,10.6,15.0,0.2,175.1077,175.1075,-1.3,S10230,9.86,9.63,10.08,0.45,148294816.0,121706264.0,154341792.0,131237568.0,15233900.0,18962214.0,20979818.0,19460086.0,1780904,4492,414348,2450,197069,2265,4.145325280297228e-06,241235.59247642395,138895110.0,18659004.5,2.896051885762273,7.443864971467261,1210764.0,78777057.25,141461945.0,8
100,N-Acetylserine,101         N-Acetylserine,C5H9NO4,[M-H]-,7.5,8.5,15.0,0.2,146.0459,146.0448,-7.4,S10228,7.93,7.68,8.17,0.49,5694984.0,4354078.0,5485296.0,4722640.0,153963.0,156052.0,158147.0,184562.0,30799,2427,4741,2251,2467,1968,4.528787095783116e-06,220809.6735064293,5064249.5,163181.0,4.955803491841036,31.034553655143675,32326.5,2613715.25,17911084.0,8
101,NAD,102         NAD,C21H28N7O14P2,[Cat]+,9.9,11.9,15.0,0.2,664.1164,664.1215,7.7,S10229,11.61,11.48,11.61,0.14,10734.0,17183.0,10734.0,10734.0,10734.0,10734.0,10734.0,10734.0,0,0,0,1468,0,0,0.35591768374958205,2.8096384238766396,12346.25,10734.0,0.20188511676916635,1.1502002981181294,10734.0,11540.125,0.0,1
102,NADH,103         NADH,C21H29N7O14P2,[M-H]-,9.5,11.5,15.0,0.2,664.1175,664.1233,8.7,S10233,10.25,10.03,10.25,0.22,10699.0,10699.0,10699.0,10699.0,10699.0,10699.0,10699.0,10699.0,0,0,0,0,1398,0,NA,NA,10699.0,10699.0,0.0,1.0,10699.0,10699.0,0.0,0
103,NADP,104         NADP,C21H29N7O17P3,[Cat]+,12.7,14.7,15.0,0.2,744.0827,744.0765,-8.4,S10228,14.06,13.83,14.24,0.41,16090.0,16090.0,16090.0,16090.0,16090.0,16090.0,16090.0,16090.0,3572,0,4562,0,2628,1418,NA,NA,16090.0,16090.0,0.0,1.0,16090.0,16090.0,0.0,0
104,NADPH,105         NADPH,C21H30N7O17P3,[M-H]-,13.0,15.0,15.0,0.2,744.0838,744.0778,-8.1,S10234,13.31,13.31,13.44,0.12,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
105,Niacinamide,106         Niacinamide,C6H6N2O,[M+H]+,3.3,5.3,15.0,0.2,123.0553,123.0552,-0.7,S10230,4.7,4.54,4.74,0.2,130635144.0,109983136.0,137625920.0,114246872.0,2910494.0,2701912.0,2898968.0,3038739.0,152538,128444,111468,110168,61335,84948,1.7177925652638924e-06,582142.4659888297,123122768.0,2887528.25,5.414118699909753,42.639502487984316,334450.5,63005148.125,1563930491.0,8
106,Nicotinic acid,107         Nicotinic acid,C6H5NO2,[M-H]-,5.5,7.5,15.0,0.2,122.0248,122.0238,-7.8,S10230,7.36,7.13,7.46,0.33,92865.5,92865.5,99151.0,92865.5,92865.5,92865.5,92865.5,92865.5,57499,33640,20476,18469,17504,18143,0.35591768374958205,2.8096384238766396,94436.875,92865.5,0.02420757461525669,1.01692097711206,92865.5,93651.1875,0.0,1
107,O-Phosphoethanolamine,108         O-Phosphoethanolamine,C2H8NO4P,[M+H]+,11.4,13.4,15.0,0.2,142.0264,142.0268,3.0,SQ567_Blank_0,13.41,13.41,13.41,0.0,11791.0,11791.0,11791.0,11791.0,11791.0,11791.0,11791.0,11791.0,3582,0,0,0,0,0,NA,NA,11791.0,11791.0,0.0,1.0,11791.0,11791.0,0.0,0
108,Ornithine,109         Ornithine,C5H12N2O2,[M+H]+,17.0,19.0,15.0,0.2,133.0972,133.097,-1.2,S10228,17.52,17.39,17.64,0.25,24243494.0,15355125.0,20550540.0,20376988.0,14458093.5,14458093.5,14458093.5,14458093.5,17538174,918305,5606915,1242942,2673236,916615,0.020872748510713805,47.90935891776344,20131536.75,14458093.5,0.4775799797483471,1.3924060423319298,14458093.5,17294815.125,1154.0,4
109,Orotic acid,110         Orotic acid,C5H4N2O4,[M-H]-,6.7,8.7,15.0,0.2,155.0098,155.0092,-4.1,S10228,7.52,7.33,7.77,0.44,47700.0,43290.0,44397.0,41892.0,12265.5,12265.5,12265.5,12265.5,1824,1428,1279,0,0,0,2.1866604290184564e-07,4573183.777093721,44319.75,12265.5,1.8533436972262074,3.613366760425584,12265.5,28292.625,467524.0,4
110,Orotidylic acid,111         Orotidylic acid,C10H13N2O11P,[M+H]+,0.0,30.0,15.0,0.2,369.033,369.0307,-6.2,S10230,6.27,6.27,6.27,0.0,10000.0,10000.0,24359.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0.35591768374958205,2.8096384238766396,13589.75,10000.0,0.4425189162173191,1.358975,10000.0,11794.875,0.0,1
111,Oxidized glutathione,112         Oxidized glutathione,C20H32N6O12S2,[M+H]+,13.5,15.5,15.0,0.2,613.1592,613.1543,-8.1,S10232,13.96,13.85,14.03,0.18,11719.0,11719.0,11719.0,11719.0,11719.0,11719.0,11719.0,11719.0,0,0,2345,1093,0,0,NA,NA,11719.0,11719.0,0.0,1.0,11719.0,11719.0,0.0,0
112,Oxoadipic acid,113         Oxoadipic acid,C6H8O5,[M-H]-,7.5,9.5,15.0,0.2,159.0299,159.029,-5.7,SQ567_Blank_0,8.15,7.95,8.38,0.43,21779.5,21779.5,21779.5,21779.5,21779.5,21779.5,21779.5,21779.5,10769,2055,2068,2191,1680,4796,NA,NA,21779.5,21779.5,0.0,1.0,21779.5,21779.5,0.0,0
113,Oxoglutaric acid,114         Oxoglutaric acid,C5H6O5,[M-H]-,10.8,14.8,15.0,0.2,145.0142,145.0132,-7.2,S10228,12.52,12.27,12.7,0.43,3599337.0,2448706.0,3435008.0,2718548.0,401668.0,337929.0,397283.0,605709.0,129384,9088,10505,5026,6639,2422,9.115513864736601e-05,10970.308584231369,3050399.75,435647.25,2.8077659765766723,7.001994733124104,91532.0,1743023.5,133889.0,8
114,Palmitic acid,115         Palmitic acid,C16H32O2,[M-H]-,1.6,3.6,15.0,0.2,255.233,255.2325,-1.8,S10235,2.83,2.83,2.9,0.07,44431656.0,40927460.0,53085688.0,46591184.0,61709932.0,46772312.0,46697152.0,64693796.0,7630286,9491051,7961940,7815324,3664500,7363538,0.15999215049055743,6.250306636506014,46258997.0,54968298.0,-0.24886582405351315,0.8415577466124201,21973319.5,50613647.5,376.0,8
115,Pantothenic acid,116         Pantothenic acid,C9H17NO5,[M+H]+,5.1,7.1,15.0,0.2,220.118,220.1175,-2.0,S10230,6.05,5.8,6.29,0.49,217017872.0,179061824.0,226230688.0,190448960.0,54919396.0,52222088.0,49545076.0,53638988.0,12954,6220,111972,10461,72133,5707,1.0022847685838092e-05,99772.04396839858,203189836.0,52581387.0,1.9502041339490988,3.8642920545249217,119723.5,127885611.5,49306082.0,8
116,Phenol,117         Phenol,C6H6O,[M-H]-,2.1,4.1,15.0,0.2,93.0346,93.0333,-13.9,SQ567_Blank_3,3.44,3.39,3.69,0.31,1167147.5,1167147.5,1167147.5,1167147.5,1167147.5,1167147.5,1167147.5,1167147.5,223335,228622,487018,500226,404368,470726,NA,NA,1167147.5,1167147.5,0.0,1.0,1167147.5,1167147.5,0.0,0
117,Phosphocreatine,118         Phosphocreatine,C4H10N3O5P,[M-H]-,11.2,13.2,15.0,0.2,210.0285,210.0255,-14.4,SQ567_Blank_0,12.51,12.51,12.51,0.0,11276.5,11276.5,11276.5,11276.5,11276.5,11276.5,11276.5,11276.5,2553,0,0,0,0,0,NA,NA,11276.5,11276.5,0.0,1.0,11276.5,11276.5,0.0,0
118,Phosphoenolpyruvic acid,119         Phosphoenolpyruvic acid,C3H5O6P,[M-H]-,13.6,15.6,15.0,0.2,166.9751,166.9742,-5.4,SQ567_Blank_0,14.2,14.2,14.2,0.0,11121.5,11121.5,11121.5,11121.5,11121.5,11121.5,11121.5,11121.5,2243,0,0,0,0,0,NA,NA,11121.5,11121.5,0.0,1.0,11121.5,11121.5,0.0,0
119,Phosphoribosyl pyrophosphate,120         Phosphoribosyl pyrophosphate,C5H13O14P3,[M-H]-,15.0,18.0,15.0,0.2,388.9445,0.0,0.0,NA,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
120,Phosphorylcholine,121         Phosphorylcholine,C5H14NO4P,[M+H]+,10.0,13.0,15.0,0.2,184.0733,184.0732,-0.7,S10228,11.77,11.54,12.01,0.47,623409.0,303110.0,408497.0,323429.0,135108.0,114234.0,78272.0,142535.0,12678,0,9086,1764,5824,1631,0.007285792497778921,137.25342854670248,414611.25,117537.25,1.8186412135191479,3.527488094199924,25491.5,266074.25,129.0,8
121,Phosphoserine,122         Phosphoserine,C3H8NO6P,[M+H]+,11.5,13.5,15.0,0.2,186.0162,186.0152,-5.4,S10229,11.59,11.59,11.65,0.06,11619.5,11619.5,11619.5,11619.5,11619.5,11619.5,11619.5,11619.5,3239,0,0,0,0,0,NA,NA,11619.5,11619.5,0.0,1.0,11619.5,11619.5,0.0,0
122,Pipecolic acid,123         Pipecolic acid,C6H11NO2,[M+H]+,7.5,9.5,15.0,0.2,130.0863,130.086,-2.0,S10228,7.72,7.53,7.76,0.23,30772066.0,23020156.0,28567666.0,27003710.0,1321740.0,1663556.0,1845967.0,1779897.0,200883,82973,83920,58138,67275,77957,4.2695181839766865e-06,234218.46609131584,27340899.5,1652790.0,4.048085371960747,16.542270645393547,295573.0,14496844.75,56168101.0,8
123,Propionylcarnitine,124         Propionylcarnitine,C10H19NO4,[M+H]+,5.2,7.2,15.0,0.2,218.1387,218.1381,-2.7,S10228,6.62,6.43,6.75,0.32,48614280.0,33452022.0,48595332.0,36821252.0,5013042.0,5021232.0,5259682.0,5529336.0,10540,6238,16887,2653,13093,6033,8.844632888998176e-05,11306.291765302078,41870721.5,5205823.0,3.007743612754753,8.04305515189433,37722.0,23538272.25,2140503.0,8
124,Pyruvic acid,125         Pyruvic acid,C3H4O3,[M-H]-,5.5,7.5,15.0,0.2,87.0088,87.0077,-12.3,S10228,7.19,6.97,7.41,0.44,2084298.0,1406028.0,1865767.0,1558725.0,100338.5,102764.0,100338.5,100338.5,39372,27742,32096,25234,30817,25416,3.9550028447287534e-05,25284.43187677614,1728704.5,100944.875,4.098051708122791,17.125232955115354,100338.5,914824.6875,396121.0,5
125,Ribose 1-phosphate,126         Ribose 1-phosphate,C5H11O8P,[M-H]-,11.0,12.4,15.0,0.2,229.0119,229.0104,-6.5,S10228,11.9,11.86,11.99,0.14,22781.0,13386.5,19398.0,14133.0,13596.0,13635.0,14145.0,14935.0,2649,0,2285,0,1839,0,0.18789331602969372,5.322169096435368,17424.625,14077.75,0.3077108365575354,1.2377421818117242,13386.5,15751.1875,0.0,7
