,Skeleton_Metabolite,Metabolite,Formula,Ion Type,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,Before dialysis 1_1,Before dialysis 1_2,Before dialysis 2_1,Before dialysis 2_2,After dialysis 1_1,After dialysis 1_2,After dialysis 2_1,After dialysis 2_2,Blank_0,Blank_1,Blank_2,Blank_3,Blank_4,Blank_5,ttest_pval,1/pvalue,Control_Mean,Treatment_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
14,Adenosine diphosphate ribose,15         Adenosine diphosphate ribose,C15H23N5O14P2,[M-H]-,10.9,12.9,15.0,0.2,558.0644,558.0622,-4.0,S10229,12.49,12.49,12.49,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
15,Adenosine monophosphate,16         Adenosine monophosphate,C10H14N5O7P,[M+H]+,9.8,11.8,15.0,0.2,348.0704,348.0655,-14.0,S10229,9.79,9.78,9.79,0.02,12600.0,13994.0,12600.0,12600.0,12600.0,12600.0,12600.0,12600.0,5200,0,0,0,0,0,0.35591768374958205,2.8096384238766396,12948.5,12600.0,0.039361246974153746,1.02765873015873,12600.0,12774.25,0.0,1
16,Adenosine triphosphate,17         Adenosine triphosphate,C10H16N5O13P3,[M-H]-,12.5,14.5,15.0,0.2,505.9885,505.996,14.9,S10235,13.31,13.18,13.35,0.18,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
17,Adenylsuccinic acid,18         Adenylsuccinic acid,C14H18N5O11P,[M-H]-,14.5,16.5,15.0,0.2,462.0668,0.0,0.0,NA,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
18,ADP,19         ADP,C10H15N5O10P2,[M-H]-,11.1,13.1,15.0,0.2,426.0221,426.0223,0.4,SQ567_ISTD_0,11.61,11.61,11.61,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
19,Allantoin,20         Allantoin,C4H6N4O3,[M-H]-,9.3,11.3,15.0,0.2,157.0367,157.0357,-6.5,S10230,10.16,9.92,10.24,0.32,20718788.0,19007210.0,21768410.0,18954804.0,2111225.0,2193000.0,2143986.0,2508905.0,61494,1897,29723,7874,40761,8996,2.2504363179647892e-07,4443582.748897168,20112303.0,2239279.0,3.166972094641517,8.981597648171576,85372.5,11175791.0,446031098.0,8
20,Aminoadipic acid,21         Aminoadipic acid,C6H11NO4,[M-H]-,5.9,7.9,15.0,0.2,160.0615,160.0607,-5.2,S10228,6.86,6.66,7.01,0.35,770769.0,515303.0,770419.0,584887.0,64951.0,58482.0,59563.0,64573.0,15067,7096,7696,9242,8362,6542,9.453762674289195e-05,10577.798855895095,660344.5,61892.25,3.4153881960721395,10.669259883103296,37002.5,361118.375,40755.0,8
21,Argininosuccinic acid,22         Argininosuccinic acid,C10H18N4O6,[M-H]-,12.5,14.5,15.0,0.2,289.1154,289.1138,-5.4,S10230,13.41,13.23,13.61,0.38,15819.0,13061.5,19283.0,13061.5,13061.5,13061.5,13061.5,13061.5,3286,0,1469,0,1368,0,0.17920594097385595,5.580172144772189,15306.25,13061.5,0.22880028137689923,1.1718600467021398,13061.5,14183.875,0.0,2
22,Beta-Alanine,23         Beta-Alanine,C3H7NO2,[M+H]+,9.8,10.5,15.0,0.2,90.055,90.0554,4.9,S10230,10.31,10.07,10.48,0.41,4142242.0,3573894.0,4197017.0,3668139.0,1655038.0,1655038.0,1655038.0,1655038.0,3176705,20539,31913,17286,24681,18952,8.253852867373521e-06,121155.53985131945,3895323.0,1655038.0,1.2348786194755457,2.3536154456876517,1655038.0,2775180.5,791353.0,4
23,Betaine,24         Betaine,C5H11NO2,[M+H]+,7.0,8.2,15.0,0.2,118.0863,118.0862,-0.5,S10228,7.94,7.69,7.97,0.28,1404434688.0,1236533888.0,1373805184.0,1314194944.0,68609264.0,77745288.0,81500072.0,89973536.0,4041574,941332,1167622,195901,651268,165194,4.608092993581856e-08,21700950.944193147,1332242176.0,79457040.0,4.067537500282537,16.766823631990317,3591445.5,705849608.0,256827627058.0,8
24,Butyrylcarnitine,25         Butyrylcarnitine,C11H21NO4,[M+H]+,4.2,6.2,15.0,0.2,232.1543,232.1538,-2.3,S10228,5.82,5.61,6.06,0.45,30241606.0,21131496.0,29507216.0,23297760.0,3320258.0,3141187.0,3232492.0,3464232.0,3570,2885,7198,2293,6934,5390,5.584502457742016e-05,17906.698180670697,26044519.5,3289542.25,2.98502107324204,7.917368898362683,24135.0,14667030.875,2079403.0,8
25,Carbamoyl phosphate,26         Carbamoyl phosphate,CH4NO5P,[M-H]-,27.0,30.0,15.0,0.2,139.9754,139.9743,-8.1,S10231,27.6,27.6,27.85,0.25,3234544.0,2690228.0,3129102.0,3510592.0,1185999.0,1818357.0,1516091.0,1814968.0,51969,12007,182007,20613,116173,18100,0.0004757296971046301,2102.0340039441853,3141116.5,1583853.75,0.9878383258085294,1.9832112024232036,210434.5,2362485.125,9849.0,8
26,Carnosine,27         Carnosine,C9H14N4O3,[M+H]+,10.6,12.6,15.0,0.2,227.1139,227.1134,-2.1,S10228,11.85,11.61,11.85,0.25,63101740.0,43224584.0,59495944.0,53488320.0,4183525.0,6187292.0,7305232.0,7872542.0,2259352,0,199640,1887,81597,0,3.435369440290569e-05,29108.95079498112,54827647.0,6387147.75,3.101659830827435,8.584058040617583,1281238.0,30607397.375,7647960.0,8
27,CDP,28         CDP,C9H15N3O11P2,[M+H]+,13.0,15.0,15.0,0.2,404.0255,404.0206,-12.0,S10230,13.08,13.08,13.16,0.09,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
28,Choline,29         Choline,C5H14NO,[Cat]+,11.0,15.0,15.0,0.2,104.107,104.1072,2.0,S10228,14.99,14.75,15.0,0.24,11710446.0,5205050.0,9257233.0,7650890.0,990713.5,1128327.0,990713.5,1756109.0,1898677,13502,14643,10873,12355,11377,0.001926919498988314,518.9630394653371,8455904.75,1216465.75,2.7972634245496,6.951206599939209,990713.5,4836185.25,17446.0,6
