,Metabolite,Formula,Ion Type,mz,ppm,RT,RT_range,Detection,Skeleton_Metabolite,Before dialysis 1_1,Before dialysis 1_2,Before dialysis 2_1,Before dialysis 2_2,After dialysis 1_1,After dialysis 1_2,After dialysis 2_1,After dialysis 2_2,Control_vs_Treatment_ttest_pval,Control_vs_Treatment_Log2FoldChange,Control_vs_Treatment_impact_score,Treatment_vs_Control_ttest_pval,Treatment_vs_Control_Log2FoldChange,Treatment_vs_Control_impact_score
101,102         NAD,C21H28N7O14P2,[Cat]+,664.1164,7.7,11.61,0.14,1,NAD,-,17183,-,-,-,-,-,-,0.35591768374958205,0.20188511676916635,0.0,0.35591768374958205,-0.20188511676916612,0.0
102,103         NADH,C21H29N7O14P2,[M-H]-,664.1175,8.7,10.25,0.22,0,NADH,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
103,104         NADP,C21H29N7O17P3,[Cat]+,744.0827,-8.4,14.06,0.41,0,NADP,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
104,105         NADPH,C21H30N7O17P3,[M-H]-,744.0838,-8.1,13.31,0.12,0,NADPH,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
105,106         Niacinamide,C6H6N2O,[M+H]+,123.0553,-0.7,4.7,0.2,8,Niacinamide,130635144,109983136,137625920,114246872,2910494,2701912,2898968,3038739,1.7177925652638926e-06,5.414118699909753,1563930491.0,1.7177925652638926e-06,-5.414118699909753,1563930491.0
106,107         Nicotinic acid,C6H5NO2,[M-H]-,122.0248,-7.8,7.36,0.33,1,Nicotinic acid,-,-,99151,-,-,-,-,-,0.35591768374958205,0.024207574615256685,0.0,0.35591768374958205,-0.02420757461525652,0.0
107,108         O-Phosphoethanolamine,C2H8NO4P,[M+H]+,142.0264,3.0,13.41,0.0,0,O-Phosphoethanolamine,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
108,109         Ornithine,C5H12N2O2,[M+H]+,133.0972,-1.2,17.52,0.25,4,Ornithine,24243494,15355125,20550540,20376988,-,-,-,-,0.020872748510713805,0.4775799797483471,1154.0,0.020872748510713805,-0.4775799797483472,1154.0
109,110         Orotic acid,C5H4N2O4,[M-H]-,155.0098,-4.1,7.52,0.44,4,Orotic acid,47700,43290,44397,41892,-,-,-,-,2.1866604290184564e-07,1.8533436972262076,467524.0,2.1866604290184564e-07,-1.853343697226208,467524.0
110,111         Orotidylic acid,C10H13N2O11P,[M+H]+,369.033,-6.2,6.27,0.0,1,Orotidylic acid,-,-,24359,-,-,-,-,-,0.35591768374958205,0.4425189162173191,0.0,0.35591768374958205,-0.4425189162173192,0.0
111,112         Oxidized glutathione,C20H32N6O12S2,[M+H]+,613.1592,-8.1,13.96,0.18,0,Oxidized glutathione,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
112,113         Oxoadipic acid,C6H8O5,[M-H]-,159.0299,-5.7,8.15,0.43,0,Oxoadipic acid,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
113,114         Oxoglutaric acid,C5H6O5,[M-H]-,145.0142,-7.2,12.52,0.43,8,Oxoglutaric acid,3599337,2448706,3435008,2718548,401668,337929,397283,605709,9.1155138647366e-05,2.8077659765766723,133889.0,9.1155138647366e-05,-2.8077659765766723,133889.0
114,115         Palmitic acid,C16H32O2,[M-H]-,255.233,-1.8,2.83,0.07,8,Palmitic acid,44431656,40927460,53085688,46591184,61709932,46772312,46697152,64693796,0.15999215049055746,-0.24886582405351315,376.0,0.15999215049055746,0.24886582405351296,376.0
115,116         Pantothenic acid,C9H17NO5,[M+H]+,220.118,-2.0,6.05,0.49,8,Pantothenic acid,217017872,179061824,226230688,190448960,54919396,52222088,49545076,53638988,1.0022847685838092e-05,1.9502041339490988,49306082.0,1.0022847685838092e-05,-1.9502041339490988,49306082.0
116,117         Phenol,C6H6O,[M-H]-,93.0346,-13.9,3.44,0.31,0,Phenol,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
117,118         Phosphocreatine,C4H10N3O5P,[M-H]-,210.0285,-14.4,12.51,0.0,0,Phosphocreatine,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
118,119         Phosphoenolpyruvic acid,C3H5O6P,[M-H]-,166.9751,-5.4,14.2,0.0,0,Phosphoenolpyruvic acid,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
119,120         Phosphoribosyl pyrophosphate,C5H13O14P3,[M-H]-,388.9445,0.0,0.0,0.0,0,Phosphoribosyl pyrophosphate,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
120,121         Phosphorylcholine,C5H14NO4P,[M+H]+,184.0733,-0.7,11.77,0.47,8,Phosphorylcholine,623409,303110,408497,323429,135108,114234,78272,142535,0.007285792497778921,1.818641213519148,129.0,0.007285792497778921,-1.818641213519148,129.0
121,122         Phosphoserine,C3H8NO6P,[M+H]+,186.0162,-5.4,11.59,0.06,0,Phosphoserine,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
122,123         Pipecolic acid,C6H11NO2,[M+H]+,130.0863,-2.0,7.72,0.23,8,Pipecolic acid,30772066,23020156,28567666,27003710,1321740,1663556,1845967,1779897,4.269518183976687e-06,4.048085371960747,56168101.0,4.269518183976687e-06,-4.048085371960747,56168101.0
123,124         Propionylcarnitine,C10H19NO4,[M+H]+,218.1387,-2.7,6.62,0.32,8,Propionylcarnitine,48614280,33452022,48595332,36821252,5013042,5021232,5259682,5529336,8.844632888998176e-05,3.0077436127547528,2140503.0,8.844632888998176e-05,-3.0077436127547528,2140503.0
124,125         Pyruvic acid,C3H4O3,[M-H]-,87.0088,-12.3,7.19,0.44,5,Pyruvic acid,2084298,1406028,1865767,1558725,-,102764,-,-,3.9550028447287534e-05,4.098051708122791,396121.0,3.9550028447287534e-05,-4.098051708122791,396121.0
125,126         Ribose 1-phosphate,C5H11O8P,[M-H]-,229.0119,-6.5,11.9,0.14,7,Ribose 1-phosphate,22781,-,19398,14133,13596,13635,14145,14935,0.18789331602969367,0.3077108365575354,0.0,0.18789331602969367,-0.3077108365575353,0.0
126,127         Saccharopine,C11H20N2O6,[M-H]-,275.1249,-2.0,12.43,0.14,0,Saccharopine,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
127,128         S-Adenosylhomocysteine,C14H20N6O5S,[M-H]-,383.1143,12.2,9.33,0.3,2,S-Adenosylhomocysteine,22168,-,49377,-,-,-,-,-,0.21449479333667293,1.19448109113246,0.0,0.21449479333667293,-1.19448109113246,0.0
128,129         S-Adenosylmethionine,C15H22N6O5S,[M+H]+,399.1445,-9.3,12.27,0.2,0,S-Adenosylmethionine,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
129,130         Sarcosine,C3H7NO2,[M+H]+,90.055,3.8,11.21,0.25,7,Sarcosine,40761436,23826920,25335330,29763100,-,2936223,3819039,5849022,0.0005314403433007725,3.07314014626249,265076.0,0.0005314403433007725,-3.0731401462624897,265076.0
130,131         Succinic acid,C4H6O4,[M-H]-,117.0193,-10.5,12.15,0.26,8,Succinic acid,144303488,104375776,136116240,113552992,12611625,13617641,16074086,16671117,2.3866254792199175e-05,3.078992545692172,24666174.0,2.3866254792199175e-05,-3.078992545692172,24666174.0
131,132         Taurine,C2H7NO3S,[M-H]-,124.0074,-9.6,11.22,0.31,8,Taurine,22399134,20124404,22640108,21066412,171870,446093,473552,555757,3.3328208956215586e-08,5.71004015059424,17253144214.0,3.3328208956215586e-08,-5.71004015059424,17253144214.0
132,133         Thymidine,C10H14N2O5,[M-H]-,241.083,-2.5,4.65,0.45,6,Thymidine,445664,313842,467107,331035,29649,-,29420,-,9.007644700003942e-05,3.808062713169301,32438.0,9.007644700003942e-05,-3.808062713169301,32438.0
133,134         Uracil,C4H4N2O2,[M+H]+,113.0346,1.3,5.76,0.48,4,Uracil,2111094,1725519,1984381,1739811,-,-,-,-,1.1319398970980474e-06,5.84597575014783,48860090.0,1.1319398970980474e-06,-5.84597575014783,48860090.0
134,135         Ureidopropionic acid,C4H8N2O3,[M-H]-,131.0462,-7.0,11.45,0.3,8,Ureidopropionic acid,456123,413218,484623,409179,20754,45920,44346,47282,7.659965940813936e-07,3.4773981015932947,3492306.0,7.659965940813936e-07,-3.4773981015932947,3492306.0
135,136         Ureidosuccinic acid,C5H8N2O5,[M-H]-,175.03599999999997,-8.3,13.54,0.42,1,Ureidosuccinic acid,15347,-,-,-,-,-,-,-,0.35591768374958205,0.1323247314216332,0.0,0.35591768374958205,-0.13232473142163328,0.0
136,137         Uric acid,C5H4N4O3,[M+H]+,169.0356,-0.7,9.81,0.28,8,Uric acid,1188947,699533,1129506,699692,33081,31610,44218,49757,0.0005476351609950654,4.550336903061711,20731.0,0.0005476351609950654,-4.550336903061711,20731.0
137,138         Uridine,C9H12N2O6,[M-H]-,243.0623,-2.7,6.73,0.37,8,Uridine,3645240,2733641,3964353,2834250,225850,256392,256456,251270,5.5685529621967227e-05,3.734549238262385,423322.0,5.5685529621967227e-05,-3.734549238262385,423322.0
138,139         Uridine 5'-diphosphate,C9H14N2O12P2,[M+H]+,405.0095,11.2,13.71,0.0,0,Uridine 5'-diphosphate,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
139,140         Uridine 5'-monophosphate,C9H13N2O9P,[M-H]-,323.0286,-3.4,12.28,0.0,0,Uridine 5'-monophosphate,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
140,141         Uridine diphosphate glucose,C15H24N2O17P2,[M-H]-,565.0478,0.3,13.33,0.13,0,Uridine diphosphate glucose,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
141,142         Uridine diphosphate-N-acetylglucosamine,C17H27N3O17P2,[M+H]+,608.0889,-2.2,12.0,0.34,0,Uridine diphosphate-N-acetylglucosamine,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
142,143         Uridine triphosphate,C9H15N2O15P3,[M-H]-,482.9613,-7.4,15.78,0.1,0,Uridine triphosphate,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
143,144         Valerylcarnitine,C12H23NO4,[M+H]+,246.17,-2.0,5.06,0.26,8,Valerylcarnitine,7049334,5331382,7304927,5415717,790998,728153,724193,775010,4.288781933829154e-05,3.055931608256703,681576.0,4.288781933829154e-05,-3.0559316082567034,681576.0
144,145         Xanthine,C5H4N4O2,[M-H]-,151.0261,-7.6,8.4,0.37,8,Xanthine,24536696,19434136,23638088,20083986,1451866,1738448,1811804,1915237,3.99475032133005e-06,3.664167736395784,37530384.0,3.99475032133005e-06,-3.664167736395784,37530384.0
145,146         Xanthosine,C10H12N4O6,[M-H]-,283.0684,-3.2,7.73,0.1,8,Xanthosine,167436,129599,149253,153204,27146,25053,20215,27205,4.280763966035928e-06,2.5892476674653397,122850.0,4.280763966035928e-06,-2.5892476674653397,122850.0
146,147         Xanthylic acid,C10H13N4O9P,[M-H]-,363.0347,8.1,11.39,0.0,0,Xanthylic acid,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
