,Metabolite,Formula,Ion Type,mz,ppm,RT,RT_range,Detection,Skeleton_Metabolite,Before dialysis 1_1,Before dialysis 1_2,Before dialysis 2_1,Before dialysis 2_2,After dialysis 1_1,After dialysis 1_2,After dialysis 2_1,After dialysis 2_2,Control_vs_Treatment_ttest_pval,Control_vs_Treatment_Log2FoldChange,Control_vs_Treatment_impact_score,Treatment_vs_Control_ttest_pval,Treatment_vs_Control_Log2FoldChange,Treatment_vs_Control_impact_score
25,26         Carbamoyl phosphate,CH4NO5P,[M-H]-,139.9754,-8.1,27.6,0.25,8,Carbamoyl phosphate,3234544,2690228,3129102,3510592,1185999,1818357,1516091,1814968,0.0004757296971046301,0.9878383258085294,9849.0,0.0004757296971046301,-0.9878383258085294,9849.0
26,27         Carnosine,C9H14N4O3,[M+H]+,227.1139,-2.1,11.85,0.25,8,Carnosine,63101740,43224584,59495944,53488320,4183525,6187292,7305232,7872542,3.435369440290569e-05,3.1016598308274355,7647960.0,3.435369440290569e-05,-3.1016598308274355,7647960.0
27,28         CDP,C9H15N3O11P2,[M+H]+,404.0255,-12.0,13.08,0.09,0,CDP,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
28,29         Choline,C5H14NO,[Cat]+,104.107,2.0,14.99,0.24,6,Choline,11710446,5205050,9257233,7650890,-,1128327,-,1756109,0.001926919498988314,2.7972634245496,17446.0,0.001926919498988314,-2.7972634245496,17446.0
29,30         cis-Aconitic acid,C6H6O6,[M-H]-,173.0092,-5.6,14.82,0.3,8,cis-Aconitic acid,8266403,5843390,7319314,6023386,2214933,2909636,2984496,3077220,0.0005257948681538318,1.295206176020686,22543.0,0.0005257948681538318,-1.295206176020686,22543.0
30,31         Citric acid,C6H8O7,[M-H]-,191.0197,-4.3,15.02,0.34,4,Citric acid,44853892,25693374,32286028,32420610,-,-,-,-,0.07462206516774053,0.4246047799997684,531.0,0.07462206516774053,-0.4246047799997683,531.0
31,32         Citrulline,C6H13N3O3,[M+H]+,176.10299999999995,-1.0,12.04,0.3,8,Citrulline,120519392,98183840,124790936,104895568,11428374,16482531,19665100,22147946,7.977356835766464e-06,2.6850270249596413,52209524.0,7.977356835766464e-06,-2.6850270249596413,52209524.0
32,33         Creatine,C4H9N3O2,[M+H]+,132.0768,-1.9,10.85,0.3,8,Creatine,1286333824,1140518912,1351840256,1189758336,122325576,212094544,238311568,242781488,1.4482911700720352e-06,2.60701614072592,3041373844.0,1.4482911700720352e-06,-2.60701614072592,3041373844.0
33,34         Creatinine,C4H7N3O,[M+H]+,114.0662,0.1,6.63,0.23,8,Creatinine,858776192,814126656,862679296,772459712,48178416,50510224,55852576,57232060,2.9504838351954686e-08,3.9653850387684666,232935922228.0,2.9504838351954686e-08,-3.9653850387684666,232935922228.0
34,35         Cyclic AMP,C10H12N5O6P,[M-H]-,328.0452,1.7,6.73,0.1,0,Cyclic AMP,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
