,Metabolite,Formula,Ion Type,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,T1,T2,T3,T4,T5,T6,SQ437_B_0,SQ437_B_1,SQ437_B_2,SQ437_B_3,SQ437_B_4,SQ437_B_5,ttest_pval,1/pvalue,Tom plus Dox_Mean,Tom minus Dox_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
16,Adenosine triphosphate,C10H16N5O13P3,[M-H]-,12.5,14.5,15,0.2,505.9885,505.98800000000006,-0.9,S07372,14.02,14.01,14.27,0.26,315611.0,315611.0,581912.0,315611.0,504461.0,917507.0,20845,2030,188101,32227,306229,61790,0.4285673991493017,2.3333552715045087,404378.0,579193.0,-0.5183396562169791,0.6981748743510368,315611.0,491785.5,2.0,3
17,Adenylsuccinic acid,C14H18N5O11P,[M-H]-,14.5,16.5,15,0.2,462.0668,462.0672,0.9,S07377,15.75,15.7,15.87,0.17,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
18,ADP,C10H15N5O10P2,[M-H]-,11.1,13.1,15,0.2,426.0221,426.0215,-1.5,S07377,12.54,12.44,12.61,0.18,526830.0,526830.0,526830.0,526830.0,526830.0,530238.0,42121,24985,257624,98414,450406,160110,0.373900966300059,2.67450498963806,526830.0,527966.0,-0.0031075244883428327,0.9978483462950266,526830.0,527398.0,1.0,1
19,Allantoin,C4H6N4O3,[M-H]-,9.3,11.3,15,0.2,157.0367,157.0356,-7.1,S07370,10.31,10.11,10.41,0.3,10000.0,10000.0,10000.0,10000.0,12758.0,10000.0,0,0,0,0,0,0,0.37390096630005853,2.6745049896380637,10000.0,10919.333333333334,-0.12688477694879166,0.9158068258135417,10000.0,10459.666666666668,0.0,1
20,Aminoadipic acid,C6H11NO4,[M-H]-,5.9,7.9,15,0.2,160.0615,160.0603,-7.7,S07377,6.92,6.77,7.08,0.31,519936.0,595390.0,592455.0,688336.0,621874.0,730578.0,1763,1859,4351,2345,2424,1782,0.05051331475686624,19.79676061278617,569260.3333333334,680262.6666666666,-0.25700334037609557,0.8368243051213552,17262.0,624761.5,15.0,6
21,Argininosuccinic acid,C10H18N4O6,[M-H]-,12.5,14.5,15,0.2,289.1154,289.1144,-3.3,S07367,13.83,13.69,14.02,0.33,12267.0,14369.0,13201.0,12267.0,12267.0,12267.0,1540,0,1832,0,1162,0,0.17137536984176313,5.835144227104133,13279.0,12267.0,0.11436403722155807,1.0824977582130921,12267.0,12773.0,0.0,2
22,Beta-Alanine,C3H7NO2,[M+H]+,9.8,10.5,15,0.2,90.055,90.0553,3.8,S07377,10.48,10.24,10.49,0.25,202746.0,184091.0,204058.0,178381.0,178381.0,178381.0,39023,27089,90703,46847,74594,58506,0.04491927164651199,22.262159722210246,196965.0,178381.0,0.14297733371291854,1.1041814991506942,178381.0,187673.0,5.0,3
23,Betaine,C5H11NO2,[M+H]+,7.0,8.2,15,0.2,118.0863,118.0861,-1.3,S07376,8.04,8.0,8.1,0.1,3975192.0,4351522.0,4077081.0,4315232.0,4630938.0,4650396.0,383751,385142,413825,385400,437101,433375,0.06372037461205819,15.693567498436582,4134598.3333333335,4532188.666666667,-0.13246073742882408,0.9122740992100505,1229297.0,4333393.5,75.0,6
24,Butyrylcarnitine,C11H21NO4,[M+H]+,4.2,6.2,15,0.2,232.1543,232.1536,-3.2,S07377,5.86,5.65,5.97,0.31,803112.0,960425.0,1015239.0,1232902.0,1176140.0,1418194.0,3318,2851,5701,2450,2885,5608,0.02259808964712654,44.25152814309482,926258.6666666666,1275745.3333333333,-0.46185332299576287,0.7260529530972222,21406.5,1101002.0,67.0,6
25,Carbamoyl phosphate,CH4NO5P,[M-H]-,27.0,30.0,15,0.2,139.9754,139.9742,-8.8,S07377,27.87,27.84,28.12,0.28,4821333.0,5834736.0,6190656.0,5833046.0,6249730.0,6226578.0,632114,32535,1166884,41117,952212,28699,0.3220877808419999,3.1047436738699186,5615575.0,6103118.0,-0.12011273109395788,0.9201157506703951,1436780.5,5859346.5,20.0,6
26,Carnosine,C9H14N4O3,[M+H]+,10.6,12.6,15,0.2,227.1139,227.1108,-13.5,S07375,10.67,10.67,10.67,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
27,CDP,C9H15N3O11P2,[M+H]+,13.0,15.0,15,0.2,404.0255,404.0258,0.8,S07377,14.44,14.34,14.66,0.32,31651.5,31651.5,31651.5,31651.5,31651.5,31651.5,2528,1427,11957,5467,14305,7619,NA,NA,31651.5,31651.5,0.0,1.0,31651.5,31651.5,0.0,0
28,Choline,C5H14NO,[Cat]+,11.0,15.0,15,0.2,104.10700000000001,104.1071,1.1,S07376,11.01,11.0,11.15,0.15,1151845.0,1080482.0,1391928.0,1394276.0,1286792.0,1736901.0,84213,19853,105521,17292,320653,15686,0.18453065583157302,5.41915377417144,1208085.0,1472656.3333333333,-0.28569882967708976,0.8203441445605436,291609.0,1340370.6666666665,9.0,6
29,cis-Aconitic acid,C6H6O6,[M-H]-,14.1,16.1,15,0.2,173.0092,173.0081,-6.1,S07377,15.25,15.12,15.28,0.16,1086962.0,1302028.0,1930565.0,1677169.0,2315418.0,2111222.0,101856,32712,493736,87525,777404,103227,0.13239348763774586,7.553241612126671,1439851.6666666667,2034603.0,-0.49882712437144516,0.7076818753666768,808230.0,1737227.3333333335,19.0,6
30,Citric acid,C6H8O7,[M-H]-,14.2,16.2,15,0.2,191.0197,191.0188,-4.9,S07377,15.51,15.47,15.58,0.11,4222080.5,4222080.5,4528466.0,4222080.5,4390333.0,5689788.0,1971576,958014,1945152,776307,2055455,717657,0.40349244850042587,2.478361128483287,4324209.0,4767400.5,-0.14076657461788955,0.9070370739777369,4222080.5,4545804.75,12.0,3
31,Citrulline,C6H13N3O3,[M+H]+,10.9,12.9,15,0.2,176.10299999999998,176.1026,-2.1,S07377,12.31,12.21,12.36,0.15,138369.0,407552.0,138369.0,138369.0,138369.0,138369.0,26245,27566,37109,27048,113805,24965,0.373900966300059,2.67450498963806,228096.66666666666,138369.0,0.7211246039420453,1.6484665399523495,138369.0,183232.8333333333,1.0,1
32,Creatine,C4H9N3O2,[M+H]+,10.0,11.5,15,0.2,132.0768,132.0764,-2.7,S07376,11.12,11.02,11.12,0.1,255044896.0,277924096.0,273458400.0,320824960.0,326779712.0,322783104.0,7687539,143192,14419734,695502,22296378,879882,0.0016308111616989442,613.1917805604306,268809130.6666667,323462592.0,-0.2670167330689404,0.8310362227811081,23071113.5,296135861.3333334,218508.0,6
33,Creatinine,C4H7N3O,[M+H]+,5.2,7.2,15,0.2,114.0662,114.0661,-0.8,S07377,6.7,6.59,6.72,0.12,2845381.0,2641810.0,2704647.0,2776357.0,4311767.0,2453912.0,83253,39894,289210,82828,461983,125217,0.47846537060186384,2.0900154147876893,2730612.6666666665,3180678.6666666665,-0.22010994410526344,0.858500009851147,551192.5,2955645.6666666665,7.0,6
34,Cyclic AMP,C10H12N5O6P,[M-H]-,5.8,7.8,15,0.2,328.0452,328.0435,-5.3,S07372,6.95,6.81,7.01,0.2,20946.0,18605.0,29287.0,19905.0,22570.0,13473.0,0,0,0,1494,2096,2269,0.3660612322914213,2.731783406126711,22946.0,18649.333333333332,0.2991186229171608,1.2303925073282334,12929.5,20797.666666666664,0.0,6
35,Cytidine,C9H13N3O5,[M+H]+,7.1,9.1,15,0.2,244.0928,244.0928,0.0,S07377,8.56,8.42,8.74,0.32,68630.0,58662.0,36161.0,73204.0,70083.0,41634.0,13337,4179,2117,3018,3077,3107,0.6337188185570274,1.5779869095208374,54484.333333333336,61640.333333333336,-0.17803321296214603,0.883907181985821,24417.5,58062.333333333336,0.0,6
36,Cytidine monophosphate,C9H14N3O8P,[M+H]+,11.8,13.8,15,0.2,324.0591,324.0568,-7.2,S07377,12.55,12.49,12.58,0.09,28290.0,39399.0,59625.0,50889.0,65705.0,49911.0,2421,0,3386,0,4464,0,0.2813466838204726,3.554333701114815,42438.0,55501.666666666664,-0.3871744278506942,0.7646256869163088,15135.5,48969.83333333333,0.0,6
