,Metabolite,Formula,Ion Type,mz,ppm,RT,RT_range,Detection,T1,T2,T3,T4,T5,T6,TomminusDox_vs_TomplusDox_ttest_pval,TomminusDox_vs_TomplusDox_Log2FoldChange,TomminusDox_vs_TomplusDox_impact_score,TomplusDox_vs_TomminusDox_ttest_pval,TomplusDox_vs_TomminusDox_Log2FoldChange,TomplusDox_vs_TomminusDox_impact_score
119,Phosphoribosyl pyrophosphate,C5H13O14P3,[M-H]-,388.9445,-14.8,15.62,0.01,0,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
120,Phosphorylcholine,C5H14NO4P,[M+H]+,184.0733,-2.8,11.9,0.12,6,1052292672,1197206272,1256155136,1156918528,1247692032,1284890496,0.439740767416747,0.07374208347315818,2870.0,0.439740767416747,-0.07374208347315814,2870.0
121,Phosphoserine,C3H8NO6P,[M+H]+,186.0162,0.0,13.45,0.05,0,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
122,Pipecolic acid,C6H11NO2,[M+H]+,130.0863,-0.4,8.25,0.48,0,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
123,Propionylcarnitine,C10H19NO4,[M+H]+,218.1387,-3.1,6.7,0.42,6,173523,230126,252930,345168,244371,296154,0.11117739671871127,0.4318381091525521,3.0,0.11117739671871127,-0.4318381091525522,3.0
124,Pyruvic acid,C3H4O3,[M-H]-,87.0088,-14.6,6.12,0.24,4,3040576,3620506,3469472,-,2764807,-,0.05596084140771699,-1.6560616265014656,125.0,0.05596084140771699,1.6560616265014656,125.0
125,Ribose 1-phosphate,C5H11O8P,[M-H]-,229.0119,-3.0,12.19,0.13,0,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
126,Saccharopine,C11H20N2O6,[M-H]-,275.1249,10.3,12.07,0.27,0,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
127,S-Adenosylhomocysteine,C14H20N6O5S,[M-H]-,383.1143,-3.7,10.07,0.17,6,57739,42617,49556,48551,58645,55326,0.4708771723958783,0.11651915237236887,0.0,0.4708771723958783,-0.11651915237236893,0.0
128,S-Adenosylmethionine,C15H22N6O5S,[M+H]+,399.1445,-2.3,12.43,0.19,6,11615140,14427278,12929715,11944248,10598215,11599370,0.15057055149848975,-0.1909023788375232,92.0,0.15057055149848975,0.19090237883752328,92.0
129,Sarcosine,C3H7NO2,[M+H]+,90.055,2.7,11.22,0.04,6,228505376,263486160,280076960,221713072,217545776,218047424,0.06623912133128802,-0.23216309421828885,4224.0,0.06623912133128802,0.2321630942182888,4224.0
130,Succinic acid,C4H6O4,[M-H]-,117.0193,-11.4,12.48,0.08,6,2814051,3502688,3789070,4977397,4123929,4022294,0.07422289985619727,0.3769809073651696,68.0,0.07422289985619727,-0.3769809073651696,68.0
131,Taurine,C2H7NO3S,[M-H]-,124.0074,-11.2,11.47,0.22,6,26597956,31132536,35392836,35536868,32572986,35685884,0.2631008909077797,0.1565326831377837,139.0,0.2631008909077797,-0.1565326831377837,139.0
132,Thymidine,C10H14N2O5,[M-H]-,241.083,2.1,3.51,0.2,2,68129,-,-,-,100691,-,0.7705541194889723,0.4329324150734489,0.0,0.7705541194889723,-0.4329324150734489,0.0
133,Uracil,C4H4N2O2,[M+H]+,113.0346,-2.3,6.77,0.44,0,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
134,Ureidopropionic acid,C4H8N2O3,[M-H]-,131.0462,-10.0,11.65,0.28,6,296121,274579,386288,128487,170294,147051,0.00934253281842977,-1.1020006633063857,54.0,0.00934253281842977,1.1020006633063857,54.0
135,Ureidosuccinic acid,C5H8N2O5,[M-H]-,175.03599999999997,-6.0,13.95,0.16,6,658394,843057,1003156,744687,971326,1349616,0.4082724179605792,0.2915988670647669,3.0,0.4082724179605792,-0.2915988670647669,3.0
136,Uric acid,C5H4N4O3,[M+H]+,169.0356,0.0,0.0,0.0,0,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
137,Uridine,C9H12N2O6,[M-H]-,243.0623,-4.0,6.88,0.44,6,45907,37312,24082,44416,41464,37595,0.4628558631865956,0.20255544725082994,0.0,0.4628558631865956,-0.2025554472508299,0.0
138,Uridine 5'-diphosphate,C9H14N2O12P2,[M+H]+,405.0095,-5.9,13.6,0.28,6,51171,56700,73426,71937,63134,77526,0.2567616083525769,0.2297661864664146,0.0,0.2567616083525769,-0.2297661864664147,0.0
139,Uridine 5'-monophosphate,C9H13N2O9P,[M-H]-,323.0286,-3.4,12.34,0.1,4,-,177845,173190,-,296074,196401,0.2968897714037453,0.3486406113075669,1.0,0.2968897714037453,-0.3486406113075671,1.0
140,Uridine diphosphate glucose,C15H24N2O17P2,[M-H]-,565.0478,-1.3,13.59,0.18,6,969502,1190931,1369651,1249152,1265356,1473294,0.3259245864703032,0.17589126616028858,4.0,0.3259245864703032,-0.17589126616028855,4.0
141,Uridine diphosphate-N-acetylglucosamine,C17H27N3O17P2,[M+H]+,608.0889,-3.9,12.44,0.09,6,203585,230199,285910,258916,260141,245155,0.5807518594418264,0.08658928088642512,0.0,0.5807518594418264,-0.08658928088642505,0.0
142,Uridine triphosphate,C9H15N2O15P3,[M-H]-,482.9613,-2.0,15.53,0.26,3,-,-,113853,-,100279,183880,0.4180349959140788,0.4782231956374949,0.0,0.4180349959140788,-0.4782231956374951,0.0
143,Valerylcarnitine,C12H23NO4,[M+H]+,246.17,0.9,5.16,0.5,5,19230,-,21952,31585,25357,24600,0.04085915199080352,0.4674887555970513,1.0,0.04085915199080352,-0.4674887555970512,1.0
144,Xanthine,C5H4N4O2,[M-H]-,151.0261,-6.9,8.55,0.47,1,-,34175,-,-,-,-,0.373900966300059,-0.4902456237724189,0.0,0.373900966300059,0.4902456237724189,0.0
145,Xanthosine,C10H12N4O6,[M-H]-,283.0684,-7.8,7.63,0.0,0,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
146,Xanthylic acid,C10H13N4O9P,[M-H]-,363.0347,-0.4,12.34,0.09,0,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
