Metabolite,S07375,S07376,S07377,S07372,S07373,S07374
L-Cystine,12258.0,12258.0,12258.0,12258.0,12258.0,12258.0
L-Glutamic acid,206534608.0,238447920.0,235452352.0,363826400.0,344263936.0,330420672.0
L-Glutamine,478204192.0,488798880.0,525671616.0,835338304.0,774815360.0,803488832.0
L-Histidine,18971692.0,20938256.0,28800668.0,49552484.0,50148708.0,49502980.0
L-Isoleucine,72785896.0,86594416.0,118888128.0,136682304.0,119806728.0,107783200.0
L-Kynurenine,32277.0,47025.0,45297.0,71030.0,90183.0,86948.0
L-Lactic acid,316057504.0,236070208.0,395542144.0,173016112.0,295789664.0,165660720.0
L-Leucine,172246336.0,195013904.0,238851616.0,305454080.0,265219440.0,262362464.0
L-Lysine,15386250.0,16705621.0,22644988.0,21231570.0,19511376.0,18761220.0
L-Malic acid,92442880.0,106503664.0,116092320.0,122430416.0,110561320.0,112903920.0
L-Methionine,58831972.0,68457600.0,83741976.0,148775168.0,124160240.0,121812888.0
L-Phenylalanine,108729296.0,128312280.0,155710832.0,197257680.0,181240448.0,179100800.0
L-Proline,908398592.0,1009704512.0,1013778688.0,984932864.0,951235840.0,900499456.0
L-Serine,12389244.0,12678024.0,14598318.0,18979634.0,16636344.0,17620638.0
L-Threonine,11941145.0,11522207.0,11926950.0,32047378.0,27492600.0,27346590.0
L-Tryptophan,12913110.0,15109340.0,19527720.0,24717976.0,20648472.0,19930736.0
L-Tyrosine,30703378.0,34126464.0,41386860.0,57168860.0,49665884.0,50089820.0
L-Valine,122912560.0,133112544.0,159471696.0,200014288.0,182021104.0,176544096.0
N6-Acetyl-L-lysine,772773.0,390792.0,517586.0,664946.0,2164901.0,728445.0
N-Acetylglutamic acid,417142.0,240276.0,278064.0,460952.0,568663.0,782312.0
N-Acetylglutamine,130938.0,184768.0,164710.0,368879.0,296457.0,249674.0
N-Acetyl-L-alanine,5521002.0,6415137.0,6683578.0,6484732.0,5512306.0,5513290.0
N-Acetyl-L-methionine,1646464.0,1846171.0,2051593.0,2666913.0,2251381.0,2156003.0
N-Acetyl-L-phenylalanine,108046.0,108046.0,108046.0,151802.0,108046.0,111292.0
N-Acetylornithine,25996.0,25996.0,25996.0,29440.0,25996.0,27924.0
N-Acetylserine,18346462.0,20928362.0,21099732.0,19344504.0,15663741.0,15297970.0
NAD,1677456.0,1771359.0,2165475.0,2160035.0,1775460.0,1998427.0
NADH,256932.0,338639.0,394991.0,307282.0,248640.0,256556.0
NADP,39059.5,52854.0,62214.0,47944.0,49320.0,40196.0
NADPH,51605.0,64955.0,50515.0,75334.0,54288.0,57504.0
Niacinamide,68977624.0,74057824.0,95535392.0,78722808.0,69475792.0,70087432.0
Nicotinic acid,35814.0,35814.0,35814.0,35814.0,35814.0,35814.0
O-Phosphoethanolamine,10000.0,49295.0,10000.0,10000.0,10000.0,10000.0
Ornithine,8346386.0,9437711.0,11089386.0,11076539.0,10505005.0,9567334.0
Orotic acid,91172.0,106284.0,125221.0,78928.0,92725.0,112978.0
Orotidylic acid,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Oxidized glutathione,2422165.0,4233552.0,4325590.0,3968342.0,3530594.0,2100167.0
Oxoadipic acid,17371.5,17371.5,17371.5,17371.5,17371.5,17371.5
Oxoglutaric acid,46812628.0,55266652.0,57191312.0,30562164.0,25000764.0,24725016.0
Palmitic acid,8641989.0,20015370.0,11993933.0,15465780.0,10604542.0,8111785.0
Pantothenic acid,18408720.0,21262786.0,25429028.0,19367314.0,16886474.0,15413587.0
Phenol,2609088.5,2609088.5,2609088.5,2609088.5,2609088.5,2609088.5
Phosphocreatine,8071146.0,9909884.0,9931316.0,7450242.0,5947386.0,5369032.0
Phosphoenolpyruvic acid,133178.0,285201.0,424212.0,337488.0,361033.0,294813.0
Phosphoribosyl pyrophosphate,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Phosphorylcholine,1187464960.0,1288749312.0,1335585920.0,1275959936.0,1228344320.0,1186025984.0
Phosphoserine,14298.5,14298.5,14298.5,14298.5,14298.5,14298.5
Pipecolic acid,146858.0,146858.0,146858.0,146858.0,146858.0,146858.0
Propionylcarnitine,627837.0,655552.0,680953.0,378509.0,300433.0,246085.0
Pyruvic acid,4607059.0,224830.0,6288242.0,224830.0,224830.0,224830.0
Ribose 1-phosphate,19929.0,22060.0,31110.0,21947.0,18444.0,20162.0
Saccharopine,11399.0,11399.0,11399.0,11399.0,11399.0,11399.0
S-Adenosylhomocysteine,63270.0,68843.0,59261.0,57020.0,43492.0,45948.0
S-Adenosylmethionine,8405008.0,6971153.0,6993604.0,10082234.0,10874488.0,11405082.0
Sarcosine,169318496.0,172016272.0,186569552.0,358244320.0,300557856.0,353729952.0
Succinic acid,4392034.0,5202090.0,4890784.0,4746066.0,4306395.0,4137576.0
Taurine,24667492.0,27244308.0,27884162.0,35960448.0,30907222.0,31512308.0
Thymidine,12456.0,12456.0,12456.0,54587.0,31618.0,12456.0
Uracil,16478.5,16478.5,16478.5,16478.5,16478.5,16478.5
Ureidopropionic acid,80993.0,79707.0,149412.0,897391.0,845766.0,897863.0
Ureidosuccinic acid,1066633.0,1924227.0,2862772.0,3650861.0,2490635.0,2198833.0
Uric acid,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Uridine,23114.0,37644.0,43220.0,26271.0,27337.0,20382.0
Uridine 5'-diphosphate,66552.0,106802.0,100077.0,86239.0,63356.0,62119.0
Uridine 5'-monophosphate,214435.0,237933.0,293629.0,236174.0,178236.0,183603.0
Uridine diphosphate glucose,1433267.0,1669762.0,1692870.0,1711551.0,1452924.0,1245430.0
Uridine diphosphate-N-acetylglucosamine,285752.0,367288.0,417198.0,399694.0,349622.0,286587.0
Uridine triphosphate,112485.0,178370.0,277988.0,254077.0,193150.0,163566.0
Valerylcarnitine,45949.0,52283.0,48919.0,27244.0,20602.0,27373.0
Xanthine,15435.5,17987.0,19177.0,15523.0,17620.0,15435.5
Xanthosine,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Xanthylic acid,10000.0,10000.0,21440.0,10000.0,10000.0,10000.0
